"날짜","종가","오픈","고가","저가","변동 %"
"2019년 12월 30일","1.5331","1.5511","1.5797","1.5348","-0.92%"
"2019년 12월 27일","1.5473","1.5580","1.5625","1.5470","-0.51%"
"2019년 12월 26일","1.5552","1.5446","1.5606","1.5431","0.79%"
"2019년 12월 25일","1.5430","1.5529","1.5536","1.5445","-0.50%"
"2019년 12월 24일","1.5507","1.5461","1.5549","1.5413","0.47%"
"2019년 12월 23일","1.5435","1.5316","1.5494","1.5311","0.90%"
"2019년 12월 20일","1.5297","1.5425","1.5539","1.5309","-0.66%"
"2019년 12월 19일","1.5399","1.5520","1.5551","1.5412","-0.67%"
"2019년 12월 18일","1.5503","1.5396","1.5554","1.5374","0.82%"
"2019년 12월 17일","1.5377","1.5345","1.5438","1.5280","0.37%"
"2019년 12월 16일","1.5321","1.5387","1.5405","1.5270","-0.27%"
"2019년 12월 13일","1.5363","1.5265","1.5485","1.5205","0.76%"
"2019년 12월 12일","1.5247","1.5437","1.5530","1.5227","-0.98%"
"2019년 12월 11일","1.5398","1.5260","1.5543","1.5246","1.07%"
"2019년 12월 10일","1.5235","1.5389","1.5440","1.5255","-0.94%"
"2019년 12월 09일","1.5379","1.5269","1.5527","1.5267","0.87%"
"2019년 12월 06일","1.5247","1.5203","1.5347","1.5155","0.53%"
"2019년 12월 05일","1.5166","1.5123","1.5256","1.5079","0.40%"
"2019년 12월 04일","1.5106","1.4818","1.5139","1.4800","2.16%"
"2019년 12월 03일","1.4787","1.4754","1.4926","1.4729","0.35%"
"2019년 12월 02일","1.4736","1.4681","1.4870","1.4633","0.64%"
"2019년 11월 29일","1.4642","1.4221","1.4812","1.4206","3.16%"
"2019년 11월 28일","1.4193","1.4389","1.4438","1.4056","-1.13%"
"2019년 11월 27일","1.4355","1.4703","1.4786","1.4343","-2.21%"
"2019년 11월 26일","1.4679","1.4822","1.4917","1.4649","-0.79%"
"2019년 11월 25일","1.4796","1.4762","1.4941","1.4677","0.48%"
"2019년 11월 22일","1.4725","1.4788","1.4875","1.4693","-0.31%"
"2019년 11월 21일","1.4771","1.4800","1.4911","1.4691","0.01%"
"2019년 11월 20일","1.4769","1.4836","1.4879","1.4582","-0.24%"
"2019년 11월 19일","1.4805","1.5032","1.5110","1.4796","-1.30%"
"2019년 11월 18일","1.5000","1.5049","1.5503","1.4959","-0.02%"
"2019년 11월 15일","1.5003","1.4551","1.5033","1.4491","3.36%"
"2019년 11월 14일","1.4515","1.4743","1.4832","1.4495","-1.39%"
"2019년 11월 13일","1.4720","1.4949","1.5003","1.4631","-1.39%"
"2019년 11월 12일","1.4927","1.5354","1.5363","1.4531","-2.63%"
"2019년 11월 11일","1.5330","1.5492","1.5605","1.5333","-0.94%"
"2019년 11월 08일","1.5475","1.5570","1.5612","1.5470","-0.44%"
"2019년 11월 07일","1.5543","1.5692","1.5717","1.5512","-0.75%"
"2019년 11월 06일","1.5660","1.5466","1.5705","1.5446","1.41%"
"2019년 11월 05일","1.5443","1.5684","1.5689","1.5433","-1.44%"
"2019년 11월 04일","1.5668","1.5725","1.5845","1.5632","-0.33%"
"2019년 11월 01일","1.5720","1.5781","1.5797","1.5540","-0.17%"
"2019년 10월 31일","1.5746","1.5761","1.5831","1.5677","0.12%"
"2019년 10월 30일","1.5727","1.6053","1.6071","1.5743","-1.99%"
"2019년 10월 29일","1.6047","1.6150","1.6171","1.6001","-0.50%"
"2019년 10월 28일","1.6127","1.6114","1.6207","1.6051","0.16%"
"2019년 10월 25일","1.6102","1.6216","1.6250","1.6078","-0.56%"
"2019년 10월 24일","1.6193","1.6114","1.6279","1.6068","0.72%"
"2019년 10월 23일","1.6078","1.6192","1.6244","1.6076","-0.52%"
"2019년 10월 22일","1.6162","1.6135","1.6242","1.6091","0.32%"
"2019년 10월 21일","1.6111","1.6593","1.6618","1.6101","-2.73%"
"2019년 10월 18일","1.6563","1.6561","1.6665","1.6546","0.13%"
"2019년 10월 17일","1.6542","1.6552","1.6581","1.6395","0.10%"
"2019년 10월 16일","1.6526","1.6553","1.6655","1.6482","-0.04%"
"2019년 10월 15일","1.6532","1.6607","1.6666","1.6529","-0.23%"
"2019년 10월 14일","1.6570","1.6658","1.6714","1.6583","-0.31%"
"2019년 10월 11일","1.6621","1.6557","1.6665","1.6442","0.54%"
"2019년 10월 10일","1.6531","1.6560","1.6605","1.6445","-0.02%"
"2019년 10월 09일","1.6535","1.6540","1.6584","1.6484","0.08%"
"2019년 10월 08일","1.6521","1.6657","1.6688","1.6509","-0.69%"
"2019년 10월 07일","1.6635","1.6675","1.6764","1.6617","-0.06%"
"2019년 10월 04일","1.6645","1.6772","1.6790","1.6647","-0.61%"
"2019년 10월 03일","1.6747","1.6637","1.6788","1.6580","0.79%"
"2019년 10월 02일","1.6616","1.6503","1.6655","1.6469","0.81%"
"2019년 10월 01일","1.6482","1.6454","1.6535","1.6413","0.32%"
"2019년 09월 30일","1.6430","1.6563","1.6575","1.6437","-0.66%"
"2019년 09월 27일","1.6539","1.6521","1.6573","1.6467","0.30%"
"2019년 09월 26일","1.6489","1.6501","1.6597","1.6469","0.02%"
"2019년 09월 25일","1.6485","1.6530","1.6600","1.6458","-0.16%"
"2019년 09월 24일","1.6512","1.6563","1.6608","1.6509","-0.13%"
"2019년 09월 23일","1.6533","1.6643","1.6729","1.6514","-0.55%"
"2019년 09월 20일","1.6625","1.6693","1.6700","1.6533","-0.30%"
"2019년 09월 19일","1.6675","1.6646","1.6724","1.6613","0.38%"
"2019년 09월 18일","1.6612","1.6609","1.6695","1.6595","0.13%"
"2019년 09월 17일","1.6591","1.6698","1.6786","1.6543","-0.51%"
"2019년 09월 16일","1.6676","1.6674","1.6762","1.6614","0.17%"
"2019년 09월 13일","1.6648","1.6680","1.6715","1.6579","-0.04%"
"2019년 09월 12일","1.6655","1.6628","1.6689","1.6493","0.31%"
"2019년 09월 11일","1.6604","1.6731","1.6796","1.6599","-0.68%"
"2019년 09월 10일","1.6717","1.6686","1.6762","1.6631","0.35%"
"2019년 09월 09일","1.6659","1.6759","1.6822","1.6618","-0.43%"
"2019년 09월 06일","1.6731","1.6737","1.6825","1.6628","0.07%"
"2019년 09월 05일","1.6720","1.6654","1.6816","1.6538","0.44%"
"2019년 09월 04일","1.6647","1.6705","1.6715","1.6590","-0.22%"
"2019년 09월 03일","1.6683","1.6747","1.6789","1.6674","-0.22%"
"2019년 09월 02일","1.6719","1.6774","1.6837","1.6706","-0.24%"
"2019년 08월 30일","1.6759","1.6772","1.6830","1.6726","0.10%"
"2019년 08월 29일","1.6742","1.6769","1.6851","1.6722","-0.02%"
"2019년 08월 28일","1.6745","1.6772","1.6822","1.6703","-0.01%"
"2019년 08월 27일","1.6746","1.6851","1.6900","1.6742","-0.48%"
"2019년 08월 26일","1.6827","1.6863","1.6961","1.6839","-0.06%"
"2019년 08월 23일","1.6837","1.6927","1.6995","1.6844","-0.41%"
"2019년 08월 22일","1.6906","1.6895","1.7038","1.6888","0.22%"
"2019년 08월 21일","1.6869","1.7007","1.7059","1.6865","-0.67%"
