날짜,종가,오픈,고가,저가,변동 %
2019년 12월 30일,165.59,165.91,165.96,165.17,-0.04%
2019년 12월 27일,165.66,166.13,166.2,165.49,-0.14%
2019년 12월 26일,165.89,166.07,166.38,165.71,-0.02%
2019년 12월 25일,165.92,165.99,166.45,165.73,0.03%
2019년 12월 24일,165.87,165.99,166.29,165.56,0.02%
2019년 12월 23일,165.84,165.46,166.21,165.31,0.27%
2019년 12월 20일,165.4,165.93,166.4,165.21,-0.23%
2019년 12월 19일,165.78,166.55,166.75,165.85,-0.38%
2019년 12월 18일,166.42,166.38,167.15,166.12,0.12%
2019년 12월 17일,166.22,167.08,167.38,166.09,-0.41%
2019년 12월 16일,166.9,168.37,168.48,166.95,-0.70%
2019년 12월 13일,168.08,167.92,168.68,167.35,0.24%
2019년 12월 12일,167.68,169.01,169.47,167.57,-0.70%
2019년 12월 11일,168.86,169.24,169.87,168.95,-0.12%
2019년 12월 10일,169.07,169.13,169.69,168.93,0.05%
2019년 12월 09일,168.98,168.59,169.38,168.57,0.28%
2019년 12월 06일,168.51,168.76,169.29,168.31,-0.07%
2019년 12월 05일,168.62,168.99,169.4,168.41,-0.19%
2019년 12월 04일,168.94,168.49,169.28,168.34,0.30%
2019년 12월 03일,168.43,168.45,169.12,168.18,0.09%
2019년 12월 02일,168.28,167.99,168.67,167.49,0.26%
2019년 11월 29일,167.85,167.55,168.15,167.39,0.24%
2019년 11월 28일,167.44,167.45,168.04,167.29,0.10%
2019년 11월 27일,167.28,166.82,167.8,166.66,0.38%
2019년 11월 26일,166.65,166.85,167.6,166.41,-0.01%
2019년 11월 25일,166.66,167.72,167.72,166.66,-0.50%
2019년 11월 22일,167.49,167.41,167.77,167.01,0.08%
2019년 11월 21일,167.35,166.4,167.57,166.26,0.67%
2019년 11월 20일,166.23,166.25,166.74,166.07,0.09%
2019년 11월 19일,166.08,166.13,166.62,165.85,0.08%
2019년 11월 18일,165.95,166.05,166.44,165.71,0.04%
2019년 11월 15일,165.88,166.51,166.66,165.83,-0.28%
2019년 11월 14일,166.34,166.8,167.1,166.38,-0.22%
2019년 11월 13일,166.71,166.46,167.18,166.16,0.25%
2019년 11월 12일,166.29,166.24,166.52,165.65,0.13%
2019년 11월 11일,166.08,165.62,166.54,165.51,0.30%
2019년 11월 08일,165.59,165.55,165.96,165.27,0.13%
2019년 11월 07일,165.37,165.99,166.23,165.09,-0.25%
2019년 11월 06일,165.78,165.03,166.13,164.88,0.56%
2019년 11월 05일,164.85,165.43,165.47,164.84,-0.33%
2019년 11월 04일,165.39,165.51,165.63,164.77,-0.05%
2019년 11월 01일,165.48,166.24,166.42,165.34,-0.35%
2019년 10월 31일,166.06,165.18,166.43,164.37,0.64%
2019년 10월 30일,165.01,165.24,165.95,164.99,-0.12%
2019년 10월 29일,165.21,165.35,165.55,164.77,0.02%
2019년 10월 28일,165.18,165.81,165.93,165.18,-0.39%
2019년 10월 25일,165.82,166.25,166.38,165.73,-0.24%
2019년 10월 24일,166.22,165.68,166.34,165.38,0.45%
2019년 10월 23일,165.47,165.76,166.13,165.35,-0.08%
2019년 10월 22일,165.6,165.7,165.98,165.24,-0.02%
2019년 10월 21일,165.64,166.52,166.77,165.34,-0.40%
2019년 10월 18일,166.3,166.6,167.01,166.34,-0.13%
2019년 10월 17일,166.51,167.26,167.51,166.11,-0.35%
2019년 10월 16일,167.09,167.31,167.8,167.02,-0.12%
2019년 10월 15일,167.29,167.63,167.91,167.16,-0.06%
2019년 10월 14일,167.39,166.83,167.97,166.71,0.35%
2019년 10월 11일,166.8,167.29,167.77,166.15,-0.19%
2019년 10월 10일,167.12,168.04,168.49,167.07,-0.45%
2019년 10월 09일,167.88,167.96,168.21,167.5,0.07%
2019년 10월 08일,167.77,167.51,168.01,167.16,0.26%
2019년 10월 07일,167.34,166.79,167.68,166.78,0.43%
2019년 10월 04일,166.63,168.13,168.32,166.68,-0.80%
2019년 10월 03일,167.98,168.63,168.82,168,-0.29%
2019년 10월 02일,168.47,168.35,168.98,168,0.17%
2019년 10월 01일,168.19,167.74,168.48,167.32,0.36%
2019년 09월 30일,167.59,168.88,169.01,167.65,-0.68%
2019년 09월 27일,168.73,168.3,169.01,167.95,0.37%
2019년 09월 26일,168.1,168.24,168.68,167.93,0.01%
2019년 09월 25일,168.09,167.99,168.73,167.84,0.18%
2019년 09월 24일,167.79,167.88,168.42,167.51,0.05%
2019년 09월 23일,167.7,168.39,168.44,167.55,-0.32%
2019년 09월 20일,168.23,168.45,168.54,167.44,-0.03%
2019년 09월 19일,168.28,168.19,168.68,167.96,0.16%
2019년 09월 18일,168.01,167.46,168.6,167.31,0.43%
2019년 09월 17일,167.29,167.68,168.1,167.29,-0.13%
2019년 09월 16일,167.5,166.63,167.84,166.63,0.66%
2019년 09월 13일,166.41,167.02,167.31,165.99,-0.28%
2019년 09월 12일,166.87,167.3,167.61,166.38,-0.16%
2019년 09월 11일,167.13,167.52,167.93,167.17,-0.21%
2019년 09월 10일,167.48,167.5,167.94,166.96,0.08%
2019년 09월 09일,167.34,167.6,167.96,166.87,-0.05%
2019년 09월 06일,167.42,167.59,167.95,167.1,-0.04%
2019년 09월 05일,167.48,168.57,168.71,167.21,-0.50%
2019년 09월 04일,168.32,168.76,169.07,168.18,-0.18%
2019년 09월 03일,168.62,169.36,169.55,168.66,-0.35%
2019년 09월 02일,169.21,169.04,169.77,168.76,0.16%
2019년 08월 30일,168.94,169.24,169.51,168.65,-0.08%
2019년 08월 29일,169.07,169.33,169.9,169.03,-0.04%
2019년 08월 28일,169.13,169.32,169.73,169.15,-0.01%
2019년 08월 27일,169.14,169.59,170.02,168.97,-0.17%
2019년 08월 26일,169.42,171.03,172.02,169.51,-0.81%
2019년 08월 23일,170.81,170.88,171.63,170.51,0.05%
2019년 08월 22일,170.72,170.25,171.09,170.1,0.38%
2019년 08월 21일,170.08,170.87,171.38,169.9,-0.37%
2019년 08월 20일,170.71,171.99,172.08,170.66,-0.65%
2019년 08월 19일,171.82,171.59,172.19,171.38,0.24%
2019년 08월 16일,171.41,172.49,172.85,171.1,-0.53%
2019년 08월 15일,172.32,173.24,173.43,172.29,-0.42%
2019년 08월 14일,173.04,171.31,173.55,171.23,1.15%
2019년 08월 13일,171.07,172.73,173.32,171.17,-0.87%
2019년 08월 12일,172.58,171.96,172.99,171.82,0.46%
2019년 08월 09일,171.79,171.48,172.36,171.31,0.28%
