"날짜","종가","오픈","고가","저가","변동 %"
"2019년 12월 30일","0.1431","0.1429","0.1433","0.1429","0.13%"
"2019년 12월 27일","0.1429","0.1429","0.1430","0.1428","0.06%"
"2019년 12월 26일","0.1428","0.1431","0.1432","0.1428","-0.15%"
"2019년 12월 25일","0.1431","0.1427","0.1433","0.1427","0.27%"
"2019년 12월 24일","0.1427","0.1426","0.1428","0.1426","0.06%"
"2019년 12월 23일","0.1426","0.1427","0.1427","0.1425","-0.08%"
"2019년 12월 20일","0.1427","0.1426","0.1428","0.1425","0.06%"
"2019년 12월 19일","0.1426","0.1428","0.1429","0.1426","0.00%"
"2019년 12월 18일","0.1427","0.1429","0.1430","0.1427","-0.18%"
"2019년 12월 17일","0.1429","0.1429","0.1430","0.1428","-0.04%"
"2019년 12월 16일","0.1430","0.1429","0.1430","0.1427","0.00%"
"2019년 12월 13일","0.1430","0.1436","0.1437","0.1428","-0.08%"
"2019년 12월 12일","0.1431","0.1422","0.1432","0.1421","0.72%"
"2019년 12월 11일","0.1421","0.1421","0.1422","0.1420","-0.05%"
"2019년 12월 10일","0.1421","0.1421","0.1422","0.1420","0.06%"
"2019년 12월 09일","0.1421","0.1422","0.1422","0.1420","-0.06%"
"2019년 12월 06일","0.1421","0.1420","0.1423","0.1418","0.14%"
"2019년 12월 05일","0.1419","0.1418","0.1421","0.1417","0.08%"
"2019년 12월 04일","0.1418","0.1416","0.1419","0.1414","0.15%"
"2019년 12월 03일","0.1416","0.1420","0.1421","0.1416","-0.30%"
"2019년 12월 02일","0.1420","0.1423","0.1423","0.1419","-0.09%"
"2019년 11월 29일","0.1422","0.1422","0.1425","0.1421","0.00%"
"2019년 11월 28일","0.1421","0.1422","0.1423","0.1421","-0.09%"
"2019년 11월 27일","0.1422","0.1424","0.1425","0.1422","0.07%"
"2019년 11월 26일","0.1421","0.1423","0.1423","0.1420","0.04%"
"2019년 11월 25일","0.1421","0.1420","0.1422","0.1420","0.05%"
"2019년 11월 22일","0.1420","0.1423","0.1424","0.1420","-0.16%"
"2019년 11월 21일","0.1422","0.1421","0.1423","0.1419","0.11%"
"2019년 11월 20일","0.1421","0.1421","0.1423","0.1421","-0.12%"
"2019년 11월 19일","0.1423","0.1423","0.1424","0.1422","0.00%"
"2019년 11월 18일","0.1423","0.1427","0.1427","0.1423","-0.26%"
"2019년 11월 15일","0.1427","0.1424","0.1429","0.1424","0.19%"
"2019년 11월 14일","0.1424","0.1423","0.1426","0.1423","0.04%"
"2019년 11월 13일","0.1424","0.1427","0.1427","0.1423","-0.22%"
"2019년 11월 12일","0.1427","0.1426","0.1429","0.1426","0.00%"
"2019년 11월 11일","0.1426","0.1429","0.1430","0.1426","-0.21%"
"2019년 11월 08일","0.1429","0.1435","0.1435","0.1428","-0.24%"
"2019년 11월 07일","0.1433","0.1429","0.1435","0.1424","0.28%"
"2019년 11월 06일","0.1429","0.1429","0.1431","0.1427","0.17%"
"2019년 11월 05일","0.1426","0.1423","0.1431","0.1422","0.28%"
"2019년 11월 04일","0.1422","0.1422","0.1424","0.1421","0.10%"
"2019년 11월 01일","0.1421","0.1421","0.1421","0.1418","0.04%"
"2019년 10월 31일","0.1420","0.1420","0.1422","0.1418","0.22%"
"2019년 10월 30일","0.1417","0.1415","0.1418","0.1415","0.13%"
"2019년 10월 29일","0.1415","0.1415","0.1418","0.1415","0.04%"
"2019년 10월 28일","0.1415","0.1415","0.1418","0.1414","-0.04%"
"2019년 10월 25일","0.1415","0.1414","0.1416","0.1413","0.05%"
"2019년 10월 24일","0.1414","0.1415","0.1417","0.1413","0.00%"
"2019년 10월 23일","0.1415","0.1413","0.1415","0.1411","0.13%"
"2019년 10월 22일","0.1413","0.1413","0.1414","0.1412","0.00%"
"2019년 10월 21일","0.1413","0.1412","0.1415","0.1412","0.07%"
"2019년 10월 18일","0.1412","0.1414","0.1415","0.1411","-0.07%"
"2019년 10월 17일","0.1413","0.1408","0.1415","0.1408","0.24%"
"2019년 10월 16일","0.1409","0.1409","0.1411","0.1407","-0.18%"
"2019년 10월 15일","0.1412","0.1415","0.1416","0.1411","-0.15%"
"2019년 10월 14일","0.1414","0.1411","0.1419","0.1411","0.25%"
"2019년 10월 11일","0.1411","0.1405","0.1411","0.1405","0.39%"
"2019년 10월 10일","0.1405","0.1402","0.1408","0.1402","0.22%"
"2019년 10월 09일","0.1402","0.1400","0.1404","0.1398","0.19%"
"2019년 10월 08일","0.1399","0.1402","0.1404","0.1399","0.00%"
"2019년 10월 07일","0.1399","0.1399","0.1399","0.1399","0.00%"
"2019년 10월 04일","0.1399","0.1399","0.1399","0.1399","0.00%"
"2019년 10월 03일","0.1399","0.1399","0.1399","0.1399","0.00%"
"2019년 10월 02일","0.1399","0.1399","0.1399","0.1399","0.00%"
"2019년 10월 01일","0.1399","0.1399","0.1399","0.1399","0.00%"
"2019년 09월 30일","0.1399","0.1402","0.1405","0.1399","-0.35%"
"2019년 09월 27일","0.1404","0.1402","0.1405","0.1401","0.16%"
"2019년 09월 26일","0.1401","0.1403","0.1404","0.1401","-0.04%"
"2019년 09월 25일","0.1402","0.1405","0.1407","0.1401","-0.19%"
"2019년 09월 24일","0.1405","0.1405","0.1408","0.1404","0.00%"
"2019년 09월 23일","0.1404","0.1410","0.1410","0.1403","-0.39%"
"2019년 09월 20일","0.1410","0.1409","0.1412","0.1409","0.07%"
"2019년 09월 19일","0.1409","0.1411","0.1411","0.1407","-0.14%"
"2019년 09월 18일","0.1411","0.1411","0.1412","0.1410","0.09%"
"2019년 09월 17일","0.1410","0.1415","0.1415","0.1409","-0.34%"
"2019년 09월 16일","0.1415","0.1413","0.1416","0.1413","0.21%"
"2019년 09월 13일","0.1412","0.1413","0.1413","0.1412","-0.05%"
"2019년 09월 12일","0.1412","0.1409","0.1415","0.1408","0.54%"
"2019년 09월 11일","0.1405","0.1405","0.1407","0.1404","-0.07%"
"2019년 09월 10일","0.1406","0.1404","0.1409","0.1404","0.14%"
"2019년 09월 09일","0.1404","0.1405","0.1405","0.1401","-0.06%"
"2019년 09월 06일","0.1405","0.1399","0.1406","0.1397","0.45%"
"2019년 09월 05일","0.1399","0.1399","0.1404","0.1398","0.00%"
"2019년 09월 04일","0.1398","0.1393","0.1400","0.1393","0.39%"
"2019년 09월 03일","0.1393","0.1394","0.1394","0.1392","-0.09%"
"2019년 09월 02일","0.1394","0.1397","0.1397","0.1394","-0.18%"
"2019년 08월 30일","0.1397","0.1400","0.1401","0.1397","-0.19%"
"2019년 08월 29일","0.1399","0.1396","0.1401","0.1394","0.31%"
"2019년 08월 28일","0.1395","0.1396","0.1398","0.1395","-0.05%"
"2019년 08월 27일","0.1396","0.1400","0.1400","0.1395","-0.17%"
"2019년 08월 26일","0.1398","0.1400","0.1401","0.1398","-0.74%"
"2019년 08월 23일","0.1409","0.1410","0.1414","0.1408","-0.21%"
"2019년 08월 22일","0.1412","0.1416","0.1416","0.1409","-0.29%"
"2019년 08월 21일","0.1416","0.1416","0.1418","0.1415","-0.04%"
"2019년 08월 20일","0.1416","0.1418","0.1418","0.1415","-0.14%"
"2019년 08월 19일","0.1418","0.1420","0.1421","0.1418","-0.10%"
"2019년 08월 16일","0.1420","0.1421","0.1421","0.1419","-0.13%"
"2019년 08월 15일","0.1421","0.1423","0.1425","0.1420","-0.13%"
"2019년 08월 14일","0.1423","0.1425","0.1427","0.1423","0.30%"
"2019년 08월 13일","0.1419","0.1417","0.1420","0.1414","0.16%"
"2019년 08월 12일","0.1417","0.1416","0.1417","0.1414","0.07%"
"2019년 08월 09일","0.1416","0.1419","0.1420","0.1416","-0.24%"
"2019년 08월 08일","0.1419","0.1416","0.1421","0.1416","0.21%"
"2019년 08월 07일","0.1416","0.1421","0.1422","0.1415","-0.45%"
"2019년 08월 06일","0.1423","0.1418","0.1425","0.1417","0.38%"
"2019년 08월 05일","0.1417","0.1425","0.1426","0.1418","-1.61%"
"2019년 08월 02일","0.1440","0.1450","0.1450","0.1439","-0.61%"
"2019년 08월 01일","0.1449","0.1453","0.1453","0.1448","-0.22%"
"2019년 07월 31일","0.1452","0.1452","0.1454","0.1452","0.00%"
"2019년 07월 30일","0.1452","0.1451","0.1454","0.1451","0.12%"
"2019년 07월 29일","0.1451","0.1454","0.1454","0.1450","-0.21%"
"2019년 07월 26일","0.1454","0.1455","0.1455","0.1453","-0.09%"
"2019년 07월 25일","0.1455","0.1455","0.1456","0.1454","0.00%"
"2019년 07월 24일","0.1455","0.1454","0.1456","0.1453","0.09%"
"2019년 07월 23일","0.1454","0.1453","0.1454","0.1452","0.00%"
"2019년 07월 22일","0.1453","0.1453","0.1454","0.1453","0.00%"
"2019년 07월 19일","0.1453","0.1454","0.1455","0.1453","0.00%"
"2019년 07월 18일","0.1453","0.1455","0.1455","0.1453","-0.10%"
"2019년 07월 17일","0.1455","0.1454","0.1455","0.1452","0.04%"
"2019년 07월 16일","0.1454","0.1454","0.1456","0.1453","0.00%"
"2019년 07월 15일","0.1454","0.1453","0.1456","0.1453","0.05%"
"2019년 07월 12일","0.1453","0.1456","0.1456","0.1453","-0.14%"
"2019년 07월 11일","0.1455","0.1455","0.1458","0.1454","0.05%"
"2019년 07월 10일","0.1454","0.1452","0.1455","0.1452","0.26%"
"2019년 07월 09일","0.1451","0.1453","0.1454","0.1451","-0.15%"
"2019년 07월 08일","0.1453","0.1451","0.1454","0.1450","0.17%"
"2019년 07월 05일","0.1450","0.1455","0.1455","0.1450","-0.32%"
"2019년 07월 04일","0.1455","0.1454","0.1456","0.1454","0.13%"
"2019년 07월 03일","0.1453","0.1454","0.1454","0.1451","-0.11%"
"2019년 07월 02일","0.1455","0.1459","0.1460","0.1453","-0.28%"
"2019년 07월 01일","0.1459","0.1456","0.1463","0.1456","0.20%"
"2019년 06월 28일","0.1456","0.1455","0.1458","0.1454","0.14%"
"2019년 06월 27일","0.1454","0.1453","0.1455","0.1452","0.06%"
"2019년 06월 26일","0.1453","0.1452","0.1456","0.1451","0.00%"
"2019년 06월 25일","0.1453","0.1455","0.1456","0.1452","0.00%"
"2019년 06월 24일","0.1453","0.1456","0.1456","0.1453","-0.15%"
"2019년 06월 21일","0.1455","0.1459","0.1463","0.1454","-0.27%"
"2019년 06월 20일","0.1459","0.1450","0.1461","0.1450","0.80%"
"2019년 06월 19일","0.1448","0.1449","0.1449","0.1448","0.00%"
