"날짜","종가","오픈","고가","저가","변동 %"
"2019년 12월 30일","131.24","131.58","131.90","130.92","-0.10%"
"2019년 12월 27일","131.37","130.86","131.78","130.45","0.48%"
"2019년 12월 26일","130.74","130.20","131.04","130.09","0.51%"
"2019년 12월 25일","130.08","130.57","130.62","129.69","-0.31%"
"2019년 12월 24일","130.49","129.96","130.65","129.48","0.51%"
"2019년 12월 23일","129.83","129.23","130.31","129.11","0.52%"
"2019년 12월 20일","129.15","129.68","130.03","129.06","-0.31%"
"2019년 12월 19일","129.55","129.54","130.37","129.21","0.04%"
"2019년 12월 18일","129.49","129.04","129.65","128.76","0.45%"
"2019년 12월 17일","128.91","129.67","129.84","128.81","-0.49%"
"2019년 12월 16일","129.54","130.24","130.51","129.52","-0.46%"
"2019년 12월 13일","130.13","129.21","130.46","129.20","0.85%"
"2019년 12월 12일","129.04","130.56","130.87","128.71","-1.06%"
"2019년 12월 11일","130.43","129.71","130.76","129.58","0.65%"
"2019년 12월 10일","129.58","130.16","130.62","129.52","-0.35%"
"2019년 12월 09일","130.04","129.94","130.54","129.88","0.11%"
"2019년 12월 06일","129.90","130.12","130.59","129.74","-0.08%"
"2019년 12월 05일","130.00","129.84","130.36","129.57","0.14%"
"2019년 12월 04일","129.82","129.56","130.18","129.33","0.25%"
"2019년 12월 03일","129.49","129.39","130.12","129.11","0.16%"
"2019년 12월 02일","129.28","128.34","129.72","127.77","0.96%"
"2019년 11월 29일","128.05","128.57","129.03","128.01","-0.33%"
"2019년 11월 28일","128.48","128.48","128.92","128.22","0.10%"
"2019년 11월 27일","128.34","127.94","128.58","127.81","0.41%"
"2019년 11월 26일","127.82","127.93","128.69","127.43","0.03%"
"2019년 11월 25일","127.79","128.87","128.99","127.59","-0.70%"
"2019년 11월 22일","128.69","128.69","129.18","128.37","0.06%"
"2019년 11월 21일","128.62","128.17","129.36","127.98","0.45%"
"2019년 11월 20일","128.04","128.05","128.32","127.02","0.09%"
"2019년 11월 19일","127.92","128.04","128.33","127.75","0.01%"
