평균 주간 중간 환율 @ +/- 0%
OANDA FX 요율
https://www.oanda.com


"기간 시작일,PEN/KRW"
"2019-12-23,350.254394"
"2019-12-16,348.546560"
"2019-12-09,350.244133"
"2019-12-02,351.153568"
"2019-11-25,347.926279"
"2019-11-18,347.864430"
"2019-11-11,346.038013"
"2019-11-04,346.354435"
"2019-10-28,349.270004"
"2019-10-21,350.638319"
"2019-10-14,352.054307"
"2019-10-07,352.953884"
"2019-09-30,354.713327"
"2019-09-23,356.178412"
"2019-09-16,355.890298"
"2019-09-09,355.648696"
"2019-09-02,356.238468"
"2019-08-26,357.583835"
"2019-08-19,358.195989"
"2019-08-12,358.144286"
"2019-08-05,359.275433"
"2019-07-29,359.286764"
"2019-07-22,358.554925"
"2019-07-15,358.483436"
"2019-07-08,358.318407"
"2019-07-01,355.138346"
"2019-06-24,350.724542"
"2019-06-17,351.539098"
"2019-06-10,355.230021"
"2019-06-03,352.714896"
"2019-05-27,353.830236"
"2019-05-20,355.902217"
"2019-05-13,358.286427"
"2019-05-06,354.442090"
"2019-04-29,351.366284"
"2019-04-22,347.395421"
"2019-04-15,344.586461"
"2019-04-08,345.545922"
"2019-04-01,343.913005"
"2019-03-25,343.033621"
"2019-03-18,343.354014"
"2019-03-11,343.388849"
"2019-03-04,341.186995"
"2019-02-25,339.472451"
"2019-02-18,338.802785"
"2019-02-11,337.735956"
"2019-02-04,337.459975"
"2019-01-28,334.483727"
"2019-01-21,337.056494"
"2019-01-14,337.174617"
"2019-01-07,334.733534"
"2018-12-31,332.413828"
"2018-12-24,333.070596"
"2018-12-17,336.443707"
"2018-12-10,336.298777"
"2018-12-03,331.131183"
"2018-11-26,332.534131"
"2018-11-19,334.745390"
"2018-11-12,334.332564"
"2018-11-05,333.777528"
"2018-10-29,336.146214"
"2018-10-22,340.675918"
"2018-10-15,338.858899"
"2018-10-08,340.976105"
"2018-10-01,339.087469"
"2018-09-24,337.337649"
"2018-09-17,339.073028"
"2018-09-10,338.279286"
"2018-09-03,338.121304"
"2018-08-27,337.356595"
"2018-08-20,339.172647"
"2018-08-13,340.956048"
"2018-08-06,343.749880"
"2018-07-30,343.018820"
"2018-07-23,342.920738"
"2018-07-16,345.263816"
"2018-07-09,343.135203"
"2018-07-02,339.961450"
"2018-06-25,341.143948"
"2018-06-18,338.806812"
"2018-06-11,332.690234"
"2018-06-04,328.287170"
"2018-05-28,328.689926"
"2018-05-21,329.596984"
"2018-05-14,329.187811"
"2018-05-07,327.692733"
"2018-04-30,329.189254"
"2018-04-23,332.181875"
"2018-04-16,331.918354"
"2018-04-09,331.004465"
"2018-04-02,329.181655"
"2018-03-26,330.623339"
"2018-03-19,331.480321"
"2018-03-12,327.051951"
"2018-03-05,328.484268"
"2018-02-26,331.313846"
"2018-02-19,330.804402"
"2018-02-12,329.249284"
"2018-02-05,334.011809"
"2018-01-29,335.119502"
"2018-01-22,331.930495"
"2018-01-15,332.004915"
"2018-01-08,331.287814"
"2018-01-01,329.980373"
"2017-12-25,330.358265"
"2017-12-18,331.113596"
"2017-12-11,335.714098"
"2017-12-04,337.142507"
"2017-11-27,335.556937"
"2017-11-20,336.889888"
"2017-11-13,340.379379"
"2017-11-06,343.897680"
"2017-10-30,342.997901"
"2017-10-23,347.855748"
"2017-10-16,349.159230"
"2017-10-09,347.581088"
"2017-10-02,350.743584"
"2017-09-25,349.694651"
"2017-09-18,348.169155"
"2017-09-11,349.434729"
"2017-09-04,349.447677"
"2017-08-28,346.330976"
"2017-08-21,349.622352"
"2017-08-14,351.534808"
"2017-08-07,351.022387"
"2017-07-31,346.829852"
"2017-07-24,345.481379"
"2017-07-17,346.638042"
"2017-07-10,350.862359"
"2017-07-03,354.503109"
"2017-06-26,351.692939"
"2017-06-19,348.434160"
"2017-06-12,345.171828"
"2017-06-05,343.533050"
"2017-05-29,342.680771"
"2017-05-22,342.225090"
"2017-05-15,342.858403"
"2017-05-08,344.158548"
"2017-05-01,348.480782"
"2017-04-24,349.210145"
"2017-04-17,350.293499"
"2017-04-10,349.756253"
"2017-04-03,347.743865"
"2017-03-27,343.368850"
"2017-03-20,344.679698"
"2017-03-13,348.347657"
"2017-03-06,350.679354"
"2017-02-27,350.844054"
"2017-02-20,349.889500"
"2017-02-13,351.948929"
"2017-02-06,350.199143"
"2017-01-30,353.048643"
"2017-01-23,355.497214"
"2017-01-16,352.458000"
"2017-01-09,351.952714"
"2017-01-02,356.131000"
"2016-12-26,357.896000"
"2016-12-19,352.757357"
"2016-12-12,346.261714"
"2016-12-05,342.237500"
"2016-11-28,343.605286"
"2016-11-21,344.419286"
"2016-11-14,343.817071"
"2016-11-07,340.505786"
"2016-10-31,339.289286"
"2016-10-24,339.727071"
"2016-10-17,334.133286"
"2016-10-10,331.125857"
"2016-10-03,327.822000"
"2016-09-26,327.015000"
"2016-09-19,329.550286"
"2016-09-12,330.871643"
"2016-09-05,326.356929"
"2016-08-29,330.601429"
"2016-08-22,334.049429"
"2016-08-15,335.144786"
"2016-08-08,333.024286"
"2016-08-01,332.589429"
"2016-07-25,336.115429"
"2016-07-18,344.319214"
"2016-07-11,347.070000"
"2016-07-04,351.659429"
"2016-06-27,351.813786"
"2016-06-20,353.336786"
"2016-06-13,352.723071"
"2016-06-06,350.450857"
"2016-05-30,351.629786"
"2016-05-23,354.477500"
"2016-05-16,355.859571"
"2016-05-09,352.077857"
"2016-05-02,350.553214"
"2016-04-25,349.459286"
"2016-04-18,349.876000"
"2016-04-11,349.200143"
"2016-04-04,343.511357"
"2016-03-28,343.751357"
"2016-03-21,343.725786"
"2016-03-14,349.277071"
"2016-03-07,349.039071"
"2016-02-29,348.573286"
"2016-02-22,350.906143"
"2016-02-15,350.029929"
"2016-02-08,344.224357"
"2016-02-01,346.354786"
"2016-01-25,347.366929"
"2016-01-18,349.809071"
"2016-01-11,353.506214"
"2016-01-04,350.021286"
"2015-12-28,345.373143"

"기간 평균,343.747363"
"기간 저점,326.356929"
"기간 고점,359.286764"
