"날짜","종가","오픈","고가","저가","변동 %"
"2019년 12월 30일","0.3013","0.3016","0.3022","0.3013","-0.10%"
"2019년 12월 27일","0.3016","0.3008","0.3018","0.3004","0.13%"
"2019년 12월 26일","0.3012","0.3016","0.3017","0.3009","-0.13%"
"2019년 12월 25일","0.3016","0.3016","0.3016","0.3016","0.03%"
"2019년 12월 24일","0.3015","0.3017","0.3020","0.3014","0.17%"
"2019년 12월 23일","0.3010","0.3020","0.3025","0.3006","-0.13%"
"2019년 12월 20일","0.3014","0.3000","0.3020","0.2997","0.60%"
"2019년 12월 19일","0.2996","0.2994","0.3004","0.2988","0.13%"
"2019년 12월 18일","0.2992","0.2994","0.3004","0.2988","-0.03%"
"2019년 12월 17일","0.2993","0.2982","0.2997","0.2980","0.40%"
"2019년 12월 16일","0.2981","0.2973","0.2985","0.2972","0.40%"
"2019년 12월 13일","0.2969","0.2961","0.2975","0.2959","0.34%"
"2019년 12월 12일","0.2959","0.2945","0.2962","0.2943","0.44%"
"2019년 12월 11일","0.2946","0.2943","0.2952","0.2941","0.17%"
"2019년 12월 10일","0.2941","0.2959","0.2963","0.2940","-0.68%"
"2019년 12월 09일","0.2961","0.2962","0.2964","0.2957","0.03%"
"2019년 12월 06일","0.2960","0.2959","0.2969","0.2957","0.03%"
"2019년 12월 05일","0.2959","0.2952","0.2968","0.2952","0.03%"
"2019년 12월 04일","0.2958","0.2955","0.2959","0.2952","0.34%"
"2019년 12월 03일","0.2948","0.2945","0.2957","0.2945","0.00%"
"2019년 12월 02일","0.2948","0.2941","0.2949","0.2936","0.48%"
"2019년 11월 29일","0.2934","0.2948","0.2952","0.2932","-0.37%"
"2019년 11월 28일","0.2945","0.2945","0.2959","0.2943","-0.30%"
"2019년 11월 27일","0.2954","0.2952","0.2957","0.2944","0.07%"
"2019년 11월 26일","0.2952","0.2952","0.2961","0.2949","0.00%"
"2019년 11월 25일","0.2952","0.2957","0.2957","0.2946","0.03%"
"2019년 11월 22일","0.2951","0.2961","0.2968","0.2946","-0.30%"
"2019년 11월 21일","0.2960","0.2957","0.2966","0.2950","0.17%"
"2019년 11월 20일","0.2955","0.2954","0.2962","0.2948","-0.17%"
"2019년 11월 19일","0.2960","0.2962","0.2970","0.2955","-0.10%"
"2019년 11월 18일","0.2963","0.2973","0.2973","0.2963","-0.30%"
"2019년 11월 15일","0.2972","0.2957","0.2975","0.2952","0.75%"
"2019년 11월 14일","0.2950","0.2948","0.2956","0.2943","-0.03%"
"2019년 11월 13일","0.2951","0.2959","0.2959","0.2943","-0.10%"
"2019년 11월 12일","0.2954","0.2965","0.2973","0.2952","-0.67%"
"2019년 11월 11일","0.2974","0.2979","0.2980","0.2968","0.00%"
"2019년 11월 08일","0.2974","0.2993","0.2993","0.2975","-0.54%"
"2019년 11월 07일","0.2990","0.2995","0.3000","0.2982","-0.10%"
"2019년 11월 06일","0.2993","0.3002","0.3002","0.2989","-0.03%"
"2019년 11월 05일","0.2994","0.2994","0.3002","0.2988","-0.17%"
"2019년 11월 04일","0.2999","0.2986","0.3002","0.2986","0.33%"
"2019년 11월 01일","0.2989","0.2989","0.2989","0.2989","0.00%"
"2019년 10월 31일","0.2989","0.2991","0.2991","0.2988","0.07%"
"2019년 10월 30일","0.2987","0.2984","0.2998","0.2979","-0.33%"
"2019년 10월 29일","0.2997","0.3000","0.3006","0.2993","-0.07%"
"2019년 10월 28일","0.2999","0.2995","0.3006","0.2995","0.17%"
"2019년 10월 25일","0.2994","0.2989","0.2998","0.2982","0.34%"
"2019년 10월 24일","0.2984","0.2989","0.2995","0.2982","-0.13%"
"2019년 10월 23일","0.2988","0.2991","0.2994","0.2986","0.13%"
"2019년 10월 22일","0.2984","0.2995","0.3000","0.2984","-0.33%"
"2019년 10월 21일","0.2994","0.2997","0.2998","0.2980","0.00%"
"2019년 10월 18일","0.2994","0.2985","0.2997","0.2977","0.34%"
"2019년 10월 17일","0.2984","0.2975","0.2986","0.2973","0.34%"
"2019년 10월 16일","0.2974","0.2970","0.2975","0.2962","0.17%"
"2019년 10월 15일","0.2969","0.2977","0.2977","0.2959","0.00%"
"2019년 10월 14일","0.2969","0.2977","0.2978","0.2966","-0.17%"
"2019년 10월 11일","0.2974","0.2971","0.2986","0.2968","0.10%"
"2019년 10월 10일","0.2971","0.2970","0.2982","0.2961","0.07%"
"2019년 10월 09일","0.2969","0.2958","0.2970","0.2953","0.51%"
"2019년 10월 08일","0.2954","0.2955","0.2955","0.2955","0.00%"
"2019년 10월 07일","0.2954","0.2959","0.2959","0.2946","-0.14%"
"2019년 10월 04일","0.2958","0.2966","0.2970","0.2956","-0.17%"
"2019년 10월 03일","0.2963","0.2957","0.2970","0.2952","0.51%"
