"날짜","종가","오픈","고가","저가","변동 %"
"2019년 12월 30일","38.617","38.481","38.707","38.310","0.50%"
"2019년 12월 27일","38.427","38.609","38.611","38.406","-0.37%"
"2019년 12월 26일","38.569","38.480","38.649","38.450","0.37%"
"2019년 12월 25일","38.428","38.593","38.610","38.479","-0.34%"
"2019년 12월 24일","38.558","38.588","38.651","38.480","0.05%"
"2019년 12월 23일","38.537","38.390","38.618","38.374","0.45%"
"2019년 12월 20일","38.364","38.532","38.621","38.368","-0.32%"
"2019년 12월 19일","38.486","38.594","38.667","38.465","-0.24%"
"2019년 12월 18일","38.577","38.491","38.689","38.422","0.33%"
"2019년 12월 17일","38.451","38.679","38.752","38.394","-0.47%"
"2019년 12월 16일","38.633","38.941","38.985","38.629","-0.72%"
"2019년 12월 13일","38.913","38.876","39.013","38.709","0.21%"
"2019년 12월 12일","38.830","39.352","39.505","38.803","-1.21%"
"2019년 12월 11일","39.306","39.316","39.512","39.244","0.09%"
"2019년 12월 10일","39.270","39.279","39.386","39.229","0.09%"
"2019년 12월 09일","39.233","39.091","39.366","39.066","0.51%"
"2019년 12월 06일","39.036","39.154","39.291","39.049","-0.20%"
"2019년 12월 05일","39.115","39.306","39.353","39.133","-0.44%"
"2019년 12월 04일","39.286","39.299","39.498","39.236","0.05%"
"2019년 12월 03일","39.266","39.161","39.452","39.112","0.39%"
"2019년 12월 02일","39.115","39.097","39.217","38.960","0.05%"
"2019년 11월 29일","39.096","38.989","39.148","38.952","0.35%"
"2019년 11월 28일","38.958","38.934","39.059","38.880","0.18%"
"2019년 11월 27일","38.888","38.813","38.990","38.777","0.30%"
"2019년 11월 26일","38.771","38.848","39.022","38.703","-0.07%"
"2019년 11월 25일","38.799","39.098","39.098","38.802","-0.61%"
"2019년 11월 22일","39.038","38.952","39.106","38.905","0.28%"
"2019년 11월 21일","38.930","38.782","39.064","38.743","0.50%"
"2019년 11월 20일","38.736","38.700","38.844","38.660","0.21%"
"2019년 11월 19일","38.654","38.656","38.774","38.580","0.10%"
"2019년 11월 18일","38.617","38.461","38.682","38.410","0.54%"
"2019년 11월 15일","38.409","38.718","38.745","38.429","-0.69%"
"2019년 11월 14일","38.678","38.759","38.839","38.644","-0.16%"
"2019년 11월 13일","38.739","38.430","38.847","38.396","0.91%"
"2019년 11월 12일","38.390","38.394","38.449","38.224","0.09%"
"2019년 11월 11일","38.355","38.148","38.482","38.142","0.57%"
"2019년 11월 08일","38.137","37.960","38.186","37.922","0.57%"
"2019년 11월 07일","37.921","38.349","38.386","37.878","-0.98%"
"2019년 11월 06일","38.297","38.236","38.382","38.128","0.30%"
"2019년 11월 05일","38.184","38.485","38.501","38.204","-0.73%"
"2019년 11월 04일","38.465","38.589","38.606","38.384","-0.33%"
"2019년 11월 01일","38.591","38.763","38.824","38.569","-0.32%"
"2019년 10월 31일","38.717","38.532","38.806","38.406","0.58%"
"2019년 10월 30일","38.493","38.603","38.718","38.503","-0.26%"
"2019년 10월 29일","38.591","38.638","38.705","38.490","-0.02%"
"2019년 10월 28일","38.599","38.834","38.834","38.603","-0.58%"
"2019년 10월 25일","38.822","38.856","38.971","38.775","-0.03%"
"2019년 10월 24일","38.834","38.661","38.872","38.547","0.57%"
"2019년 10월 23일","38.616","38.702","38.812","38.606","-0.11%"
"2019년 10월 22일","38.657","38.747","38.807","38.580","-0.19%"
"2019년 10월 21일","38.729","38.889","38.972","38.625","-0.38%"
"2019년 10월 18일","38.875","38.939","39.069","38.873","-0.09%"
"2019년 10월 17일","38.910","39.069","39.152","38.746","-0.29%"
"2019년 10월 16일","39.023","38.931","39.157","38.891","0.29%"
"2019년 10월 15일","38.909","38.938","39.096","38.857","0.03%"
"2019년 10월 14일","38.899","38.924","39.078","38.782","0.20%"
"2019년 10월 11일","38.821","39.166","39.222","38.683","-0.78%"
"2019년 10월 10일","39.127","39.528","39.632","39.116","-0.90%"
"2019년 10월 09일","39.482","39.468","39.607","39.406","0.14%"
"2019년 10월 08일","39.429","39.296","39.477","39.136","0.46%"
"2019년 10월 07일","39.250","39.188","39.352","39.137","0.29%"
"2019년 10월 04일","39.134","39.361","39.390","39.161","-0.48%"
"2019년 10월 03일","39.322","39.417","39.451","39.307","-0.13%"
"2019년 10월 02일","39.371","39.313","39.454","39.215","0.26%"
"2019년 10월 01일","39.268","39.186","39.339","39.056","0.32%"
"2019년 09월 30일","39.140","39.267","39.308","39.075","-0.26%"
"2019년 09월 27일","39.242","39.167","39.318","39.047","0.31%"
"2019년 09월 26일","39.121","39.197","39.283","39.114","-0.08%"
"2019년 09월 25일","39.152","39.134","39.326","39.090","0.16%"
"2019년 09월 24일","39.088","39.220","39.259","39.019","-0.22%"
"2019년 09월 23일","39.174","39.171","39.331","39.055","0.14%"
