날짜,통화명,환율,전일대비,Cross Rate
2015.12.28,베트남 동화 (VND) (100),5.19,-0.01,"22,543.50"
2015.12.29,베트남 동화 (VND) (100),5.17,-0.02,"22,532.00"
2015.12.30,베트남 동화 (VND) (100),5.19,0.02,"22,480.00"
2015.12.31,베트남 동화 (VND) (100),5.22,0.03,"22,445.00"
2016.01.04,베트남 동화 (VND) (100),5.21,-0.01,"22,485.00"
2016.01.05,베트남 동화 (VND) (100),5.27,0.06,"22,485.00"
2016.01.06,베트남 동화 (VND) (100),5.28,0.01,"22,485.00"
2016.01.07,베트남 동화 (VND) (100),5.31,0.03,"22,467.50"
2016.01.08,베트남 동화 (VND) (100),5.34,0.03,"22,475.00"
2016.01.11,베트남 동화 (VND) (100),5.32,-0.02,"22,465.00"
2016.01.12,베트남 동화 (VND) (100),5.38,0.06,"22,453.00"
2016.01.13,베트남 동화 (VND) (100),5.39,0.01,"22,429.50"
2016.01.14,베트남 동화 (VND) (100),5.38,-0.01,"22,406.50"
2016.01.15,베트남 동화 (VND) (100),5.4,0.02,"22,437.50"
2016.01.18,베트남 동화 (VND) (100),5.4,0,"22,416.50"
2016.01.19,베트남 동화 (VND) (100),5.41,0.01,"22,400.00"
2016.01.20,베트남 동화 (VND) (100),5.39,-0.02,"22,455.00"
2016.01.21,베트남 동화 (VND) (100),5.4,0.01,"22,457.00"
2016.01.22,베트남 동화 (VND) (100),5.4,0,"22,391.00"
2016.01.25,베트남 동화 (VND) (100),5.36,-0.04,"22,455.00"
2016.01.26,베트남 동화 (VND) (100),5.34,-0.02,"22,355.00"
2016.01.27,베트남 동화 (VND) (100),5.38,0.04,"22,333.50"
2016.01.28,베트남 동화 (VND) (100),5.39,0.01,"22,295.00"
2016.01.29,베트남 동화 (VND) (100),5.44,0.05,"22,230.00"
2016.02.01,베트남 동화 (VND) (100),5.42,-0.02,"22,241.00"
2016.02.02,베트남 동화 (VND) (100),5.41,-0.01,"22,271.00"
2016.02.03,베트남 동화 (VND) (100),5.4,-0.01,"22,285.50"
2016.02.04,베트남 동화 (VND) (100),5.46,0.06,"22,276.50"
2016.02.05,베트남 동화 (VND) (100),5.4,-0.06,"22,288.50"
2016.02.11,베트남 동화 (VND) (100),5.36,-0.04,"22,277.00"
2016.02.12,베트남 동화 (VND) (100),5.37,0.01,"22,276.00"
2016.02.15,베트남 동화 (VND) (100),5.41,0.04,"22,308.00"
2016.02.16,베트남 동화 (VND) (100),5.41,0,"22,370.00"
2016.02.17,베트남 동화 (VND) (100),5.43,0.02,"22,392.00"
2016.02.18,베트남 동화 (VND) (100),5.47,0.04,"22,388.50"
2016.02.19,베트남 동화 (VND) (100),5.48,0.01,"22,355.00"
2016.02.22,베트남 동화 (VND) (100),5.52,0.04,"22,348.50"
2016.02.23,베트남 동화 (VND) (100),5.51,-0.01,"22,377.00"
2016.02.24,베트남 동화 (VND) (100),5.5,-0.01,"22,375.50"
2016.02.25,베트남 동화 (VND) (100),5.52,0.02,"22,385.00"
2016.02.26,베트남 동화 (VND) (100),5.53,0.01,"22,360.50"
2016.02.29,베트남 동화 (VND) (100),5.54,0.01,"22,317.50"
2016.03.02,베트남 동화 (VND) (100),5.56,0.02,"22,302.00"
2016.03.03,베트남 동화 (VND) (100),5.52,-0.04,"22,315.00"
2016.03.04,베트남 동화 (VND) (100),5.47,-0.05,"22,302.00"
2016.03.07,베트남 동화 (VND) (100),5.42,-0.05,"22,277.50"
2016.03.08,베트남 동화 (VND) (100),5.37,-0.05,"22,348.00"
2016.03.09,베트남 동화 (VND) (100),5.41,0.04,"22,290.00"
2016.03.10,베트남 동화 (VND) (100),5.45,0.04,"22,291.50"
2016.03.11,베트남 동화 (VND) (100),5.43,-0.02,"22,270.00"
2016.03.14,베트남 동화 (VND) (100),5.39,-0.04,"22,281.50"
2016.03.15,베트남 동화 (VND) (100),5.32,-0.07,"22,295.50"
2016.03.16,베트남 동화 (VND) (100),5.34,0.02,"22,287.00"
2016.03.17,베트남 동화 (VND) (100),5.35,0.01,"22,295.00"
2016.03.18,베트남 동화 (VND) (100),5.27,-0.08,"22,272.50"
2016.03.21,베트남 동화 (VND) (100),5.21,-0.06,"22,303.00"
2016.03.22,베트남 동화 (VND) (100),5.23,0.02,"22,287.00"
2016.03.23,베트남 동화 (VND) (100),5.2,-0.03,"22,300.00"
2016.03.24,베트남 동화 (VND) (100),5.18,-0.02,"22,362.50"
2016.03.25,베트남 동화 (VND) (100),5.22,0.04,"22,351.50"
2016.03.28,베트남 동화 (VND) (100),5.24,0.02,"22,302.50"
2016.03.29,베트남 동화 (VND) (100),5.24,0,"22,341.50"
2016.03.30,베트남 동화 (VND) (100),5.21,-0.03,"22,341.50"
2016.03.31,베트남 동화 (VND) (100),5.18,-0.03,"22,264.50"
2016.04.01,베트남 동화 (VND) (100),5.13,-0.05,"22,325.00"
2016.04.04,베트남 동화 (VND) (100),5.15,0.02,"22,329.00"
2016.04.05,베트남 동화 (VND) (100),5.14,-0.01,"22,330.50"
2016.04.06,베트남 동화 (VND) (100),5.17,0.03,"22,331.00"
2016.04.07,베트남 동화 (VND) (100),5.18,0.01,"22,300.00"
2016.04.08,베트남 동화 (VND) (100),5.18,0,"22,295.00"
2016.04.11,베트남 동화 (VND) (100),5.19,0.01,"22,294.50"
2016.04.12,베트남 동화 (VND) (100),5.15,-0.04,"22,295.00"
2016.04.14,베트남 동화 (VND) (100),5.13,-0.02,"22,333.00"
2016.04.15,베트남 동화 (VND) (100),5.16,0.03,"22,340.00"
2016.04.18,베트남 동화 (VND) (100),5.15,-0.01,"22,339.00"
2016.04.19,베트남 동화 (VND) (100),5.15,0,"22,338.00"
2016.04.20,베트남 동화 (VND) (100),5.11,-0.04,"22,334.00"
2016.04.21,베트남 동화 (VND) (100),5.07,-0.04,"22,333.50"
2016.04.22,베트남 동화 (VND) (100),5.08,0.01,"22,330.00"
2016.04.25,베트남 동화 (VND) (100),5.12,0.04,"22,279.00"
2016.04.26,베트남 동화 (VND) (100),5.16,0.04,"22,292.50"
2016.04.27,베트남 동화 (VND) (100),5.16,0,"22,280.00"
2016.04.28,베트남 동화 (VND) (100),5.15,-0.01,"22,269.00"
2016.04.29,베트남 동화 (VND) (100),5.13,-0.02,"22,292.50"
2016.05.02,베트남 동화 (VND) (100),5.11,-0.02,"22,288.00"
2016.05.03,베트남 동화 (VND) (100),5.12,0.01,"22,279.00"
2016.05.04,베트남 동화 (VND) (100),5.1,-0.02,"22,289.50"
2016.05.09,베트남 동화 (VND) (100),5.18,0.08,"22,272.50"
2016.05.10,베트남 동화 (VND) (100),5.23,0.05,"22,280.50"
2016.05.11,베트남 동화 (VND) (100),5.27,0.04,"22,284.00"
