"날짜","종가","오픈","고가","저가","변동 %"
"2019년 12월 30일","0.00004315","0.00004316","0.00004316","0.00004315","-0.02%"
"2019년 12월 29일","0.00004316","0.00004316","0.00004316","0.00004316","0.00%"
"2019년 12월 27일","0.00004316","0.00004316","0.00004316","0.00004315","0.00%"
"2019년 12월 26일","0.00004316","0.00004315","0.00004316","0.00004315","0.02%"
"2019년 12월 25일","0.00004315","0.00004315","0.00004316","0.00004315","0.00%"
"2019년 12월 24일","0.00004315","0.00004315","0.00004315","0.00004314","0.00%"
"2019년 12월 23일","0.00004315","0.00004315","0.00004316","0.00004315","0.00%"
"2019년 12월 22일","0.00004315","0.00004315","0.00004315","0.00004315","0.00%"
"2019년 12월 20일","0.00004315","0.00004316","0.00004316","0.00004311","-0.02%"
"2019년 12월 19일","0.00004316","0.00004315","0.00004316","0.00004315","0.02%"
"2019년 12월 18일","0.00004315","0.00004315","0.00004316","0.00004315","0.00%"
"2019년 12월 17일","0.00004315","0.00004315","0.00004316","0.00004315","0.00%"
"2019년 12월 16일","0.00004315","0.00004315","0.00004316","0.00004315","0.00%"
"2019년 12월 15일","0.00004315","0.00004315","0.00004315","0.00004315","0.00%"
"2019년 12월 13일","0.00004315","0.00004316","0.00004316","0.00004315","-0.02%"
"2019년 12월 12일","0.00004316","0.00004315","0.00004316","0.00004315","0.02%"
"2019년 12월 11일","0.00004315","0.00004316","0.00004316","0.00004315","-0.02%"
"2019년 12월 10일","0.00004316","0.00004316","0.00004316","0.00004315","0.00%"
"2019년 12월 09일","0.00004316","0.00004315","0.00004316","0.00004315","0.02%"
"2019년 12월 08일","0.00004315","0.00004315","0.00004315","0.00004315","0.00%"
"2019년 12월 06일","0.00004315","0.00004316","0.00004317","0.00004314","-0.02%"
"2019년 12월 05일","0.00004316","0.00004315","0.00004316","0.00004314","0.02%"
"2019년 12월 04일","0.00004315","0.00004316","0.00004317","0.00004315","-0.02%"
"2019년 12월 03일","0.00004316","0.00004315","0.00004316","0.00004314","0.02%"
"2019년 12월 02일","0.00004315","0.00004314","0.00004317","0.00004310","0.02%"
"2019년 12월 01일","0.00004314","0.00004314","0.00004314","0.00004314","0.00%"
"2019년 11월 29일","0.00004314","0.00004310","0.00004314","0.00004310","0.09%"
"2019년 11월 28일","0.00004310","0.00004310","0.00004311","0.00004309","0.00%"
"2019년 11월 27일","0.00004310","0.00004312","0.00004312","0.00004309","-0.05%"
"2019년 11월 26일","0.00004312","0.00004310","0.00004313","0.00004310","0.05%"
"2019년 11월 25일","0.00004310","0.00004311","0.00004311","0.00004310","-0.02%"
"2019년 11월 24일","0.00004311","0.00004311","0.00004311","0.00004311","0.00%"
"2019년 11월 22일","0.00004311","0.00004311","0.00004312","0.00004310","0.00%"
"2019년 11월 21일","0.00004311","0.00004310","0.00004312","0.00004310","0.02%"
"2019년 11월 20일","0.00004310","0.00004310","0.00004310","0.00004309","0.00%"
"2019년 11월 19일","0.00004310","0.00004309","0.00004311","0.00004309","0.02%"
"2019년 11월 18일","0.00004309","0.00004309","0.00004310","0.00004309","0.00%"
"2019년 11월 17일","0.00004309","0.00004309","0.00004309","0.00004309","0.00%"
"2019년 11월 15일","0.00004309","0.00004310","0.00004310","0.00004309","-0.02%"
"2019년 11월 14일","0.00004310","0.00004310","0.00004310","0.00004310","0.00%"
"2019년 11월 13일","0.00004310","0.00004310","0.00004310","0.00004310","0.00%"
"2019년 11월 12일","0.00004310","0.00004310","0.00004311","0.00004310","0.00%"
"2019년 11월 11일","0.00004310","0.00004311","0.00004311","0.00004310","-0.02%"
"2019년 11월 10일","0.00004311","0.00004311","0.00004311","0.00004311","0.00%"
"2019년 11월 08일","0.00004311","0.00004310","0.00004311","0.00004310","0.02%"
"2019년 11월 07일","0.00004310","0.00004310","0.00004311","0.00004310","0.00%"
"2019년 11월 06일","0.00004310","0.00004310","0.00004311","0.00004310","0.00%"
"2019년 11월 05일","0.00004310","0.00004310","0.00004311","0.00004310","0.00%"
"2019년 11월 04일","0.00004310","0.00004310","0.00004311","0.00004310","0.00%"
"2019년 11월 03일","0.00004310","0.00004310","0.00004310","0.00004310","0.00%"
"2019년 11월 01일","0.00004310","0.00004310","0.00004311","0.00004310","0.00%"
"2019년 10월 31일","0.00004310","0.00004310","0.00004310","0.00004310","0.00%"
"2019년 10월 30일","0.00004310","0.00004310","0.00004310","0.00004310","0.00%"
"2019년 10월 29일","0.00004310","0.00004310","0.00004310","0.00004309","0.00%"
"2019년 10월 28일","0.00004310","0.00004310","0.00004310","0.00004310","0.00%"
"2019년 10월 27일","0.00004310","0.00004310","0.00004310","0.00004310","0.00%"
"2019년 10월 25일","0.00004310","0.00004310","0.00004310","0.00004309","0.00%"
"2019년 10월 24일","0.00004310","0.00004309","0.00004310","0.00004309","0.02%"
"2019년 10월 23일","0.00004309","0.00004310","0.00004310","0.00004309","-0.02%"
"2019년 10월 22일","0.00004310","0.00004309","0.00004310","0.00004309","0.02%"
"2019년 10월 21일","0.00004309","0.00004310","0.00004310","0.00004309","-0.02%"
"2019년 10월 20일","0.00004310","0.00004310","0.00004310","0.00004310","0.00%"
"2019년 10월 18일","0.00004310","0.00004309","0.00004310","0.00004309","0.02%"
"2019년 10월 17일","0.00004309","0.00004310","0.00004310","0.00004308","-0.02%"
"2019년 10월 16일","0.00004310","0.00004310","0.00004310","0.00004310","0.00%"
"2019년 10월 15일","0.00004310","0.00004309","0.00004310","0.00004309","0.02%"
"2019년 10월 14일","0.00004309","0.00004309","0.00004311","0.00004309","0.00%"
"2019년 10월 13일","0.00004309","0.00004309","0.00004309","0.00004309","0.00%"
"2019년 10월 11일","0.00004309","0.00004310","0.00004310","0.00004309","-0.02%"
"2019년 10월 10일","0.00004310","0.00004306","0.00004312","0.00004306","0.09%"
"2019년 10월 09일","0.00004306","0.00004310","0.00004310","0.00004306","-0.09%"
"2019년 10월 08일","0.00004310","0.00004310","0.00004310","0.00004309","0.00%"
"2019년 10월 07일","0.00004310","0.00004310","0.00004310","0.00004309","0.00%"
"2019년 10월 06일","0.00004310","0.00004310","0.00004310","0.00004310","0.00%"
"2019년 10월 04일","0.00004310","0.00004310","0.00004310","0.00004309","0.00%"
"2019년 10월 03일","0.00004310","0.00004309","0.00004310","0.00004309","0.02%"
"2019년 10월 02일","0.00004309","0.00004310","0.00004310","0.00004309","-0.02%"
"2019년 10월 01일","0.00004310","0.00004310","0.00004310","0.00004309","0.00%"
"2019년 09월 30일","0.00004310","0.00004310","0.00004310","0.00004309","0.02%"
"2019년 09월 29일","0.00004309","0.00004309","0.00004309","0.00004309","0.00%"
"2019년 09월 27일","0.00004309","0.00004310","0.00004310","0.00004309","-0.02%"
"2019년 09월 26일","0.00004310","0.00004309","0.00004310","0.00004309","0.02%"
"2019년 09월 25일","0.00004309","0.00004309","0.00004310","0.00004309","0.00%"
"2019년 09월 24일","0.00004309","0.00004310","0.00004310","0.00004309","-0.02%"
"2019년 09월 23일","0.00004310","0.00004309","0.00004310","0.00004309","0.02%"
"2019년 09월 22일","0.00004309","0.00004309","0.00004309","0.00004309","0.00%"
"2019년 09월 20일","0.00004309","0.00004308","0.00004310","0.00004308","0.02%"
"2019년 09월 19일","0.00004308","0.00004308","0.00004309","0.00004307","0.00%"
"2019년 09월 18일","0.00004308","0.00004305","0.00004309","0.00004305","0.07%"
"2019년 09월 17일","0.00004305","0.00004307","0.00004307","0.00004305","-0.05%"
"2019년 09월 16일","0.00004307","0.00004308","0.00004308","0.00004306","-0.05%"
"2019년 09월 15일","0.00004309","0.00004309","0.00004309","0.00004309","0.00%"
"2019년 09월 13일","0.00004309","0.00004309","0.00004309","0.00004307","0.00%"
"2019년 09월 12일","0.00004309","0.00004310","0.00004310","0.00004309","-0.02%"
"2019년 09월 11일","0.00004310","0.00004310","0.00004311","0.00004310","0.00%"
"2019년 09월 10일","0.00004310","0.00004310","0.00004311","0.00004310","0.00%"
"2019년 09월 09일","0.00004310","0.00004311","0.00004311","0.00004310","-0.02%"
"2019년 09월 08일","0.00004311","0.00004311","0.00004311","0.00004311","0.00%"
"2019년 09월 06일","0.00004311","0.00004311","0.00004311","0.00004310","0.00%"
"2019년 09월 05일","0.00004311","0.00004310","0.00004311","0.00004309","0.02%"
