,날짜,종가
0,2019-12-30,1.5331
5,2019-12-23,1.5435
10,2019-12-16,1.5321
15,2019-12-09,1.5379
20,2019-12-02,1.4736
25,2019-11-25,1.4796
30,2019-11-18,1.5
35,2019-11-11,1.533
40,2019-11-04,1.5668
45,2019-10-28,1.6127
50,2019-10-21,1.6111
55,2019-10-14,1.657
60,2019-10-07,1.6635
65,2019-09-30,1.643
70,2019-09-23,1.6533
75,2019-09-16,1.6676
80,2019-09-09,1.6659
85,2019-09-02,1.6719
90,2019-08-26,1.6827
95,2019-08-19,1.6971
100,2019-08-12,1.7055
105,2019-08-05,1.6871
110,2019-07-29,1.6974
115,2019-07-22,1.7053
120,2019-07-15,1.7346
125,2019-07-08,1.7148
130,2019-07-01,1.7049
135,2019-06-24,1.6941
140,2019-06-17,1.6928
145,2019-06-10,1.6895
150,2019-06-03,1.675
155,2019-05-27,1.6937
160,2019-05-20,1.7148
165,2019-05-13,1.7123
170,2019-05-06,1.7202
175,2019-04-29,1.7079
180,2019-04-22,1.7148
185,2019-04-15,1.7152
190,2019-04-08,1.7189
195,2019-04-01,1.6951
200,2019-03-25,1.6667
205,2019-03-18,1.7006
210,2019-03-11,1.6874
215,2019-03-04,1.7063
220,2019-02-25,1.7155
225,2019-02-18,1.7044
230,2019-02-11,1.7011
235,2019-02-04,1.7161
240,2019-01-28,1.6679
245,2019-01-21,1.6876
250,2019-01-14,1.6651
255,2019-01-07,1.6405
260,2018-12-31,1.6056
265,2018-12-24,1.63
270,2018-12-17,1.6412
275,2018-12-10,1.6634
280,2018-12-03,1.658
285,2018-11-26,1.6693
290,2018-11-19,1.6811
295,2018-11-12,1.657
300,2018-11-05,1.6497
305,2018-10-29,1.6493
310,2018-10-22,1.6608
315,2018-10-15,1.6736
320,2018-10-08,1.6708
325,2018-10-01,1.6906
330,2018-09-24,1.6638
335,2018-09-17,1.6413
340,2018-09-10,1.6226
345,2018-09-03,1.6277
350,2018-08-27,1.6825
355,2018-08-20,1.6726
360,2018-08-13,1.7218
365,2018-08-06,1.7417
370,2018-07-30,1.7504
375,2018-07-23,1.7129
380,2018-07-16,1.7357
385,2018-07-09,1.7113
390,2018-07-02,1.701
395,2018-06-25,1.7466
400,2018-06-18,1.733
405,2018-06-11,1.7006
410,2018-06-04,1.6956
415,2018-05-28,1.7219
420,2018-05-21,1.6917
425,2018-05-14,1.7124
430,2018-05-07,1.716
435,2018-04-30,1.7452
440,2018-04-23,1.793
445,2018-04-16,1.796
450,2018-04-09,1.7704
455,2018-04-02,1.7466
460,2018-03-26,1.7789
465,2018-03-19,1.7617
470,2018-03-12,1.7637
475,2018-03-05,1.8011
480,2018-02-26,1.8217
485,2018-02-19,1.7954
490,2018-02-12,1.8103
495,2018-02-05,1.8166
500,2018-01-29,1.7744
505,2018-01-22,1.7674
510,2018-01-15,1.7631
515,2018-01-08,1.7649
520,2018-01-01,1.7331
525,2017-12-25,1.7294
530,2017-12-18,1.7458
535,2017-12-11,1.6595
540,2017-12-04,1.6764
545,2017-11-27,1.7113
550,2017-11-20,1.7232
555,2017-11-13,1.7797
560,2017-11-06,1.7579
565,2017-10-30,1.7594
570,2017-10-23,1.785
575,2017-10-16,1.8221
580,2017-10-09,1.8058
585,2017-10-02,1.7952
590,2017-09-25,1.8031
595,2017-09-18,1.8073
600,2017-09-11,1.8148
605,2017-09-04,1.8146
610,2017-08-28,1.7801
615,2017-08-21,1.7713
620,2017-08-14,1.7563
625,2017-08-07,1.7296
630,2017-07-31,1.7233
635,2017-07-24,1.7111
640,2017-07-17,1.7089
645,2017-07-10,1.7248
650,2017-07-03,1.7363
655,2017-06-26,1.7144
660,2017-06-19,1.7179
665,2017-06-12,1.7093
670,2017-06-05,1.6712
675,2017-05-29,1.6631
680,2017-05-22,1.664
685,2017-05-15,1.6728
690,2017-05-08,1.6702
695,2017-05-01,1.709
700,2017-04-24,1.7313
705,2017-04-17,1.7552
710,2017-04-10,1.7518
715,2017-04-03,1.6971
720,2017-03-27,1.6716
725,2017-03-20,1.6883
730,2017-03-13,1.7223
735,2017-03-06,1.7457
740,2017-02-27,1.755
745,2017-02-20,1.7865
750,2017-02-13,1.7891
755,2017-02-06,1.771
760,2017-01-30,1.808
765,2017-01-23,1.7808
770,2017-01-16,1.7866
775,2017-01-09,1.7933
780,2017-01-02,1.7974
785,2016-12-26,1.7879
790,2016-12-19,1.7533
795,2016-12-12,1.7941
800,2016-12-05,1.7545
805,2016-11-28,1.7355
810,2016-11-21,1.7495
815,2016-11-14,1.7426
820,2016-11-07,1.7476
825,2016-10-31,1.7513
830,2016-10-24,1.7234
835,2016-10-17,1.6956
840,2016-10-10,1.6559
845,2016-10-03,1.6722
850,2016-09-26,1.6741
855,2016-09-19,1.6576
860,2016-09-12,1.6584
865,2016-09-05,1.6394
870,2016-08-29,1.6673
875,2016-08-22,1.6805
880,2016-08-15,1.6905
885,2016-08-08,1.6911
890,2016-08-01,1.6828
895,2016-07-25,1.7328
900,2016-07-18,1.7508
905,2016-07-11,1.7401
910,2016-07-04,1.7536
915,2016-06-27,1.7304
920,2016-06-20,1.7092
925,2016-06-13,1.7125
930,2016-06-06,1.7109
935,2016-05-30,1.7351
940,2016-05-23,1.703
945,2016-05-16,1.6974
950,2016-05-09,1.7352
955,2016-05-02,1.7193
960,2016-04-25,1.7199
965,2016-04-18,1.7252
970,2016-04-11,1.6825
975,2016-04-04,1.7127
980,2016-03-28,1.7113
985,2016-03-21,1.7173
990,2016-03-14,1.7413
995,2016-03-07,1.7681
1000,2016-02-29,1.7776
1005,2016-02-22,1.7683
1010,2016-02-15,1.7292
1015,2016-02-08,1.687
1020,2016-02-01,1.6899
1025,2016-01-25,1.6601
1030,2016-01-18,1.6588
1035,2016-01-11,1.6461
1040,2016-01-04,1.6602
1045,2015-12-28,1.6511
