,날짜,종가
1045,2015-12-28,180.13
1040,2016-01-04,182.14
1035,2016-01-11,183.38
1030,2016-01-18,184.16
1025,2016-01-25,182.34
1020,2016-02-01,182.84
1015,2016-02-08,183.16
1010,2016-02-15,187.0
1005,2016-02-22,187.69
1000,2016-02-29,188.93
995,2016-03-07,184.12
990,2016-03-14,182.93
985,2016-03-21,179.08
980,2016-03-28,179.18
975,2016-04-04,177.84
970,2016-04-11,176.89
965,2016-04-18,176.72
960,2016-04-25,177.3
955,2016-05-02,175.64
950,2016-05-09,180.39
945,2016-05-16,180.67
940,2016-05-23,180.49
935,2016-05-30,182.03
930,2016-06-06,177.18
925,2016-06-13,178.03
920,2016-06-20,176.36
915,2016-06-27,177.49
910,2016-07-04,172.86
905,2016-07-11,171.94
900,2016-07-18,169.32
895,2016-07-25,171.06
890,2016-08-01,166.84
885,2016-08-08,166.26
880,2016-08-15,165.39
875,2016-08-22,168.96
870,2016-08-29,167.74
865,2016-09-05,165.44
860,2016-09-12,165.81
855,2016-09-19,167.87
850,2016-09-26,166.28
845,2016-10-03,165.5
840,2016-10-10,165.28
835,2016-10-17,168.69
830,2016-10-24,167.62
825,2016-10-31,168.65
820,2016-11-07,168.47
815,2016-11-14,170.72
810,2016-11-21,171.22
805,2016-11-28,169.62
800,2016-12-05,169.62
795,2016-12-12,168.63
790,2016-12-19,170.86
785,2016-12-26,172.84
780,2017-01-02,173.35
775,2017-01-09,173.46
770,2017-01-16,171.48
765,2017-01-23,169.72
760,2017-01-30,170.12
755,2017-02-06,165.38
750,2017-02-13,167.07
745,2017-02-20,166.51
740,2017-02-27,165.14
735,2017-03-06,167.48
730,2017-03-13,166.03
725,2017-03-20,161.32
720,2017-03-27,161.69
715,2017-04-03,162.23
710,2017-04-10,165.65
705,2017-04-17,164.63
700,2017-04-24,164.76
695,2017-05-01,165.03
690,2017-05-08,164.19
685,2017-05-15,162.21
680,2017-05-22,162.06
675,2017-05-29,163.67
670,2017-06-05,164.36
665,2017-06-12,166.37
660,2017-06-19,166.69
655,2017-06-26,165.69
650,2017-07-03,169.15
645,2017-07-10,168.97
640,2017-07-17,166.68
635,2017-07-24,165.22
630,2017-07-31,166.41
625,2017-08-07,167.69
620,2017-08-14,170.79
615,2017-08-21,170.84
610,2017-08-28,169.25
605,2017-09-04,173.54
600,2017-09-11,173.1
595,2017-09-18,171.87
590,2017-09-25,171.39
585,2017-10-02,172.34
580,2017-10-09,172.63
575,2017-10-16,171.22
570,2017-10-23,170.31
565,2017-10-30,169.22
560,2017-11-06,167.75
555,2017-11-13,168.65
550,2017-11-20,165.34
545,2017-11-27,165.49
540,2017-12-04,164.1
535,2017-12-11,164.51
530,2017-12-18,164.15
525,2017-12-25,164.62
520,2018-01-01,163.93
515,2018-01-08,164.44
510,2018-01-15,165.2
505,2018-01-22,166.96
500,2018-01-29,168.99
495,2018-02-05,174.06
490,2018-02-12,171.09
485,2018-02-19,168.15
480,2018-02-26,169.52
475,2018-03-05,169.72
470,2018-03-12,168.25
465,2018-03-19,169.53
460,2018-03-26,171.47
455,2018-04-02,168.32
450,2018-04-09,169.6
445,2018-04-16,170.59
440,2018-04-23,171.16
435,2018-04-30,169.02
430,2018-05-07,169.64
425,2018-05-14,168.94
420,2018-05-21,168.82
415,2018-05-28,168.03
410,2018-06-04,167.0
405,2018-06-11,168.22
400,2018-06-18,171.37
395,2018-06-25,170.56
390,2018-07-02,167.8
385,2018-07-09,168.28
380,2018-07-16,168.66
375,2018-07-23,166.97
370,2018-07-30,164.02
365,2018-08-06,164.4
360,2018-08-13,164.99
355,2018-08-20,163.05
350,2018-08-27,162.72
345,2018-09-03,163.0
340,2018-09-10,164.81
335,2018-09-17,164.26
330,2018-09-24,163.35
325,2018-10-01,162.15
320,2018-10-08,163.71
315,2018-10-15,163.64
310,2018-10-22,163.12
305,2018-10-29,164.28
300,2018-11-05,161.82
295,2018-11-12,163.62
290,2018-11-19,162.16
285,2018-11-26,162.78
280,2018-12-03,161.2
275,2018-12-10,163.25
270,2018-12-17,163.77
265,2018-12-24,163.04
260,2018-12-31,162.0
255,2019-01-07,163.14
250,2019-01-14,165.75
245,2019-01-21,166.88
240,2019-01-28,165.88
235,2019-02-04,166.03
230,2019-02-11,165.78
225,2019-02-18,166.24
220,2019-02-25,166.57
215,2019-03-04,167.73
210,2019-03-11,167.98
205,2019-03-18,168.53
200,2019-03-25,168.66
195,2019-04-01,168.74
190,2019-04-08,170.01
185,2019-04-15,169.01
180,2019-04-22,169.82
175,2019-04-29,172.09
170,2019-05-06,172.58
165,2019-05-13,172.63
160,2019-05-20,172.74
155,2019-05-27,171.56
150,2019-06-03,170.74
145,2019-06-10,170.66
140,2019-06-17,171.16
135,2019-06-24,167.64
130,2019-07-01,169.34
125,2019-07-08,171.43
120,2019-07-15,171.46
115,2019-07-22,170.86
110,2019-07-29,171.55
105,2019-08-05,172.53
100,2019-08-12,172.58
95,2019-08-19,171.82
90,2019-08-26,169.42
85,2019-09-02,169.21
80,2019-09-09,167.34
75,2019-09-16,167.5
70,2019-09-23,167.7
65,2019-09-30,167.59
60,2019-10-07,167.34
55,2019-10-14,167.39
50,2019-10-21,165.64
45,2019-10-28,165.18
40,2019-11-04,165.39
35,2019-11-11,166.08
30,2019-11-18,165.95
25,2019-11-25,166.66
20,2019-12-02,168.28
15,2019-12-09,168.98
10,2019-12-16,166.9
5,2019-12-23,165.84
0,2019-12-30,165.59
