,날짜,종가
0,2019-12-30,131.24
5,2019-12-23,129.83
10,2019-12-16,129.54
15,2019-12-09,130.04
20,2019-12-02,129.28
25,2019-11-25,127.79
30,2019-11-18,127.91
35,2019-11-11,127.51
40,2019-11-04,127.15
45,2019-10-28,126.61
50,2019-10-21,128.28
55,2019-10-14,129.91
60,2019-10-07,130.81
65,2019-09-30,131.71
70,2019-09-23,131.99
75,2019-09-16,132.12
80,2019-09-09,133.5
85,2019-09-02,133.34
90,2019-08-26,134.58
95,2019-08-19,134.93
100,2019-08-12,136.58
105,2019-08-05,136.36
110,2019-07-29,136.02
115,2019-07-22,136.59
120,2019-07-15,138.09
125,2019-07-08,136.52
130,2019-07-01,135.28
135,2019-06-24,136.02
140,2019-06-17,135.74
145,2019-06-10,136.6
150,2019-06-03,135.34
155,2019-05-27,135.93
160,2019-05-20,135.8
165,2019-05-13,135.46
170,2019-05-06,133.93
175,2019-04-29,133.83
180,2019-04-22,134.1
185,2019-04-15,133.5
190,2019-04-08,133.58
195,2019-04-01,131.94
200,2019-03-25,132.59
205,2019-03-18,132.39
210,2019-03-11,130.62
215,2019-03-04,130.3
220,2019-02-25,129.83
225,2019-02-18,130.85
230,2019-02-11,129.17
235,2019-02-04,132.37
240,2019-01-28,131.44
245,2019-01-21,132.49
250,2019-01-14,131.22
255,2019-01-07,131.0
260,2018-12-31,128.96
265,2018-12-24,128.59
270,2018-12-17,130.63
275,2018-12-10,131.77
280,2018-12-03,130.11
285,2018-11-26,131.57
290,2018-11-19,132.78
295,2018-11-12,133.73
300,2018-11-05,134.03
305,2018-10-29,136.26
310,2018-10-22,137.25
315,2018-10-15,138.83
320,2018-10-08,137.09
325,2018-10-01,136.65
330,2018-09-24,137.58
335,2018-09-17,137.81
340,2018-09-10,134.68
345,2018-09-03,133.11
350,2018-08-27,133.24
355,2018-08-20,132.39
360,2018-08-13,135.95
365,2018-08-06,136.55
370,2018-07-30,137.41
375,2018-07-23,138.4
380,2018-07-16,139.3
385,2018-07-09,138.72
390,2018-07-02,136.91
395,2018-06-25,137.65
400,2018-06-18,135.78
405,2018-06-11,133.89
410,2018-06-04,131.85
415,2018-05-28,131.2
420,2018-05-21,133.87
425,2018-05-14,133.34
430,2018-05-07,133.82
435,2018-04-30,133.54
440,2018-04-23,137.08
445,2018-04-16,137.7
450,2018-04-09,137.41
455,2018-04-02,134.03
460,2018-03-26,140.04
465,2018-03-19,138.99
470,2018-03-12,137.52
475,2018-03-05,137.83
480,2018-02-26,136.85
485,2018-02-19,137.22
490,2018-02-12,136.79
495,2018-02-05,139.7
500,2018-01-29,138.88
505,2018-01-22,136.19
510,2018-01-15,134.94
515,2018-01-08,132.32
520,2018-01-01,130.09
525,2017-12-25,129.5
530,2017-12-18,129.91
535,2017-12-11,129.87
540,2017-12-04,130.49
545,2017-11-27,133.92
550,2017-11-20,132.28
555,2017-11-13,137.12
560,2017-11-06,136.79
565,2017-10-30,138.0
570,2017-10-23,141.33
575,2017-10-16,142.85
580,2017-10-09,143.25
585,2017-10-02,143.29
590,2017-09-25,145.15
595,2017-09-18,144.26
600,2017-09-11,144.16
605,2017-09-04,145.12
610,2017-08-28,144.27
615,2017-08-21,144.18
620,2017-08-14,143.31
625,2017-08-07,142.24
630,2017-07-31,142.34
635,2017-07-24,139.31
640,2017-07-17,138.3
645,2017-07-10,138.03
650,2017-07-03,137.47
655,2017-06-26,133.65
660,2017-06-19,133.7
665,2017-06-12,133.46
670,2017-06-05,132.33
675,2017-05-29,133.37
680,2017-05-22,133.85
685,2017-05-15,130.72
690,2017-05-08,131.11
695,2017-05-01,132.36
700,2017-04-24,132.71
705,2017-04-17,132.4
710,2017-04-10,132.56
715,2017-04-03,130.24
720,2017-03-27,130.89
725,2017-03-20,131.48
730,2017-03-13,134.02
735,2017-03-06,136.05
740,2017-02-27,135.56
745,2017-02-20,137.38
750,2017-02-13,137.01
755,2017-02-06,137.54
760,2017-01-30,140.8
765,2017-01-23,139.36
770,2017-01-16,138.71
775,2017-01-09,140.91
780,2017-01-02,139.1
785,2016-12-26,138.15
790,2016-12-19,136.79
795,2016-12-12,138.03
800,2016-12-05,139.41
805,2016-11-28,137.26
810,2016-11-21,138.12
815,2016-11-14,137.94
820,2016-11-07,138.65
825,2016-10-31,138.35
830,2016-10-24,137.57
835,2016-10-17,138.93
840,2016-10-10,137.12
845,2016-10-03,138.35
850,2016-09-26,136.75
855,2016-09-19,135.04
860,2016-09-12,134.47
865,2016-09-05,132.99
870,2016-08-29,135.29
875,2016-08-22,136.94
880,2016-08-15,133.67
885,2016-08-08,130.77
890,2016-08-01,130.42
895,2016-07-25,133.28
900,2016-07-18,134.37
905,2016-07-11,135.29
910,2016-07-04,138.96
915,2016-06-27,137.69
920,2016-06-20,140.1
925,2016-06-13,141.89
930,2016-06-06,142.34
935,2016-05-30,143.59
940,2016-05-23,141.71
945,2016-05-16,144.24
950,2016-05-09,142.94
955,2016-05-02,141.86
960,2016-04-25,140.25
965,2016-04-18,139.28
970,2016-04-11,139.34
975,2016-04-04,138.31
980,2016-03-28,138.25
985,2016-03-21,137.94
990,2016-03-14,140.38
995,2016-03-07,141.11
1000,2016-02-29,142.44
1005,2016-02-22,142.31
1010,2016-02-15,140.89
1015,2016-02-08,140.17
1020,2016-02-01,138.42
1025,2016-01-25,136.97
1030,2016-01-18,136.12
1035,2016-01-11,134.78
1040,2016-01-04,134.04
1045,2015-12-28,134.32
