,기간 시작일,PEN/KRW
208,2015-12-28,345.373143
207,2016-01-04,350.021286
206,2016-01-11,353.506214
205,2016-01-18,349.809071
204,2016-01-25,347.366929
203,2016-02-01,346.354786
202,2016-02-08,344.224357
201,2016-02-15,350.029929
200,2016-02-22,350.906143
199,2016-02-29,348.573286
198,2016-03-07,349.039071
197,2016-03-14,349.277071
196,2016-03-21,343.725786
195,2016-03-28,343.751357
194,2016-04-04,343.511357
193,2016-04-11,349.200143
192,2016-04-18,349.876000
191,2016-04-25,349.459286
190,2016-05-02,350.553214
189,2016-05-09,352.077857
188,2016-05-16,355.859571
187,2016-05-23,354.477500
186,2016-05-30,351.629786
185,2016-06-06,350.450857
184,2016-06-13,352.723071
183,2016-06-20,353.336786
182,2016-06-27,351.813786
181,2016-07-04,351.659429
180,2016-07-11,347.070000
179,2016-07-18,344.319214
178,2016-07-25,336.115429
177,2016-08-01,332.589429
176,2016-08-08,333.024286
175,2016-08-15,335.144786
174,2016-08-22,334.049429
173,2016-08-29,330.601429
172,2016-09-05,326.356929
171,2016-09-12,330.871643
170,2016-09-19,329.550286
169,2016-09-26,327.015000
168,2016-10-03,327.822000
167,2016-10-10,331.125857
166,2016-10-17,334.133286
165,2016-10-24,339.727071
164,2016-10-31,339.289286
163,2016-11-07,340.505786
162,2016-11-14,343.817071
161,2016-11-21,344.419286
160,2016-11-28,343.605286
159,2016-12-05,342.237500
158,2016-12-12,346.261714
157,2016-12-19,352.757357
156,2016-12-26,357.896000
155,2017-01-02,356.131000
154,2017-01-09,351.952714
153,2017-01-16,352.458000
152,2017-01-23,355.497214
151,2017-01-30,353.048643
150,2017-02-06,350.199143
149,2017-02-13,351.948929
148,2017-02-20,349.889500
147,2017-02-27,350.844054
146,2017-03-06,350.679354
145,2017-03-13,348.347657
144,2017-03-20,344.679698
143,2017-03-27,343.368850
142,2017-04-03,347.743865
141,2017-04-10,349.756253
140,2017-04-17,350.293499
139,2017-04-24,349.210145
138,2017-05-01,348.480782
137,2017-05-08,344.158548
136,2017-05-15,342.858403
135,2017-05-22,342.225090
134,2017-05-29,342.680771
133,2017-06-05,343.533050
132,2017-06-12,345.171828
131,2017-06-19,348.434160
130,2017-06-26,351.692939
129,2017-07-03,354.503109
128,2017-07-10,350.862359
127,2017-07-17,346.638042
126,2017-07-24,345.481379
125,2017-07-31,346.829852
124,2017-08-07,351.022387
123,2017-08-14,351.534808
122,2017-08-21,349.622352
121,2017-08-28,346.330976
120,2017-09-04,349.447677
119,2017-09-11,349.434729
118,2017-09-18,348.169155
117,2017-09-25,349.694651
116,2017-10-02,350.743584
