,날짜,종가,오픈,고가,저가,변동 %
0,2019-12-30,38.617,38.481,38.707,38.31,0.50%
5,2019-12-23,38.537,38.39,38.618,38.374,0.45%
10,2019-12-16,38.633,38.941,38.985,38.629,-0.72%
15,2019-12-09,39.233,39.091,39.366,39.066,0.51%
20,2019-12-02,39.115,39.097,39.217,38.96,0.05%
25,2019-11-25,38.799,39.098,39.098,38.802,-0.61%
30,2019-11-18,38.617,38.461,38.682,38.41,0.54%
35,2019-11-11,38.355,38.148,38.482,38.142,0.57%
40,2019-11-04,38.465,38.589,38.606,38.384,-0.33%
45,2019-10-28,38.599,38.834,38.834,38.603,-0.58%
50,2019-10-21,38.729,38.889,38.972,38.625,-0.38%
55,2019-10-14,38.899,38.924,39.078,38.782,0.20%
60,2019-10-07,39.25,39.188,39.352,39.137,0.29%
65,2019-09-30,39.14,39.267,39.308,39.075,-0.26%
70,2019-09-23,39.174,39.171,39.331,39.055,0.14%
75,2019-09-16,38.795,38.698,38.899,38.685,0.32%
80,2019-09-09,38.888,38.924,38.998,38.785,0.01%
85,2019-09-02,39.609,39.527,39.672,39.49,0.31%
90,2019-08-26,39.599,39.649,39.863,39.513,-0.01%
95,2019-08-19,39.249,39.084,39.338,39.078,0.54%
100,2019-08-12,39.473,39.441,39.584,39.432,0.22%
105,2019-08-05,39.472,39.168,39.614,39.099,0.70%
110,2019-07-29,38.3,38.361,38.42,38.257,-0.04%
115,2019-07-22,38.103,38.136,38.225,38.077,0.03%
120,2019-07-15,38.156,38.095,38.248,38.065,0.39%
125,2019-07-08,38.285,38.181,38.422,38.145,0.39%
130,2019-07-01,37.859,37.681,38.054,37.491,0.60%
135,2019-06-24,37.616,37.617,37.738,37.517,0.06%
140,2019-06-17,37.792,38.023,38.042,37.782,-0.58%
145,2019-06-10,37.724,37.796,37.878,37.697,-0.12%
150,2019-06-03,37.641,37.778,37.785,37.408,-0.05%
155,2019-05-27,37.16,37.307,37.353,37.161,-0.10%
160,2019-05-20,37.46,37.512,37.597,37.361,-0.02%
165,2019-05-13,37.529,37.243,37.658,37.15,0.84%
170,2019-05-06,36.608,36.494,36.79,36.306,0.42%
175,2019-04-29,36.294,36.318,36.396,36.224,0.15%
180,2019-04-22,35.714,35.708,35.876,35.66,0.17%
185,2019-04-15,35.664,35.705,35.768,35.602,-0.09%
190,2019-04-08,35.81,35.636,35.923,35.578,0.50%
195,2019-04-01,35.732,35.857,35.887,35.661,-0.17%
200,2019-03-25,35.864,35.779,36.013,35.753,0.35%
205,2019-03-18,35.726,35.906,35.942,35.678,-0.34%
210,2019-03-11,35.736,35.742,35.883,35.681,0.03%
215,2019-03-04,35.362,35.486,35.527,35.305,-0.20%
220,2019-02-25,35.68,35.866,35.921,35.653,-0.49%
225,2019-02-18,36.091,36.023,36.129,35.991,0.19%
230,2019-02-11,35.803,35.712,35.945,35.656,0.26%
235,2019-02-04,35.79,35.762,35.852,35.687,0.11%
240,2019-01-28,35.486,35.494,35.598,35.409,0.01%
245,2019-01-21,35.662,35.465,35.681,35.419,0.55%
250,2019-01-14,35.133,35.064,35.238,34.986,0.23%
255,2019-01-07,34.982,34.945,35.117,34.88,0.20%
260,2018-12-31,34.456,34.329,34.521,34.098,0.40%
265,2018-12-24,34.622,34.611,34.675,34.465,0.12%
270,2018-12-17,34.448,34.492,34.592,34.385,-0.16%
275,2018-12-10,34.302,34.273,34.411,34.185,0.20%
280,2018-12-03,33.828,33.984,34.139,33.791,-0.46%
285,2018-11-26,34.195,34.265,34.321,34.105,-0.20%
290,2018-11-19,34.174,34.106,34.298,34.075,0.09%
295,2018-11-12,34.349,34.201,34.42,34.143,0.43%
300,2018-11-05,34.034,34.011,34.226,33.94,-0.01%
305,2018-10-29,34.367,34.564,34.564,34.279,-0.35%
310,2018-10-22,34.55,34.782,34.844,34.483,-0.54%
315,2018-10-15,34.667,34.608,34.743,34.498,0.39%
320,2018-10-08,34.477,34.536,34.56,34.33,-0.08%
325,2018-10-01,34.508,34.39,34.555,34.299,0.50%
330,2018-09-24,34.54,34.424,34.61,34.321,0.47%
335,2018-09-17,34.571,34.326,34.61,34.276,0.75%
340,2018-09-10,34.438,34.429,34.516,34.297,0.21%
345,2018-09-03,34.02,34.122,34.142,33.896,-0.05%
350,2018-08-27,34.072,34.231,34.311,34.032,-0.21%
355,2018-08-20,33.946,33.746,34.067,33.688,0.56%
360,2018-08-13,34.078,33.99,34.151,33.818,0.50%
365,2018-08-06,33.784,33.815,33.902,33.683,0.03%
