,날짜,통화명,환율,전일대비,Cross Rate
0,2015-12-28,베트남 동화 (VND) (100),5.19,-0.01,"22,543.50"
4,2016-01-04,베트남 동화 (VND) (100),5.21,-0.01,"22,485.00"
9,2016-01-11,베트남 동화 (VND) (100),5.32,-0.02,"22,465.00"
14,2016-01-18,베트남 동화 (VND) (100),5.4,0.0,"22,416.50"
19,2016-01-25,베트남 동화 (VND) (100),5.36,-0.04,"22,455.00"
24,2016-02-01,베트남 동화 (VND) (100),5.42,-0.02,"22,241.00"
31,2016-02-15,베트남 동화 (VND) (100),5.41,0.04,"22,308.00"
36,2016-02-22,베트남 동화 (VND) (100),5.52,0.04,"22,348.50"
41,2016-02-29,베트남 동화 (VND) (100),5.54,0.01,"22,317.50"
45,2016-03-07,베트남 동화 (VND) (100),5.42,-0.05,"22,277.50"
50,2016-03-14,베트남 동화 (VND) (100),5.39,-0.04,"22,281.50"
55,2016-03-21,베트남 동화 (VND) (100),5.21,-0.06,"22,303.00"
60,2016-03-28,베트남 동화 (VND) (100),5.24,0.02,"22,302.50"
65,2016-04-04,베트남 동화 (VND) (100),5.15,0.02,"22,329.00"
70,2016-04-11,베트남 동화 (VND) (100),5.19,0.01,"22,294.50"
74,2016-04-18,베트남 동화 (VND) (100),5.15,-0.01,"22,339.00"
79,2016-04-25,베트남 동화 (VND) (100),5.12,0.04,"22,279.00"
84,2016-05-02,베트남 동화 (VND) (100),5.11,-0.02,"22,288.00"
87,2016-05-09,베트남 동화 (VND) (100),5.18,0.08,"22,272.50"
92,2016-05-16,베트남 동화 (VND) (100),5.24,0.01,"22,317.50"
97,2016-05-23,베트남 동화 (VND) (100),5.32,-0.02,"22,317.50"
102,2016-05-30,베트남 동화 (VND) (100),5.27,-0.01,"22,383.00"
111,2016-06-13,베트남 동화 (VND) (100),5.21,0.04,"22,335.00"
116,2016-06-20,베트남 동화 (VND) (100),5.23,-0.02,"22,404.00"
121,2016-06-27,베트남 동화 (VND) (100),5.23,0.07,"22,331.00"
126,2016-07-04,베트남 동화 (VND) (100),5.14,-0.02,"22,322.50"
131,2016-07-11,베트남 동화 (VND) (100),5.2,0.02,"22,290.50"
136,2016-07-18,베트남 동화 (VND) (100),5.08,-0.04,"22,314.00"
141,2016-07-25,베트남 동화 (VND) (100),5.09,-0.02,"22,295.00"
146,2016-08-01,베트남 동화 (VND) (100),5.03,-0.02,"22,299.50"
151,2016-08-08,베트남 동화 (VND) (100),4.99,-0.01,"22,277.00"
160,2016-08-22,베트남 동화 (VND) (100),5.0,0.04,"22,293.50"
165,2016-08-29,베트남 동화 (VND) (100),4.99,-0.02,"22,320.00"
170,2016-09-05,베트남 동화 (VND) (100),5.02,0.0,"22,283.50"
175,2016-09-12,베트남 동화 (VND) (100),4.93,0.03,"22,300.50"
177,2016-09-19,베트남 동화 (VND) (100),4.98,0.0,"22,319.00"
182,2016-09-26,베트남 동화 (VND) (100),4.95,0.01,"22,301.50"
191,2016-10-10,베트남 동화 (VND) (100),5.0,0.02,"22,296.00"
196,2016-10-17,베트남 동화 (VND) (100),5.08,0.01,"22,301.50"
201,2016-10-24,베트남 동화 (VND) (100),5.08,0.04,"22,314.00"
206,2016-10-31,베트남 동화 (VND) (100),5.13,0.03,"22,318.50"
211,2016-11-07,베트남 동화 (VND) (100),5.12,0.01,"22,316.50"
216,2016-11-14,베트남 동화 (VND) (100),5.21,0.05,"22,330.00"
221,2016-11-21,베트남 동화 (VND) (100),5.26,0.02,"22,490.00"
226,2016-11-28,베트남 동화 (VND) (100),5.18,-0.01,"22,748.50"
231,2016-12-05,베트남 동화 (VND) (100),5.16,-0.01,"22,695.00"
236,2016-12-12,베트남 동화 (VND) (100),5.16,0.04,"22,592.50"
241,2016-12-19,베트남 동화 (VND) (100),5.2,0.01,"22,750.00"
246,2016-12-26,베트남 동화 (VND) (100),5.29,0.03,"22,759.50"
251,2017-01-02,베트남 동화 (VND) (100),5.31,0.0,"22,771.00"
256,2017-01-09,베트남 동화 (VND) (100),5.27,0.02,"22,562.50"
261,2017-01-16,베트남 동화 (VND) (100),5.22,-0.02,"22,570.00"
266,2017-01-23,베트남 동화 (VND) (100),5.19,-0.03,"22,571.00"
274,2017-02-06,베트남 동화 (VND) (100),5.07,-0.01,"22,625.00"
