,지출목적별,2015. 12 월,2016. 01 월,2016. 02 월,2016. 03 월,2016. 04 월,2016. 05 월,2016. 06 월,2016. 07 월,2016. 08 월,2016. 09 월,2016. 10 월,2016. 11 월,2016. 12 월,2017. 01 월,2017. 02 월,2017. 03 월,2017. 04 월,2017. 05 월,2017. 06 월,2017. 07 월,2017. 08 월,2017. 09 월,2017. 10 월,2017. 11 월,2017. 12 월,2018. 01 월,2018. 02 월,2018. 03 월,2018. 04 월,2018. 05 월,2018. 06 월,2018. 07 월,2018. 08 월,2018. 09 월,2018. 10 월,2018. 11 월,2018. 12 월,2019. 01 월,2019. 02 월,2019. 03 월,2019. 04 월,2019. 05 월,2019. 06 월,2019. 07 월,2019. 08 월,2019. 09 월,2019. 10 월,2019. 11 월,2019. 12 월,2020. 01 월,2020. 02 월,2020. 03 월,2020. 04 월,2020. 05 월,2020. 06 월,2020. 07 월,2020. 08 월,2020. 09 월,2020. 10 월,2020. 11 월,2020. 12 월,2021. 01 월,2021. 02 월,2021. 03 월,2021. 04 월,2021. 05 월,2021. 06 월,2021. 07 월
0,어류 및 수산,101.26,100.76,102.3,102.23,102.73,102.59,102.08,102.62,101.69,102.01,102.24,104.23,105.89,107.37,108.3,108.57,109.06,109.72,108.78,106.7,105.77,106.19,108.02,109.54,110.04,110.32,110.72,111.66,112.36,113.01,113.07,112.65,111.37,110.73,111.96,112.51,112.67,111.64,111.65,111.52,112.5,113.13,113.48,113.72,111.85,113.02,114.19,114.92,116.99,118.44,119.49,119.2,120.46,120.82,120.4,119.22,118.3,119.06,120.0,121.11,121.8,121.92,121.72,121.67,121.79,122.01,121.5,120.08
1,갈치,101.79,106.69,110.47,110.32,112.93,112.74,110.22,107.22,102.57,106.58,108.1,111.12,110.97,113.89,117.82,119.27,119.63,119.22,116.07,97.52,90.15,92.87,100.2,97.59,95.73,96.91,101.53,100.95,100.88,101.07,97.56,95.62,90.79,88.44,88.88,91.37,89.36,90.56,92.89,92.75,93.74,94.69,97.14,96.48,91.59,92.5,92.31,91.46,91.89,97.98,103.21,103.05,106.8,104.81,101.2,99.08,94.67,95.9,96.72,96.17,96.92,101.57,104.52,106.6,107.9,108.88,103.85,99.33
2,명태,101.43,100.68,102.62,102.56,102.7,98.09,102.19,102.84,104.8,103.7,103.83,104.96,107.29,107.11,106.13,106.52,105.56,104.86,105.68,106.79,107.14,105.9,104.1,105.87,106.29,106.94,103.95,106.63,107.36,106.77,106.19,107.31,106.58,103.92,104.89,107.28,108.24,106.05,104.78,107.17,105.92,105.9,102.23,103.54,106.14,109.34,115.46,117.29,120.9,120.53,120.65,120.8,119.75,119.92,120.64,120.94,120.68,121.34,121.54,120.3,118.44,118.45,118.0,118.31,117.57,117.3,116.11,115.43
3,조기,100.8,100.21,100.36,100.79,100.56,100.81,100.55,100.93,101.0,98.37,99.59,98.3,98.85,99.76,98.92,98.02,99.06,99.76,99.16,98.06,97.71,97.38,96.2,96.17,95.25,95.61,96.36,97.41,97.28,97.87,98.62,98.92,98.7,97.59,97.3,96.57,96.13,95.7,95.38,95.19,95.26,94.62,95.06,95.63,96.01,95.67,95.65,94.92,95.08,95.66,95.83,95.54,95.85,95.65,96.0,96.34,95.7,94.75,93.74,93.83,93.66,93.41,93.04,93.63,94.22,93.65,93.74,93.47
4,고등어,93.72,96.1,100.34,102.18,100.88,101.44,97.85,96.32,92.19,94.67,92.83,91.53,92.13,91.91,94.59,97.74,99.91,101.63,98.76,96.89,95.64,93.01,93.14,96.19,97.21,97.67,98.82,99.81,101.58,104.14,105.28,100.76,95.15,93.2,92.57,90.21,90.37,90.12,91.46,91.1,93.49,95.24,97.48,99.82,91.45,93.92,94.35,94.84,98.33,101.48,105.22,105.49,109.85,110.86,111.61,107.74,104.0,104.51,105.16,104.68,105.61,108.26,109.07,110.74,111.28,112.75,115.67,113.0
5,오징어,100.79,98.34,97.24,96.28,97.66,94.86,95.5,102.02,100.75,99.62,105.2,123.18,133.19,130.71,138.01,140.56,143.43,150.98,155.44,153.84,154.18,162.8,171.7,180.15,182.33,185.81,185.45,186.77,185.45,183.96,180.21,182.19,184.78,188.34,193.54,197.38,199.34,192.24,189.38,189.86,187.7,191.4,190.42,186.86,181.8,188.54,188.7,194.26,206.65,215.82,216.33,212.08,211.86,210.03,202.65,196.28,195.03,213.29,221.54,226.57,233.0,229.57,232.52,227.02,221.57,216.53,206.28,194.54
6,게,108.74,112.91,116.84,118.52,124.2,129.96,134.41,139.45,138.42,131.12,126.04,127.19,126.03,129.41,129.44,126.45,128.4,129.03,128.46,127.21,124.06,120.13,124.13,127.35,127.08,127.99,128.42,128.55,130.1,133.12,137.37,137.75,137.67,135.7,140.45,139.33,138.15,137.72,138.02,136.21,136.59,137.06,138.68,140.64,141.46,138.55,138.96,138.69,140.83,142.27,141.66,142.94,145.28,147.26,148.29,146.46,148.58,142.05,143.21,145.69,145.11,145.79,145.42,144.97,144.13,144.42,145.31,143.7
7,굴,128.31,112.84,110.58,101.61,101.61,101.61,101.61,101.61,101.61,101.61,105.35,120.16,123.39,116.12,110.16,102.3,102.91,103.78,102.95,100.62,99.59,99.82,108.94,115.79,122.59,112.84,106.18,96.74,97.29,97.91,97.85,97.47,96.08,95.43,107.63,119.36,126.1,115.47,108.64,99.56,99.96,100.53,100.94,101.2,99.0,100.24,110.01,117.86,120.54,114.45,110.79,105.38,106.55,106.79,106.37,104.99,103.85,104.73,108.21,139.35,153.28,135.43,120.9,113.13,113.04,113.24,112.76,111.04
8,조개,102.14,101.3,102.31,102.8,105.73,106.44,105.82,105.94,108.0,110.18,110.53,110.48,110.17,110.7,110.4,111.15,111.37,111.14,110.89,111.48,112.0,113.87,114.62,113.78,113.93,111.83,111.55,113.93,115.28,114.04,112.3,114.2,115.72,116.34,116.16,116.19,114.23,112.86,113.14,112.99,115.41,114.81,115.08,114.43,115.03,115.45,116.79,117.62,118.02,118.55,118.83,120.09,120.95,123.02,122.94,122.41,123.74,125.78,126.91,123.59,123.99,123.29,123.85,122.23,122.82,124.48,125.71,126.99
9,전복,98.91,95.39,99.89,95.69,93.9,93.92,91.7,90.72,88.99,90.17,90.1,91.76,90.37,96.78,97.71,94.29,89.07,90.28,89.28,86.1,85.11,85.37,88.81,89.57,90.38,91.03,90.75,89.58,86.88,83.73,79.65,77.32,78.01,80.22,82.8,84.28,84.37,82.44,82.16,82.02,79.99,80.14,79.37,75.73,74.75,78.36,78.62,79.45,80.67,81.21,81.85,80.78,78.19,79.23,79.05,77.54,77.36,77.84,78.87,78.24,76.69,76.92,75.53,74.04,74.86,74.48,73.28,71.04
