,날짜,종가
1435,2015-12-28,0.1149
1430,2016-01-04,0.1126
1425,2016-01-11,0.1119
1420,2016-01-18,0.1124
1415,2016-01-25,0.1142
1410,2016-02-01,0.1151
1405,2016-02-08,0.1164
1400,2016-02-15,0.116
1395,2016-02-22,0.1163
1390,2016-02-29,0.115
1385,2016-03-07,0.1176
1380,2016-03-14,0.1181
1375,2016-03-21,0.1188
1370,2016-03-28,0.1186
1365,2016-04-04,0.12
1360,2016-04-11,0.1219
1355,2016-04-18,0.1217
1350,2016-04-25,0.1218
1345,2016-05-02,0.1248
1340,2016-05-09,0.1216
1335,2016-05-16,0.1224
1330,2016-05-23,0.1198
1325,2016-05-30,0.1198
1320,2016-06-06,0.1224
1315,2016-06-13,0.121
1310,2016-06-20,0.1208
1305,2016-06-27,0.1166
1300,2016-07-04,0.1206
1295,2016-07-11,0.1176
1290,2016-07-18,0.1184
1285,2016-07-25,0.1167
1280,2016-08-01,0.1177
1275,2016-08-08,0.1181
1270,2016-08-15,0.1217
1265,2016-08-22,0.1219
1260,2016-08-29,0.1208
1255,2016-09-05,0.1204
1250,2016-09-12,0.1214
1245,2016-09-19,0.1206
1240,2016-09-26,0.1233
1235,2016-10-03,0.1253
1230,2016-10-10,0.1237
1225,2016-10-17,0.1222
1220,2016-10-24,0.1211
1215,2016-10-31,0.1211
1210,2016-11-07,0.1215
1205,2016-11-14,0.118
1200,2016-11-21,0.1171
1195,2016-11-28,0.1171
1190,2016-12-05,0.1195
1185,2016-12-12,0.1185
1180,2016-12-19,0.1152
1175,2016-12-26,0.115
1170,2017-01-02,0.1155
1165,2017-01-09,0.1171
1160,2017-01-16,0.1172
1155,2017-01-23,0.1198
1150,2017-01-30,0.1203
1145,2017-02-06,0.1212
1140,2017-02-13,0.1192
1135,2017-02-20,0.12
1130,2017-02-27,0.1195
1125,2017-03-06,0.1178
1120,2017-03-13,0.1168
1115,2017-03-20,0.118
1110,2017-03-27,0.1178
1105,2017-04-03,0.1166
1100,2017-04-10,0.1159
1095,2017-04-17,0.1168
