,날짜,종가
1435,2015-12-28,0.2943
1430,2016-01-04,0.293
1425,2016-01-11,0.2916
1420,2016-01-18,0.2913
1415,2016-01-25,0.2887
1410,2016-02-01,0.2871
1405,2016-02-08,0.2861
1400,2016-02-15,0.2858
1395,2016-02-22,0.2843
1390,2016-02-29,0.2838
1385,2016-03-07,0.2899
1380,2016-03-14,0.2999
1375,2016-03-21,0.2934
1370,2016-03-28,0.2962
1365,2016-04-04,0.2984
1360,2016-04-11,0.3046
1355,2016-04-18,0.3057
1350,2016-04-25,0.3045
1345,2016-05-02,0.3028
1340,2016-05-09,0.3001
1335,2016-05-16,0.3004
1330,2016-05-23,0.2991
1325,2016-05-30,0.2971
1320,2016-06-06,0.3022
1315,2016-06-13,0.3008
1310,2016-06-20,0.3043
1305,2016-06-27,0.301
1300,2016-07-04,0.3044
1295,2016-07-11,0.305
1290,2016-07-18,0.3047
1285,2016-07-25,0.2966
1280,2016-08-01,0.2983
1275,2016-08-08,0.3019
1270,2016-08-15,0.3024
1265,2016-08-22,0.2986
1260,2016-08-29,0.296
1255,2016-09-05,0.2944
1250,2016-09-12,0.2938
1245,2016-09-19,0.2953
1240,2016-09-26,0.2969
1235,2016-10-03,0.2954
1230,2016-10-10,0.2946
1225,2016-10-17,0.2943
1220,2016-10-24,0.2974
1215,2016-10-31,0.2975
1210,2016-11-07,0.2962
1205,2016-11-14,0.2911
1200,2016-11-21,0.2925
1195,2016-11-28,0.2925
1190,2016-12-05,0.2926
1185,2016-12-12,0.2941
1180,2016-12-19,0.2926
1175,2016-12-26,0.2952
1170,2017-01-02,0.2968
1165,2017-01-09,0.2955
1160,2017-01-16,0.2968
1155,2017-01-23,0.3037
1150,2017-01-30,0.3039
1145,2017-02-06,0.3041
1140,2017-02-13,0.3068
1135,2017-02-20,0.308
1130,2017-02-27,0.3076
1125,2017-03-06,0.3035
1120,2017-03-13,0.3046
1115,2017-03-20,0.3079
1110,2017-03-27,0.3081
1105,2017-04-03,0.308
1100,2017-04-10,0.308
1095,2017-04-17,0.3071
1090,2017-04-24,0.3082
1085,2017-05-01,0.3083
1080,2017-05-08,0.3043
1075,2017-05-15,0.306
1070,2017-05-22,0.3051
1065,2017-05-29,0.3045
1060,2017-06-05,0.3061
1055,2017-06-12,0.3049
1050,2017-06-19,0.3054
1045,2017-06-26,0.3073
1040,2017-07-03,0.307
1035,2017-07-10,0.3073
1030,2017-07-17,0.308
1025,2017-07-24,0.3082
1020,2017-07-31,0.3085
1015,2017-08-07,0.3085
1010,2017-08-14,0.3084
1005,2017-08-21,0.3088
1000,2017-08-28,0.3088
995,2017-09-04,0.3089
990,2017-09-11,0.3095
985,2017-09-18,0.3081
980,2017-09-25,0.3068
975,2017-10-02,0.3055
