,지점,지점명,일시,풍속,강수량,기온,국가
0,1001,얀마이엔,2015-12-28,11.0,,2.3,노르웨이
1,1001,얀마이엔,2015-12-28,13.0,0.0,2.6,노르웨이
2,1001,얀마이엔,2015-12-28,11.0,,3.3,노르웨이
3,1001,얀마이엔,2015-12-28,13.0,0.1,3.4,노르웨이
4,1001,얀마이엔,2015-12-28,15.0,,3.7,노르웨이
5,1001,얀마이엔,2015-12-28,11.0,2.0,4.3,노르웨이
6,1001,얀마이엔,2015-12-28,12.0,,4.3,노르웨이
54,1001,얀마이엔,2016-01-04,1.0,0.8,1.7,노르웨이
55,1001,얀마이엔,2016-01-04,1.0,,1.7,노르웨이
56,1001,얀마이엔,2016-01-04,1.0,1.0,2.0,노르웨이
57,1001,얀마이엔,2016-01-04,0.0,,1.8,노르웨이
58,1001,얀마이엔,2016-01-04,2.0,0.7,1.9,노르웨이
59,1001,얀마이엔,2016-01-04,1.0,,1.6,노르웨이
60,1001,얀마이엔,2016-01-04,3.0,0.7,1.9,노르웨이
61,1001,얀마이엔,2016-01-04,4.0,,1.4,노르웨이
110,1001,얀마이엔,2016-01-11,8.0,-999.0,-5.7,노르웨이
111,1001,얀마이엔,2016-01-11,8.0,,-6.1,노르웨이
112,1001,얀마이엔,2016-01-11,9.0,,-6.1,노르웨이
113,1001,얀마이엔,2016-01-11,14.0,,-6.2,노르웨이
114,1001,얀마이엔,2016-01-11,15.0,,-4.9,노르웨이
115,1001,얀마이엔,2016-01-11,12.0,,-2.5,노르웨이
116,1001,얀마이엔,2016-01-11,11.0,,-1.2,노르웨이
117,1001,얀마이엔,2016-01-11,10.0,,-0.7,노르웨이
166,1001,얀마이엔,2016-01-18,6.0,0.0,-7.7,노르웨이
167,1001,얀마이엔,2016-01-18,5.0,,-7.6,노르웨이
168,1001,얀마이엔,2016-01-18,6.0,0.0,-7.5,노르웨이
169,1001,얀마이엔,2016-01-18,4.0,,-7.5,노르웨이
170,1001,얀마이엔,2016-01-18,6.0,,-7.1,노르웨이
171,1001,얀마이엔,2016-01-18,6.0,,-6.8,노르웨이
172,1001,얀마이엔,2016-01-18,7.0,,-6.4,노르웨이
173,1001,얀마이엔,2016-01-18,6.0,,-6.9,노르웨이
222,1001,얀마이엔,2016-01-25,6.0,1.0,2.2,노르웨이
223,1001,얀마이엔,2016-01-25,8.0,,2.6,노르웨이
224,1001,얀마이엔,2016-01-25,9.0,1.0,3.0,노르웨이
225,1001,얀마이엔,2016-01-25,11.0,,3.6,노르웨이
226,1001,얀마이엔,2016-01-25,4.0,7.0,1.7,노르웨이
227,1001,얀마이엔,2016-01-25,3.0,,2.1,노르웨이
228,1001,얀마이엔,2016-01-25,5.0,8.0,2.0,노르웨이
229,1001,얀마이엔,2016-01-25,5.0,,2.0,노르웨이
277,1001,얀마이엔,2016-02-01,9.0,1.0,0.8,노르웨이
278,1001,얀마이엔,2016-02-01,10.0,,-0.2,노르웨이
279,1001,얀마이엔,2016-02-01,12.0,1.0,-0.4,노르웨이
280,1001,얀마이엔,2016-02-01,9.0,,-0.8,노르웨이
281,1001,얀마이엔,2016-02-01,20.0,,-3.3,노르웨이
282,1001,얀마이엔,2016-02-01,15.0,,-4.2,노르웨이
283,1001,얀마이엔,2016-02-01,13.0,0.1,-3.1,노르웨이
284,1001,얀마이엔,2016-02-01,12.0,,-3.7,노르웨이
333,1001,얀마이엔,2016-02-08,12.0,,-7.5,노르웨이
334,1001,얀마이엔,2016-02-08,11.0,,-7.9,노르웨이
335,1001,얀마이엔,2016-02-08,16.0,0.2,-7.4,노르웨이
336,1001,얀마이엔,2016-02-08,8.0,,-5.2,노르웨이
337,1001,얀마이엔,2016-02-08,11.0,0.5,-3.0,노르웨이
338,1001,얀마이엔,2016-02-08,10.0,,-2.1,노르웨이
339,1001,얀마이엔,2016-02-08,10.0,0.5,-2.0,노르웨이
340,1001,얀마이엔,2016-02-08,7.0,,0.0,노르웨이
389,1001,얀마이엔,2016-02-15,6.0,0.2,-7.9,노르웨이
390,1001,얀마이엔,2016-02-15,2.0,-99.8,-7.6,노르웨이
391,1001,얀마이엔,2016-02-15,2.0,0.2,-8.1,노르웨이
392,1001,얀마이엔,2016-02-15,1.0,-99.8,-6.3,노르웨이
393,1001,얀마이엔,2016-02-15,11.0,3.0,-1.0,노르웨이
394,1001,얀마이엔,2016-02-15,8.0,-99.8,-3.0,노르웨이
395,1001,얀마이엔,2016-02-15,10.0,3.0,-1.8,노르웨이
396,1001,얀마이엔,2016-02-15,3.0,-99.8,-0.8,노르웨이
445,1001,얀마이엔,2016-02-22,10.0,0.1,-0.7,노르웨이
446,1001,얀마이엔,2016-02-22,12.0,,-1.5,노르웨이
447,1001,얀마이엔,2016-02-22,12.0,0.1,-1.5,노르웨이
448,1001,얀마이엔,2016-02-22,13.0,,-3.5,노르웨이
449,1001,얀마이엔,2016-02-22,14.0,0.3,-4.1,노르웨이
450,1001,얀마이엔,2016-02-22,13.0,,-4.8,노르웨이
451,1001,얀마이엔,2016-02-22,11.0,0.4,-4.3,노르웨이
452,1001,얀마이엔,2016-02-22,12.0,,-4.4,노르웨이
501,1001,얀마이엔,2016-02-29,5.0,,-2.0,노르웨이
502,1001,얀마이엔,2016-02-29,2.0,,-2.8,노르웨이
503,1001,얀마이엔,2016-02-29,1.0,1.0,-3.7,노르웨이
504,1001,얀마이엔,2016-02-29,1.0,,-3.4,노르웨이
505,1001,얀마이엔,2016-02-29,2.0,0.6,-2.1,노르웨이
506,1001,얀마이엔,2016-02-29,3.0,,-1.8,노르웨이
507,1001,얀마이엔,2016-02-29,6.0,,-0.5,노르웨이
555,1001,얀마이엔,2016-03-07,2.0,,-1.7,노르웨이
556,1001,얀마이엔,2016-03-07,7.0,,-1.4,노르웨이
557,1001,얀마이엔,2016-03-07,6.0,,-1.2,노르웨이
558,1001,얀마이엔,2016-03-07,6.0,,-1.1,노르웨이
559,1001,얀마이엔,2016-03-07,3.0,,0.3,노르웨이
560,1001,얀마이엔,2016-03-07,3.0,,-0.3,노르웨이
561,1001,얀마이엔,2016-03-07,8.0,,-0.4,노르웨이
562,1001,얀마이엔,2016-03-07,6.0,,-0.1,노르웨이
610,1001,얀마이엔,2016-03-14,8.0,0.8,1.9,노르웨이
611,1001,얀마이엔,2016-03-14,5.0,,2.3,노르웨이
612,1001,얀마이엔,2016-03-14,7.0,1.0,3.1,노르웨이
613,1001,얀마이엔,2016-03-14,20.0,,5.5,노르웨이
614,1001,얀마이엔,2016-03-14,21.0,,5.5,노르웨이
615,1001,얀마이엔,2016-03-14,14.0,,4.7,노르웨이
616,1001,얀마이엔,2016-03-14,16.0,,3.5,노르웨이
617,1001,얀마이엔,2016-03-14,16.0,,2.7,노르웨이
665,1001,얀마이엔,2016-03-21,6.0,0.1,-5.6,노르웨이
666,1001,얀마이엔,2016-03-21,8.0,,-5.1,노르웨이
667,1001,얀마이엔,2016-03-21,8.0,,-5.2,노르웨이
668,1001,얀마이엔,2016-03-21,7.0,,-4.8,노르웨이
669,1001,얀마이엔,2016-03-21,8.0,0.0,-4.0,노르웨이
670,1001,얀마이엔,2016-03-21,12.0,,-3.4,노르웨이
671,1001,얀마이엔,2016-03-21,4.0,0.1,-0.5,노르웨이
672,1001,얀마이엔,2016-03-21,9.0,,-0.2,노르웨이
721,1001,얀마이엔,2016-03-28,17.0,,-5.5,노르웨이
722,1001,얀마이엔,2016-03-28,12.0,,-6.5,노르웨이
723,1001,얀마이엔,2016-03-28,13.0,0.1,-7.8,노르웨이
724,1001,얀마이엔,2016-03-28,8.0,,-7.5,노르웨이
725,1001,얀마이엔,2016-03-28,8.0,0.1,-7.3,노르웨이
726,1001,얀마이엔,2016-03-28,8.0,,-7.2,노르웨이
727,1001,얀마이엔,2016-03-28,7.0,0.1,-7.3,노르웨이
728,1001,얀마이엔,2016-03-28,7.0,,-7.5,노르웨이
776,1001,얀마이엔,2016-04-04,2.0,,1.5,노르웨이
777,1001,얀마이엔,2016-04-04,1.0,,1.7,노르웨이
778,1001,얀마이엔,2016-04-04,4.0,,1.9,노르웨이
779,1001,얀마이엔,2016-04-04,2.0,,1.9,노르웨이
780,1001,얀마이엔,2016-04-04,5.0,,2.3,노르웨이
781,1001,얀마이엔,2016-04-04,6.0,,2.2,노르웨이
782,1001,얀마이엔,2016-04-04,2.0,0.1,1.5,노르웨이
783,1001,얀마이엔,2016-04-04,4.0,,1.8,노르웨이
832,1001,얀마이엔,2016-04-11,2.0,-999.0,-0.3,노르웨이
833,1001,얀마이엔,2016-04-11,5.0,,-1.1,노르웨이
834,1001,얀마이엔,2016-04-11,13.0,,-1.2,노르웨이
835,1001,얀마이엔,2016-04-11,10.0,,-1.9,노르웨이
836,1001,얀마이엔,2016-04-11,7.0,,-2.1,노르웨이
837,1001,얀마이엔,2016-04-11,6.0,,-2.4,노르웨이
838,1001,얀마이엔,2016-04-11,5.0,,-2.7,노르웨이
839,1001,얀마이엔,2016-04-11,4.0,,-2.5,노르웨이
887,1001,얀마이엔,2016-04-18,18.0,,-1.0,노르웨이
888,1001,얀마이엔,2016-04-18,20.0,,-1.5,노르웨이
889,1001,얀마이엔,2016-04-18,15.0,,-1.3,노르웨이
890,1001,얀마이엔,2016-04-18,15.0,,-0.8,노르웨이
891,1001,얀마이엔,2016-04-18,13.0,,-0.9,노르웨이
892,1001,얀마이엔,2016-04-18,9.0,,-1.3,노르웨이
893,1001,얀마이엔,2016-04-18,9.0,,-2.4,노르웨이
894,1001,얀마이엔,2016-04-18,7.0,,-2.8,노르웨이
943,1001,얀마이엔,2016-04-25,11.0,,-6.3,노르웨이
944,1001,얀마이엔,2016-04-25,11.0,,-6.6,노르웨이
945,1001,얀마이엔,2016-04-25,15.0,0.1,-6.0,노르웨이
946,1001,얀마이엔,2016-04-25,13.0,0.1,-4.1,노르웨이
947,1001,얀마이엔,2016-04-25,12.0,,-3.6,노르웨이
948,1001,얀마이엔,2016-04-25,11.0,0.1,-3.0,노르웨이
949,1001,얀마이엔,2016-04-25,10.0,,-2.7,노르웨이
997,1001,얀마이엔,2016-05-02,8.0,2.0,3.0,노르웨이
998,1001,얀마이엔,2016-05-02,4.0,,2.3,노르웨이
999,1001,얀마이엔,2016-05-02,5.0,2.0,3.0,노르웨이
1000,1001,얀마이엔,2016-05-02,4.0,,3.6,노르웨이
1001,1001,얀마이엔,2016-05-02,7.0,,4.2,노르웨이
1002,1001,얀마이엔,2016-05-02,8.0,,4.4,노르웨이
1003,1001,얀마이엔,2016-05-02,12.0,0.1,4.4,노르웨이
1004,1001,얀마이엔,2016-05-02,13.0,,3.2,노르웨이
1051,1001,얀마이엔,2016-05-09,6.0,,1.2,노르웨이
1052,1001,얀마이엔,2016-05-09,6.0,,1.7,노르웨이
1053,1001,얀마이엔,2016-05-09,10.0,,1.2,노르웨이
1054,1001,얀마이엔,2016-05-09,8.0,,2.2,노르웨이
1055,1001,얀마이엔,2016-05-09,4.0,0.0,1.4,노르웨이
1056,1001,얀마이엔,2016-05-09,8.0,,0.6,노르웨이
1057,1001,얀마이엔,2016-05-09,11.0,0.1,-0.7,노르웨이
1058,1001,얀마이엔,2016-05-09,6.0,,-1.0,노르웨이
1105,1001,얀마이엔,2016-05-16,11.0,,-1.1,노르웨이
1106,1001,얀마이엔,2016-05-16,9.0,,-2.9,노르웨이
1107,1001,얀마이엔,2016-05-16,9.0,0.4,-2.3,노르웨이
1108,1001,얀마이엔,2016-05-16,10.0,,-2.2,노르웨이
1109,1001,얀마이엔,2016-05-16,13.0,0.8,-2.1,노르웨이
1110,1001,얀마이엔,2016-05-16,15.0,,-1.4,노르웨이
1111,1001,얀마이엔,2016-05-16,11.0,0.9,-1.3,노르웨이
1112,1001,얀마이엔,2016-05-16,12.0,,-1.2,노르웨이
1159,1001,얀마이엔,2016-05-23,1.0,,3.4,노르웨이
1160,1001,얀마이엔,2016-05-23,1.0,,4.2,노르웨이
1161,1001,얀마이엔,2016-05-23,12.0,,3.3,노르웨이
1162,1001,얀마이엔,2016-05-23,10.0,,3.2,노르웨이
1163,1001,얀마이엔,2016-05-23,14.0,,3.2,노르웨이
1164,1001,얀마이엔,2016-05-23,9.0,,1.8,노르웨이
