,지점,지점명,일시,풍속,강수량,기온,국가
122236,48914,까마우,2015-12-28,5.0,,29.2,베트남
122237,48914,까마우,2015-12-28,5.0,,30.6,베트남
122238,48914,까마우,2015-12-28,5.0,,30.3,베트남
122239,48914,까마우,2015-12-28,2.0,,28.2,베트남
122240,48914,까마우,2015-12-28,0.0,,26.4,베트남
122241,48914,까마우,2015-12-28,0.0,,25.4,베트남
122242,48914,까마우,2015-12-28,1.0,,24.4,베트남
122290,48914,까마우,2016-01-04,2.0,,26.4,베트남
122291,48914,까마우,2016-01-04,3.0,,29.7,베트남
122292,48914,까마우,2016-01-04,2.0,,31.1,베트남
122293,48914,까마우,2016-01-04,3.0,,30.7,베트남
122294,48914,까마우,2016-01-04,2.0,,27.8,베트남
122295,48914,까마우,2016-01-04,1.0,,26.8,베트남
122296,48914,까마우,2016-01-04,2.0,,26.5,베트남
122297,48914,까마우,2016-01-04,2.0,,26.1,베트남
122346,48914,까마우,2016-01-11,1.0,,24.8,베트남
122347,48914,까마우,2016-01-11,2.0,,29.3,베트남
122348,48914,까마우,2016-01-11,2.0,,31.4,베트남
122349,48914,까마우,2016-01-11,1.0,,31.9,베트남
122350,48914,까마우,2016-01-11,1.0,,28.8,베트남
122351,48914,까마우,2016-01-11,2.0,,27.2,베트남
122352,48914,까마우,2016-01-11,0.0,,26.4,베트남
122353,48914,까마우,2016-01-11,1.0,,25.8,베트남
122402,48914,까마우,2016-01-18,1.0,,25.6,베트남
122403,48914,까마우,2016-01-18,2.0,,30.1,베트남
122404,48914,까마우,2016-01-18,2.0,,32.6,베트남
122405,48914,까마우,2016-01-18,3.0,,31.2,베트남
122406,48914,까마우,2016-01-18,2.0,,28.4,베트남
122407,48914,까마우,2016-01-18,2.0,,27.4,베트남
122408,48914,까마우,2016-01-18,1.0,,26.8,베트남
122409,48914,까마우,2016-01-18,1.0,,26.6,베트남
122458,48914,까마우,2016-01-25,2.0,,24.3,베트남
122459,48914,까마우,2016-01-25,4.0,,26.0,베트남
122460,48914,까마우,2016-01-25,4.0,,28.2,베트남
122461,48914,까마우,2016-01-25,2.0,,28.8,베트남
122462,48914,까마우,2016-01-25,2.0,,26.8,베트남
122463,48914,까마우,2016-01-25,1.0,,25.0,베트남
122464,48914,까마우,2016-01-25,1.0,,24.8,베트남
122465,48914,까마우,2016-01-25,1.0,,23.6,베트남
122513,48914,까마우,2016-02-01,1.0,,26.1,베트남
122514,48914,까마우,2016-02-01,2.0,,29.9,베트남
122515,48914,까마우,2016-02-01,3.0,,31.5,베트남
122516,48914,까마우,2016-02-01,3.0,,32.0,베트남
122517,48914,까마우,2016-02-01,2.0,,29.0,베트남
122518,48914,까마우,2016-02-01,2.0,-99.8,28.0,베트남
122519,48914,까마우,2016-02-01,0.0,,27.0,베트남
122520,48914,까마우,2016-02-01,1.0,,26.2,베트남
122569,48914,까마우,2016-02-08,2.0,,22.0,베트남
122570,48914,까마우,2016-02-08,3.0,,23.6,베트남
122571,48914,까마우,2016-02-08,3.0,,26.6,베트남
122572,48914,까마우,2016-02-08,2.0,,28.0,베트남
122573,48914,까마우,2016-02-08,1.0,,26.1,베트남
122574,48914,까마우,2016-02-08,1.0,,24.0,베트남
122575,48914,까마우,2016-02-08,1.0,,22.0,베트남
