"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 30일","68.44","68.20","68.99","68.16","29.42K","0.41%"
"2019년 12월 27일","68.16","67.91","68.33","67.57","112.22K","0.35%"
"2019년 12월 26일","67.92","67.27","67.99","67.22","69.82K","1.07%"
"2019년 12월 24일","67.20","66.44","67.26","66.36","106.43K","1.22%"
"2019년 12월 23일","66.39","66.15","66.62","65.81","131.42K","0.38%"
"2019년 12월 20일","66.14","66.56","66.72","65.70","217.98K","-0.60%"
"2019년 12월 19일","66.54","66.19","66.78","66.03","249.54K","0.56%"
"2019년 12월 18일","66.17","65.84","66.43","65.56","262.34K","0.11%"
"2019년 12월 17일","66.10","65.31","66.24","65.12","245.83K","1.16%"
"2019년 12월 16일","65.34","65.05","65.66","64.88","186.09K","0.18%"
"2019년 12월 13일","65.22","64.56","65.79","64.50","232.75K","1.59%"
"2019년 12월 12일","64.20","63.90","64.85","63.87","238.31K","0.75%"
"2019년 12월 11일","63.72","64.00","64.26","63.01","250.14K","-0.96%"
"2019년 12월 10일","64.34","64.03","64.69","63.78","235.19K","0.14%"
"2019년 12월 09일","64.25","64.29","64.50","63.61","239.77K","-0.22%"
"2019년 12월 06일","64.39","63.41","64.88","62.83","314.60K","1.58%"
"2019년 12월 05일","63.39","62.97","63.91","62.75","294.84K","0.62%"
"2019년 12월 04일","63.00","61.08","63.51","61.00","319.04K","3.58%"
"2019년 12월 03일","60.82","61.05","61.58","60.30","248.55K","-0.16%"
"2019년 12월 02일","60.92","60.73","62.09","60.72","297.87K","-2.42%"
"2019년 11월 29일","62.43","63.77","63.86","62.36","19.65K","-2.25%"
"2019년 11월 28일","63.87","63.91","64.00","63.19","96.08K","-0.30%"
"2019년 11월 27일","64.06","64.02","64.60","63.51","125.47K","-0.33%"
"2019년 11월 26일","64.27","63.70","64.32","63.44","181.10K","0.97%"
"2019년 11월 25일","63.65","63.60","63.80","62.97","212.05K","0.41%"
"2019년 11월 22일","63.39","63.62","64.27","62.98","228.74K","-0.91%"
"2019년 11월 21일","63.97","62.22","64.03","61.92","318.49K","2.52%"
"2019년 11월 20일","62.40","60.94","62.80","60.30","343.31K","2.45%"
"2019년 11월 19일","60.91","62.28","62.57","60.70","296.80K","-2.45%"
"2019년 11월 18일","62.44","63.36","63.57","61.94","228.25K","-1.36%"
"2019년 11월 15일","63.30","62.47","63.65","61.70","255.68K","1.64%"
"2019년 11월 14일","62.28","62.61","63.21","62.15","234.78K","-0.14%"
"2019년 11월 13일","62.37","61.85","62.74","61.22","273.03K","0.50%"
"2019년 11월 12일","62.06","62.11","62.85","61.82","238.17K","-0.19%"
"2019년 11월 11일","62.18","62.60","62.76","61.57","213.34K","-0.53%"
"2019년 11월 08일","62.51","62.29","62.70","60.66","287.67K","0.35%"
"2019년 11월 07일","62.29","61.73","62.89","61.65","261.07K","0.89%"
"2019년 11월 06일","61.74","62.78","63.32","61.59","275.94K","-1.94%"
"2019년 11월 05일","62.96","62.04","63.19","61.85","231.67K","1.34%"
"2019년 11월 04일","62.13","61.80","62.78","61.28","235.38K","0.71%"
"2019년 11월 01일","61.69","59.45","61.82","59.40","236.09K","2.42%"
"2019년 10월 31일","60.23","60.57","61.13","60.07","13.90K","-0.63%"
"2019년 10월 30일","60.61","61.60","61.93","60.45","105.87K","-1.59%"
"2019년 10월 29일","61.59","61.61","61.98","60.66","136.93K","0.03%"
"2019년 10월 28일","61.57","62.04","62.34","61.19","167.86K","-0.73%"
"2019년 10월 25일","62.02","61.50","62.11","60.93","204.45K","0.57%"
"2019년 10월 24일","61.67","60.99","61.90","60.64","215.54K","0.82%"
"2019년 10월 23일","61.17","59.48","61.30","58.85","313.23K","2.46%"
"2019년 10월 22일","59.70","59.05","60.26","58.75","260.60K","1.26%"
"2019년 10월 21일","58.96","59.23","59.55","58.26","212.57K","-0.77%"
"2019년 10월 18일","59.42","59.78","60.29","59.01","228.14K","-0.82%"
"2019년 10월 17일","59.91","58.99","60.04","58.69","269.84K","0.82%"
"2019년 10월 16일","59.42","58.90","59.75","58.36","257.88K","1.16%"
"2019년 10월 15일","58.74","59.30","59.68","58.00","305.68K","-1.03%"
"2019년 10월 14일","59.35","60.69","60.73","58.50","283.07K","-1.92%"
"2019년 10월 11일","60.51","59.53","60.69","59.21","367.63K","2.39%"
"2019년 10월 10일","59.10","58.04","59.60","57.80","262.53K","1.34%"
"2019년 10월 09일","58.32","58.02","59.35","57.91","266.48K","0.14%"
"2019년 10월 08일","58.24","58.47","58.92","57.38","274.74K","-0.19%"
"2019년 10월 07일","58.35","58.02","59.68","58.02","228.41K","-0.03%"
"2019년 10월 04일","58.37","57.69","58.96","57.67","299.92K","1.14%"
"2019년 10월 03일","57.71","57.54","57.99","56.15","336.90K","0.03%"
"2019년 10월 02일","57.69","59.25","59.50","57.22","307.91K","-2.04%"
"2019년 10월 01일","58.89","59.38","60.10","58.41","291.67K","-3.11%"
"2019년 09월 30일","60.78","62.24","62.24","60.73","22.01K","-1.83%"
"2019년 09월 27일","61.91","62.48","62.75","60.76","97.33K","-1.32%"
"2019년 09월 26일","62.74","62.58","62.92","61.45","115.57K","0.56%"
"2019년 09월 25일","62.39","62.44","62.81","61.23","201.47K","-1.13%"
"2019년 09월 24일","63.10","64.40","64.60","62.30","216.28K","-2.58%"
"2019년 09월 23일","64.77","65.23","65.50","63.53","204.78K","0.76%"
"2019년 09월 20일","64.28","65.00","65.28","64.05","224.88K","-0.19%"
"2019년 09월 19일","64.40","63.51","65.57","63.46","258.85K","1.26%"
"2019년 09월 18일","63.60","64.23","64.99","63.04","295.05K","-1.47%"
"2019년 09월 17일","64.55","68.15","69.26","63.55","620.49K","-6.48%"
"2019년 09월 16일","69.02","66.45","71.95","64.75","735.54K","14.61%"
