,날짜,종가
1382,2015-12-28,34.58
1378,2016-01-04,32.1
1373,2016-01-11,27.86
1364,2016-01-25,26.38
1359,2016-02-01,29.95
1354,2016-02-08,30.07
1345,2016-02-22,29.56
1340,2016-02-29,29.3
1335,2016-03-07,35.37
1330,2016-03-14,34.51
1325,2016-03-21,35.68
1321,2016-03-28,35.22
1316,2016-04-04,34.05
1311,2016-04-11,37.73
1306,2016-04-18,37.94
1301,2016-04-25,38.63
1296,2016-05-02,42.45
1291,2016-05-09,40.97
1286,2016-05-16,44.27
1281,2016-05-23,44.16
1272,2016-06-06,46.54
1267,2016-06-13,46.93
1262,2016-06-20,46.69
1257,2016-06-27,46.03
1248,2016-07-11,42.84
1243,2016-07-18,43.18
1238,2016-07-25,42.59
1234,2016-08-01,38.92
1229,2016-08-08,41.62
1224,2016-08-15,43.27
1219,2016-08-22,43.81
1214,2016-08-29,43.74
1205,2016-09-12,44.89
1200,2016-09-19,43.01
1195,2016-09-26,43.4
1191,2016-10-03,48.01
1186,2016-10-10,49.93
1181,2016-10-17,49.08
1176,2016-10-24,49.19
1171,2016-10-31,44.92
1166,2016-11-07,43.04
1161,2016-11-14,42.33
1156,2016-11-21,44.15
1152,2016-11-28,44.02
1147,2016-12-05,51.51
1142,2016-12-12,52.26
1137,2016-12-19,51.81
1124,2017-01-09,53.19
1115,2017-01-23,53.64
1110,2017-01-30,53.74
1105,2017-02-06,54.25
1100,2017-02-13,54.03
1091,2017-02-27,54.43
1086,2017-03-06,54.32
1081,2017-03-13,51.35
1076,2017-03-20,51.32
1071,2017-03-27,51.01
1066,2017-04-03,51.35
1061,2017-04-10,53.83
1057,2017-04-17,53.43
1052,2017-04-24,52.31
1047,2017-05-01,50.69
1042,2017-05-08,48.54
1037,2017-05-15,50.04
1032,2017-05-22,50.93
1023,2017-06-05,48.25
1018,2017-06-12,47.48
1013,2017-06-19,46.55
1008,2017-06-26,46.25
1003,2017-07-03,48.54
999,2017-07-10,46.03
994,2017-07-17,46.98
989,2017-07-24,47.11
984,2017-07-31,47.57
979,2017-08-07,51.0
974,2017-08-14,49.85
969,2017-08-21,50.09
964,2017-08-28,50.24
955,2017-09-11,52.35
950,2017-09-18,53.25
945,2017-09-25,53.92
940,2017-10-02,54.72
935,2017-10-09,54.1
930,2017-10-16,55.34
925,2017-10-23,55.14
920,2017-10-30,55.54
915,2017-11-06,61.83
910,2017-11-13,61.18
905,2017-11-20,60.55
901,2017-11-27,60.88
896,2017-12-04,60.02
891,2017-12-11,61.62
886,2017-12-18,60.8
873,2018-01-08,65.09
864,2018-01-22,65.97
859,2018-01-29,66.23
854,2018-02-05,64.99
849,2018-02-12,61.16
840,2018-02-26,62.75
835,2018-03-05,61.94
830,2018-03-12,61.32
825,2018-03-19,61.86
820,2018-03-26,62.77
816,2018-04-02,64.62
811,2018-04-09,65.83
806,2018-04-16,67.25
801,2018-04-23,68.41
796,2018-04-30,68.27
791,2018-05-07,72.83
786,2018-05-14,74.02
781,2018-05-21,74.79
772,2018-06-04,73.15
767,2018-06-11,74.37
762,2018-06-18,73.49
757,2018-06-25,73.15
752,2018-07-02,74.33
748,2018-07-09,75.08
743,2018-07-16,72.01
738,2018-07-23,72.67
733,2018-07-30,73.15
728,2018-08-06,72.35
723,2018-08-13,71.52
718,2018-08-20,71.18
713,2018-08-27,72.45
704,2018-09-10,75.56
699,2018-09-17,76.06
694,2018-09-24,77.02
689,2018-10-01,82.82
684,2018-10-08,82.58
679,2018-10-15,80.39
674,2018-10-22,80.19
669,2018-10-29,79.41
664,2018-11-05,71.88
659,2018-11-12,69.81
654,2018-11-19,67.68
650,2018-11-26,65.63
645,2018-12-03,60.52
640,2018-12-10,59.01
635,2018-12-17,59.14
630,2018-12-24,56.93
626,2018-12-31,57.32
622,2019-01-07,55.62
617,2019-01-14,57.64
608,2019-01-28,58.92
603,2019-02-04,62.55
598,2019-02-11,61.65
589,2019-02-25,64.5
584,2019-03-04,65.61
579,2019-03-11,66.59
574,2019-03-18,67.02
569,2019-03-25,66.89
564,2019-04-01,68.46
559,2019-04-08,70.09
554,2019-04-15,69.83
550,2019-04-22,71.02
545,2019-04-29,70.93
540,2019-05-06,70.56
535,2019-05-13,69.64
530,2019-05-20,70.91
521,2019-06-03,60.4
516,2019-06-10,60.59
511,2019-06-17,59.94
506,2019-06-24,61.64
502,2019-07-01,63.19
498,2019-07-08,62.61
493,2019-07-15,64.31
488,2019-07-22,62.95
483,2019-07-29,63.16
478,2019-08-05,58.86
473,2019-08-12,58.35
468,2019-08-19,58.93
463,2019-08-26,58.87
454,2019-09-09,60.06
449,2019-09-16,63.12
444,2019-09-23,61.64
439,2019-09-30,61.12
434,2019-10-07,58.22
429,2019-10-14,58.94
424,2019-10-21,58.87
419,2019-10-28,59.45
414,2019-11-04,60.89
409,2019-11-11,61.09
404,2019-11-18,61.56
399,2019-11-25,61.94
395,2019-12-02,60.41
390,2019-12-09,63.34
385,2019-12-16,64.19
380,2019-12-23,64.65
376,2019-12-30,64.85
372,2020-01-06,68.28
367,2020-01-13,65.72
358,2020-01-27,64.37
353,2020-02-03,53.5
348,2020-02-10,53.0
339,2020-02-24,54.68
334,2020-03-02,50.95
329,2020-03-09,36.26
324,2020-03-16,35.45
319,2020-03-23,33.96
314,2020-03-30,33.84
309,2020-04-06,27.45
305,2020-04-13,24.74
300,2020-04-20,21.47
295,2020-04-27,20.37
290,2020-05-04,26.2
285,2020-05-11,27.27
280,2020-05-18,30.55
271,2020-06-01,38.32
266,2020-06-08,40.69
261,2020-06-15,39.85
256,2020-06-22,41.12
251,2020-06-29,40.8
