,날짜,종가
1006,2015-12-28,34.58
1002,2016-01-04,32.1
997,2016-01-11,27.86
988,2016-01-25,26.38
983,2016-02-01,29.95
978,2016-02-08,30.07
969,2016-02-22,29.56
964,2016-02-29,29.3
959,2016-03-07,35.37
954,2016-03-14,34.51
949,2016-03-21,35.68
945,2016-03-28,35.22
940,2016-04-04,34.05
935,2016-04-11,37.73
930,2016-04-18,37.94
925,2016-04-25,38.63
920,2016-05-02,42.45
915,2016-05-09,40.97
910,2016-05-16,44.27
905,2016-05-23,44.16
896,2016-06-06,46.54
891,2016-06-13,46.93
886,2016-06-20,46.69
881,2016-06-27,46.03
872,2016-07-11,42.84
867,2016-07-18,43.18
862,2016-07-25,42.59
858,2016-08-01,38.92
853,2016-08-08,41.62
848,2016-08-15,43.27
843,2016-08-22,43.81
838,2016-08-29,43.74
829,2016-09-12,44.89
824,2016-09-19,43.01
819,2016-09-26,43.4
815,2016-10-03,48.01
810,2016-10-10,49.93
805,2016-10-17,49.08
800,2016-10-24,49.19
795,2016-10-31,44.92
790,2016-11-07,43.04
785,2016-11-14,42.33
780,2016-11-21,44.15
776,2016-11-28,44.02
771,2016-12-05,51.51
766,2016-12-12,52.26
761,2016-12-19,51.81
748,2017-01-09,53.19
739,2017-01-23,53.64
734,2017-01-30,53.74
729,2017-02-06,54.25
724,2017-02-13,54.03
715,2017-02-27,54.43
710,2017-03-06,54.32
705,2017-03-13,51.35
700,2017-03-20,51.32
695,2017-03-27,51.01
690,2017-04-03,51.35
685,2017-04-10,53.83
681,2017-04-17,53.43
676,2017-04-24,52.31
671,2017-05-01,50.69
666,2017-05-08,48.54
661,2017-05-15,50.04
656,2017-05-22,50.93
647,2017-06-05,48.25
642,2017-06-12,47.48
637,2017-06-19,46.55
632,2017-06-26,46.25
627,2017-07-03,48.54
623,2017-07-10,46.03
618,2017-07-17,46.98
613,2017-07-24,47.11
608,2017-07-31,47.57
603,2017-08-07,51.0
598,2017-08-14,49.85
593,2017-08-21,50.09
588,2017-08-28,50.24
579,2017-09-11,52.35
574,2017-09-18,53.25
569,2017-09-25,53.92
564,2017-10-02,54.72
559,2017-10-09,54.1
554,2017-10-16,55.34
549,2017-10-23,55.14
544,2017-10-30,55.54
539,2017-11-06,61.83
534,2017-11-13,61.18
529,2017-11-20,60.55
525,2017-11-27,60.88
520,2017-12-04,60.02
515,2017-12-11,61.62
510,2017-12-18,60.8
497,2018-01-08,65.09
488,2018-01-22,65.97
483,2018-01-29,66.23
478,2018-02-05,64.99
473,2018-02-12,61.16
464,2018-02-26,62.75
459,2018-03-05,61.94
454,2018-03-12,61.32
449,2018-03-19,61.86
444,2018-03-26,62.77
440,2018-04-02,64.62
435,2018-04-09,65.83
430,2018-04-16,67.25
425,2018-04-23,68.41
420,2018-04-30,68.27
415,2018-05-07,72.83
410,2018-05-14,74.02
405,2018-05-21,74.79
396,2018-06-04,73.15
391,2018-06-11,74.37
386,2018-06-18,73.49
381,2018-06-25,73.15
376,2018-07-02,74.33
372,2018-07-09,75.08
367,2018-07-16,72.01
362,2018-07-23,72.67
357,2018-07-30,73.15
352,2018-08-06,72.35
347,2018-08-13,71.52
342,2018-08-20,71.18
337,2018-08-27,72.45
328,2018-09-10,75.56
323,2018-09-17,76.06
318,2018-09-24,77.02
313,2018-10-01,82.82
308,2018-10-08,82.58
303,2018-10-15,80.39
298,2018-10-22,80.19
293,2018-10-29,79.41
288,2018-11-05,71.88
283,2018-11-12,69.81
278,2018-11-19,67.68
274,2018-11-26,65.63
269,2018-12-03,60.52
264,2018-12-10,59.01
259,2018-12-17,59.14
254,2018-12-24,56.93
250,2018-12-31,57.32
246,2019-01-07,55.62
241,2019-01-14,57.64
232,2019-01-28,58.92
227,2019-02-04,62.55
222,2019-02-11,61.65
213,2019-02-25,64.5
208,2019-03-04,65.61
203,2019-03-11,66.59
198,2019-03-18,67.02
193,2019-03-25,66.89
188,2019-04-01,68.46
183,2019-04-08,70.09
178,2019-04-15,69.83
174,2019-04-22,71.02
169,2019-04-29,70.93
164,2019-05-06,70.56
159,2019-05-13,69.64
154,2019-05-20,70.91
145,2019-06-03,60.4
140,2019-06-10,60.59
135,2019-06-17,59.94
130,2019-06-24,61.64
126,2019-07-01,63.19
122,2019-07-08,62.61
117,2019-07-15,64.31
112,2019-07-22,62.95
107,2019-07-29,63.16
102,2019-08-05,58.86
97,2019-08-12,58.35
92,2019-08-19,58.93
87,2019-08-26,58.87
78,2019-09-09,60.06
73,2019-09-16,63.12
68,2019-09-23,61.64
63,2019-09-30,61.12
58,2019-10-07,58.22
53,2019-10-14,58.94
48,2019-10-21,58.87
43,2019-10-28,59.45
38,2019-11-04,60.89
33,2019-11-11,61.09
28,2019-11-18,61.56
23,2019-11-25,61.94
19,2019-12-02,60.41
14,2019-12-09,63.34
9,2019-12-16,64.19
4,2019-12-23,64.65
0,2019-12-30,64.85
