,날짜,종가
1450,2015-12-28,36.81
1446,2016-01-04,36.76
1441,2016-01-11,31.41
1435,2016-01-18,30.02
1430,2016-01-25,30.34
1425,2016-02-01,31.62
1420,2016-02-08,29.69
1414,2016-02-15,30.6
1409,2016-02-22,31.48
1404,2016-02-29,33.75
1399,2016-03-07,37.9
1394,2016-03-14,37.18
1389,2016-03-21,39.91
1385,2016-03-28,39.39
1380,2016-04-04,35.7
1375,2016-04-11,40.36
1370,2016-04-18,39.78
1365,2016-04-25,42.64
1360,2016-05-02,44.78
1355,2016-05-09,43.44
1350,2016-05-16,47.72
1345,2016-05-23,48.08
1339,2016-05-30,49.51
1334,2016-06-06,49.69
1329,2016-06-13,48.88
1324,2016-06-20,49.37
1319,2016-06-27,46.33
1313,2016-07-04,48.65
1308,2016-07-11,44.76
1303,2016-07-18,45.24
1298,2016-07-25,43.13
1293,2016-08-01,40.06
1288,2016-08-08,43.02
1283,2016-08-15,45.74
1278,2016-08-22,47.05
1273,2016-08-29,46.98
1267,2016-09-05,45.07
1262,2016-09-12,46.29
1257,2016-09-19,43.3
1252,2016-09-26,45.93
1247,2016-10-03,48.81
1242,2016-10-10,51.35
1237,2016-10-17,49.94
1232,2016-10-24,50.52
1227,2016-10-31,46.86
1222,2016-11-07,44.89
1217,2016-11-14,43.32
1212,2016-11-21,47.49
1207,2016-11-28,47.08
1202,2016-12-05,51.79
1197,2016-12-12,52.83
1192,2016-12-19,52.12
1187,2016-12-26,53.19
1182,2017-01-02,54.03
1177,2017-01-09,51.96
1171,2017-01-16,52.52
1166,2017-01-23,52.75
1161,2017-01-30,52.63
1156,2017-02-06,53.01
1151,2017-02-13,52.93
1145,2017-02-20,53.97
1140,2017-02-27,54.05
1135,2017-03-06,53.2
1130,2017-03-13,48.4
1125,2017-03-20,48.22
1120,2017-03-27,47.73
1115,2017-04-03,50.24
1110,2017-04-10,53.08
1106,2017-04-17,52.65
1101,2017-04-24,49.23
1096,2017-05-01,48.84
1091,2017-05-08,46.43
1086,2017-05-15,48.85
1081,2017-05-22,50.73
1075,2017-05-29,49.97
1070,2017-06-05,47.4
1065,2017-06-12,46.08
1060,2017-06-19,44.2
1055,2017-06-26,43.38
1050,2017-07-03,47.07
1045,2017-07-10,44.4
1040,2017-07-17,46.02
1035,2017-07-24,46.34
1030,2017-07-31,50.17
1025,2017-08-07,49.39
1020,2017-08-14,47.59
1015,2017-08-21,47.37
1010,2017-08-28,46.57
1004,2017-09-04,47.41
999,2017-09-11,48.07
994,2017-09-18,49.91
989,2017-09-25,52.22
984,2017-10-02,50.58
979,2017-10-09,49.58
974,2017-10-16,51.87
969,2017-10-23,51.9
964,2017-10-30,54.15
959,2017-11-06,57.35
954,2017-11-13,56.76
949,2017-11-20,56.09
944,2017-11-27,58.11
939,2017-12-04,57.47
934,2017-12-11,57.99
929,2017-12-18,57.16
924,2017-12-25,58.59
919,2018-01-01,60.24
914,2018-01-08,61.73
908,2018-01-15,64.73
903,2018-01-22,63.49
898,2018-01-29,65.56
893,2018-02-05,64.15
888,2018-02-12,59.29
882,2018-02-19,62.38
877,2018-02-26,63.91
872,2018-03-05,62.57
867,2018-03-12,61.36
862,2018-03-19,62.06
857,2018-03-26,65.55
853,2018-04-02,63.01
848,2018-04-09,63.42
843,2018-04-16,66.22
838,2018-04-23,68.64
833,2018-04-30,68.57
828,2018-05-07,70.73
823,2018-05-14,70.96
818,2018-05-21,72.24
812,2018-05-28,67.05
807,2018-06-04,64.75
802,2018-06-11,66.1
797,2018-06-18,65.85
792,2018-06-25,68.08
787,2018-07-02,73.94
782,2018-07-09,73.85
777,2018-07-16,68.06
772,2018-07-23,67.89
767,2018-07-30,70.13
762,2018-08-06,69.01
757,2018-08-13,67.2
752,2018-08-20,66.43
747,2018-08-27,68.87
741,2018-09-03,70.12
736,2018-09-10,67.54
731,2018-09-17,68.91
726,2018-09-24,72.08
721,2018-10-01,75.3
716,2018-10-08,74.29
711,2018-10-15,71.78
706,2018-10-22,69.17
701,2018-10-29,67.04
696,2018-11-05,63.1
691,2018-11-12,59.93
686,2018-11-19,56.76
681,2018-11-26,51.63
676,2018-12-03,52.95
671,2018-12-10,51.0
666,2018-12-17,49.88
661,2018-12-24,42.53
656,2018-12-31,45.41
651,2019-01-07,48.52
646,2019-01-14,50.51
640,2019-01-21,54.24
635,2019-01-28,51.99
630,2019-02-04,54.56
625,2019-02-11,52.41
619,2019-02-18,56.27
614,2019-02-25,55.48
609,2019-03-04,56.59
604,2019-03-11,56.79
599,2019-03-18,59.09
594,2019-03-25,58.82
589,2019-04-01,61.59
584,2019-04-08,64.4
579,2019-04-15,63.4
575,2019-04-22,65.7
570,2019-04-29,63.5
565,2019-05-06,62.25
560,2019-05-13,61.04
555,2019-05-20,63.1
549,2019-05-27,59.16
544,2019-06-03,53.25
539,2019-06-10,53.26
534,2019-06-17,51.93
529,2019-06-24,57.9
524,2019-07-01,59.09
519,2019-07-08,57.66
514,2019-07-15,59.58
509,2019-07-22,56.22
504,2019-07-29,56.87
499,2019-08-05,54.69
494,2019-08-12,54.93
489,2019-08-19,56.21
484,2019-08-26,53.64
478,2019-09-02,54.66
473,2019-09-09,57.85
468,2019-09-16,62.9
463,2019-09-23,58.64
458,2019-09-30,54.07
453,2019-10-07,52.75
448,2019-10-14,53.59
443,2019-10-21,53.31
438,2019-10-28,55.81
433,2019-11-04,56.54
428,2019-11-11,56.86
423,2019-11-18,57.05
418,2019-11-25,58.01
413,2019-12-02,55.96
408,2019-12-09,59.02
403,2019-12-16,60.21
398,2019-12-23,60.52
393,2019-12-30,61.68
388,2020-01-06,63.27
383,2020-01-13,58.08
377,2020-01-20,58.73
372,2020-01-27,53.14
367,2020-02-03,50.11
362,2020-02-10,49.57
356,2020-02-17,52.2
351,2020-02-24,51.43
346,2020-03-02,46.75
341,2020-03-09,31.13
336,2020-03-16,28.7
331,2020-03-23,23.36
326,2020-03-30,20.09
321,2020-04-06,26.08
317,2020-04-13,22.41
312,2020-04-20,-37.63
307,2020-04-27,12.78
302,2020-05-04,20.39
297,2020-05-11,24.14
292,2020-05-18,31.82
286,2020-05-25,33.92
281,2020-06-01,35.44
276,2020-06-08,38.19
271,2020-06-15,37.12
266,2020-06-22,40.46
261,2020-06-29,39.7
256,2020-07-06,40.63
251,2020-07-13,40.1
246,2020-07-20,40.81
241,2020-07-27,41.6
236,2020-08-03,41.01
231,2020-08-10,41.94
226,2020-08-17,42.89
221,2020-08-24,42.62
216,2020-08-31,42.61
210,2020-09-07,39.2
205,2020-09-14,37.26
200,2020-09-21,39.31
195,2020-09-28,40.6
190,2020-10-05,39.22
185,2020-10-12,39.43
180,2020-10-19,40.83
175,2020-10-26,38.56
170,2020-11-02,36.81
165,2020-11-09,40.29
160,2020-11-16,41.34
155,2020-11-23,43.06
150,2020-11-30,45.34
145,2020-12-07,45.76
140,2020-12-14,46.99
135,2020-12-21,47.74
131,2020-12-28,47.62
127,2021-01-04,47.62
122,2021-01-11,52.25
116,2021-01-18,52.36
111,2021-01-25,52.77
106,2021-02-01,53.55
101,2021-02-08,57.97
95,2021-02-15,60.09
90,2021-02-22,61.49
85,2021-03-01,60.64
80,2021-03-08,65.05
75,2021-03-15,65.39
70,2021-03-22,61.55
65,2021-03-29,61.56
61,2021-04-05,58.65
56,2021-04-12,59.7
51,2021-04-19,63.38
46,2021-04-26,61.91
41,2021-05-03,64.49
36,2021-05-10,64.92
31,2021-05-17,66.27
26,2021-05-24,66.05
20,2021-05-31,66.96
15,2021-06-07,69.23
10,2021-06-14,70.88
5,2021-06-21,73.66
0,2021-06-28,72.91
