"GLO_SWT_DT","GLO_SWT_LON","GLO_SWT_LAT","GLO_SWT_SST"
"01-2월-1970 00:00:00","0.5","89.5","-1.69200003147125"
"01-3월-1970 00:00:00","0.5","89.5","-1.70500004291534"
"01-4월-1970 00:00:00","0.5","89.5","-1.74000012874603"
"01-5월-1970 00:00:00","0.5","89.5","-1.7200000286102302"
"01-6월-1970 00:00:00","0.5","89.5","-1.7370001077651998"
"01-7월-1970 00:00:00","0.5","89.5","-1.70700013637543"
"01-8월-1970 00:00:00","0.5","89.5","-1.7570000886917099"
"01-9월-1970 00:00:00","0.5","89.5","-1.7650001049041701"
"01-10월-1970 00:00:00","0.5","89.5","-1.7150000333786002"
"01-11월-1970 00:00:00","0.5","89.5","-1.69700002670288"
"01-12월-1970 00:00:00","0.5","89.5","-1.682000041008"
"01-1월-1970 00:00:00","0.5","88.5","-1.72500002384186"
"01-2월-1970 00:00:00","0.5","88.5","-1.7150000333786002"
"01-3월-1970 00:00:00","0.5","88.5","-1.71200013160706"
"01-4월-1970 00:00:00","0.5","88.5","-1.76000010967255"
"01-5월-1970 00:00:00","0.5","88.5","-1.7370001077651998"
"01-6월-1970 00:00:00","0.5","88.5","-1.74200010299683"
"01-7월-1970 00:00:00","0.5","88.5","-1.7570000886917099"
"01-8월-1970 00:00:00","0.5","88.5","-1.76700007915497"
"01-9월-1970 00:00:00","0.5","88.5","-1.7370001077651998"
"01-10월-1970 00:00:00","0.5","88.5","-1.69500005245209"
"01-11월-1970 00:00:00","0.5","88.5","-1.6900000572204599"
"01-12월-1970 00:00:00","0.5","88.5","-1.68500006198883"
"01-1월-1970 00:00:00","0.5","87.5","-1.74000012874603"
"01-2월-1970 00:00:00","0.5","87.5","-1.72200012207031"
"01-3월-1970 00:00:00","0.5","87.5","-1.7170001268386799"
"01-4월-1970 00:00:00","0.5","87.5","-1.7700001001358"
"01-5월-1970 00:00:00","0.5","87.5","-1.76200008392334"
"01-6월-1970 00:00:00","0.5","87.5","-1.7520000934600801"
"01-7월-1970 00:00:00","0.5","87.5","-1.73200011253357"
"01-8월-1970 00:00:00","0.5","87.5","-1.74500012397766"
"01-9월-1970 00:00:00","0.5","87.5","-1.7150000333786002"
"01-10월-1970 00:00:00","0.5","87.5","-1.68500006198883"
"01-11월-1970 00:00:00","0.5","87.5","-1.70200002193451"
"01-12월-1970 00:00:00","0.5","87.5","-1.69200003147125"
"01-1월-1970 00:00:00","0.5","86.5","-1.76200008392334"
"01-2월-1970 00:00:00","0.5","86.5","-1.7500001192092902"
"01-3월-1970 00:00:00","0.5","86.5","-1.74200010299683"
"01-4월-1970 00:00:00","0.5","86.5","-1.7920000553131101"
"01-5월-1970 00:00:00","0.5","86.5","-1.7820000648498502"
"01-6월-1970 00:00:00","0.5","86.5","-1.7570000886917099"
"01-7월-1970 00:00:00","0.5","86.5","-1.6800000667572002"
"01-8월-1970 00:00:00","0.5","86.5","-1.74200010299683"
"01-9월-1970 00:00:00","0.5","86.5","-1.7570000886917099"
"01-10월-1970 00:00:00","0.5","86.5","-1.73200011253357"
"01-11월-1970 00:00:00","0.5","86.5","-1.74200010299683"
"01-12월-1970 00:00:00","0.5","86.5","-1.7170001268386799"
"01-1월-1970 00:00:00","0.5","85.5","-1.75500011444092"
"01-2월-1970 00:00:00","0.5","85.5","-1.74000012874603"
"01-3월-1970 00:00:00","0.5","85.5","-1.73200011253357"
