,날짜,종가
1045,2015-12-28,0.2943
1040,2016-01-04,0.293
1035,2016-01-11,0.2916
1030,2016-01-18,0.2913
1025,2016-01-25,0.2887
1020,2016-02-01,0.2871
1015,2016-02-08,0.2861
1010,2016-02-15,0.2858
1005,2016-02-22,0.2843
1000,2016-02-29,0.2838
995,2016-03-07,0.2899
990,2016-03-14,0.2999
985,2016-03-21,0.2934
980,2016-03-28,0.2962
975,2016-04-04,0.2984
970,2016-04-11,0.3046
965,2016-04-18,0.3057
960,2016-04-25,0.3045
955,2016-05-02,0.3028
950,2016-05-09,0.3001
945,2016-05-16,0.3004
940,2016-05-23,0.2991
935,2016-05-30,0.2971
930,2016-06-06,0.3022
925,2016-06-13,0.3008
920,2016-06-20,0.3043
915,2016-06-27,0.301
910,2016-07-04,0.3044
905,2016-07-11,0.305
900,2016-07-18,0.3047
895,2016-07-25,0.2966
890,2016-08-01,0.2983
885,2016-08-08,0.3019
880,2016-08-15,0.3024
875,2016-08-22,0.2986
870,2016-08-29,0.296
865,2016-09-05,0.2944
860,2016-09-12,0.2938
855,2016-09-19,0.2953
850,2016-09-26,0.2969
845,2016-10-03,0.2954
840,2016-10-10,0.2946
835,2016-10-17,0.2943
830,2016-10-24,0.2974
825,2016-10-31,0.2975
820,2016-11-07,0.2962
815,2016-11-14,0.2911
810,2016-11-21,0.2925
805,2016-11-28,0.2925
800,2016-12-05,0.2926
795,2016-12-12,0.2941
790,2016-12-19,0.2926
785,2016-12-26,0.2952
780,2017-01-02,0.2968
775,2017-01-09,0.2955
770,2017-01-16,0.2968
765,2017-01-23,0.3037
760,2017-01-30,0.3039
755,2017-02-06,0.3041
750,2017-02-13,0.3068
745,2017-02-20,0.308
740,2017-02-27,0.3076
735,2017-03-06,0.3035
730,2017-03-13,0.3046
725,2017-03-20,0.3079
720,2017-03-27,0.3081
715,2017-04-03,0.308
710,2017-04-10,0.308
705,2017-04-17,0.3071
700,2017-04-24,0.3082
695,2017-05-01,0.3083
690,2017-05-08,0.3043
685,2017-05-15,0.306
680,2017-05-22,0.3051
675,2017-05-29,0.3045
670,2017-06-05,0.3061
665,2017-06-12,0.3049
660,2017-06-19,0.3054
655,2017-06-26,0.3073
650,2017-07-03,0.307
645,2017-07-10,0.3073
640,2017-07-17,0.308
635,2017-07-24,0.3082
630,2017-07-31,0.3085
625,2017-08-07,0.3085
620,2017-08-14,0.3084
615,2017-08-21,0.3088
610,2017-08-28,0.3088
605,2017-09-04,0.3089
600,2017-09-11,0.3095
595,2017-09-18,0.3081
590,2017-09-25,0.3068
585,2017-10-02,0.3055
580,2017-10-09,0.3056
575,2017-10-16,0.3084
570,2017-10-23,0.3088
565,2017-10-30,0.3078
560,2017-11-06,0.3089
555,2017-11-13,0.3086
550,2017-11-20,0.3089
545,2017-11-27,0.3091
540,2017-12-04,0.3094
535,2017-12-11,0.3091
530,2017-12-18,0.3049
525,2017-12-25,0.3091
520,2018-01-01,0.3089
515,2018-01-08,0.311
510,2018-01-15,0.3115
505,2018-01-22,0.3113
500,2018-01-29,0.3111
495,2018-02-05,0.3089
490,2018-02-12,0.306
485,2018-02-19,0.308
480,2018-02-26,0.3079
475,2018-03-05,0.3076
470,2018-03-12,0.3068
465,2018-03-19,0.3058
460,2018-03-26,0.311
455,2018-04-02,0.3099
450,2018-04-09,0.3089
445,2018-04-16,0.3103
440,2018-04-23,0.3093
435,2018-04-30,0.3076
430,2018-05-07,0.3051
425,2018-05-14,0.3071
420,2018-05-21,0.3047
415,2018-05-28,0.3053
410,2018-06-04,0.306
405,2018-06-11,0.3063
400,2018-06-18,0.3052
395,2018-06-25,0.3059
390,2018-07-02,0.3043
385,2018-07-09,0.3052
380,2018-07-16,0.3061
375,2018-07-23,0.3049
370,2018-07-30,0.3059
365,2018-08-06,0.3059
360,2018-08-13,0.3043
355,2018-08-20,0.3023
350,2018-08-27,0.3043
345,2018-09-03,0.3028
340,2018-09-10,0.2998
335,2018-09-17,0.3019
330,2018-09-24,0.3027
325,2018-10-01,0.3022
320,2018-10-08,0.301
315,2018-10-15,0.2994
310,2018-10-22,0.2999
305,2018-10-29,0.2979
300,2018-11-05,0.2969
295,2018-11-12,0.2962
290,2018-11-19,0.2961
285,2018-11-26,0.2957
280,2018-12-03,0.2953
275,2018-12-10,0.2967
270,2018-12-17,0.2994
265,2018-12-24,0.2982
260,2018-12-31,0.2968
255,2019-01-07,0.2982
250,2019-01-14,0.2988
245,2019-01-21,0.3005
240,2019-01-28,0.2976
235,2019-02-04,0.3001
230,2019-02-11,0.2999
225,2019-02-18,0.2995
220,2019-02-25,0.3022
215,2019-03-04,0.3024
210,2019-03-11,0.3015
205,2019-03-18,0.3029
200,2019-03-25,0.3027
195,2019-04-01,0.3019
190,2019-04-08,0.3035
185,2019-04-15,0.3031
180,2019-04-22,0.302
175,2019-04-29,0.3012
170,2019-05-06,0.3015
165,2019-05-13,0.3003
160,2019-05-20,0.2992
155,2019-05-27,0.2986
150,2019-06-03,0.2974
145,2019-06-10,0.2996
140,2019-06-17,0.2986
135,2019-06-24,0.3025
130,2019-07-01,0.3034
125,2019-07-08,0.3033
120,2019-07-15,0.304
115,2019-07-22,0.3043
110,2019-07-29,0.3026
105,2019-08-05,0.2951
100,2019-08-12,0.2957
95,2019-08-19,0.2952
90,2019-08-26,0.2956
85,2019-09-02,0.2936
80,2019-09-09,0.2985
75,2019-09-16,0.2999
70,2019-09-23,0.298
65,2019-09-30,0.2966
60,2019-10-07,0.2954
55,2019-10-14,0.2969
50,2019-10-21,0.2994
45,2019-10-28,0.2999
40,2019-11-04,0.2999
35,2019-11-11,0.2974
30,2019-11-18,0.2963
25,2019-11-25,0.2952
20,2019-12-02,0.2948
15,2019-12-09,0.2961
10,2019-12-16,0.2981
5,2019-12-23,0.301
0,2019-12-30,0.3013
