,날짜,종가
582,2018-02-19,4.371e-05
576,2018-02-26,4.396e-05
570,2018-03-05,4.394e-05
564,2018-03-12,4.394e-05
558,2018-03-19,4.396e-05
552,2018-03-26,4.388e-05
546,2018-04-02,4.381e-05
540,2018-04-09,4.406e-05
534,2018-04-16,4.39e-05
528,2018-04-23,4.392e-05
522,2018-04-30,4.393e-05
516,2018-05-07,4.392e-05
510,2018-05-14,4.392e-05
504,2018-05-21,4.391e-05
498,2018-05-28,4.383e-05
492,2018-06-04,4.373e-05
486,2018-06-11,4.383e-05
480,2018-06-18,4.379e-05
474,2018-06-25,4.367e-05
468,2018-07-02,4.356e-05
462,2018-07-09,4.34e-05
456,2018-07-16,4.339e-05
450,2018-07-23,4.338e-05
444,2018-07-30,4.3e-05
438,2018-08-06,4.29e-05
432,2018-08-13,4.289e-05
426,2018-08-20,4.297e-05
420,2018-08-27,4.293e-05
414,2018-09-03,4.291e-05
408,2018-09-10,4.291e-05
402,2018-09-17,4.293e-05
396,2018-09-24,4.281e-05
390,2018-10-01,4.286e-05
384,2018-10-08,4.282e-05
378,2018-10-15,4.286e-05
372,2018-10-22,4.283e-05
366,2018-10-29,4.283e-05
360,2018-11-05,4.285e-05
354,2018-11-12,4.291e-05
348,2018-11-19,4.29e-05
342,2018-11-26,4.284e-05
336,2018-12-03,4.291e-05
330,2018-12-10,4.291e-05
324,2018-12-17,4.288e-05
318,2018-12-24,4.294e-05
312,2018-12-31,4.311e-05
306,2019-01-07,4.311e-05
300,2019-01-14,4.31e-05
294,2019-01-21,4.311e-05
288,2019-01-28,4.311e-05
282,2019-02-04,4.309e-05
276,2019-02-11,4.308e-05
270,2019-02-18,4.31e-05
264,2019-02-25,4.307e-05
258,2019-03-04,4.31e-05
252,2019-03-11,4.311e-05
246,2019-03-18,4.31e-05
240,2019-03-25,4.31e-05
234,2019-04-01,4.31e-05
228,2019-04-08,4.31e-05
222,2019-04-15,4.31e-05
216,2019-04-22,4.307e-05
210,2019-04-29,4.294e-05
204,2019-05-06,4.295e-05
198,2019-05-13,4.287e-05
192,2019-05-20,4.272e-05
186,2019-05-27,4.276e-05
180,2019-06-03,4.275e-05
174,2019-06-10,4.28e-05
168,2019-06-17,4.283e-05
162,2019-06-24,4.294e-05
156,2019-07-01,4.299e-05
150,2019-07-08,4.302e-05
144,2019-07-15,4.31e-05
138,2019-07-22,4.303e-05
132,2019-07-29,4.308e-05
126,2019-08-05,4.298e-05
120,2019-08-12,4.311e-05
114,2019-08-19,4.309e-05
108,2019-08-26,4.311e-05
102,2019-09-02,4.313e-05
96,2019-09-09,4.31e-05
90,2019-09-16,4.307e-05
84,2019-09-23,4.31e-05
78,2019-09-30,4.31e-05
72,2019-10-07,4.31e-05
66,2019-10-14,4.309e-05
60,2019-10-21,4.309e-05
54,2019-10-28,4.31e-05
48,2019-11-04,4.31e-05
42,2019-11-11,4.31e-05
36,2019-11-18,4.309e-05
30,2019-11-25,4.31e-05
24,2019-12-02,4.315e-05
18,2019-12-09,4.316e-05
12,2019-12-16,4.315e-05
6,2019-12-23,4.315e-05
0,2019-12-30,4.315e-05
