"국가별","항목","단위","2015. 12 월","2016. 01 월","2016. 02 월","2016. 03 월","2016. 04 월","2016. 05 월","2016. 06 월","2016. 07 월","2016. 08 월","2016. 09 월","2016. 10 월","2016. 11 월","2016. 12 월","2017. 01 월","2017. 02 월","2017. 03 월","2017. 04 월","2017. 05 월","2017. 06 월","2017. 07 월","2017. 08 월","2017. 09 월","2017. 10 월","2017. 11 월","2017. 12 월","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월","2019. 01 월","2019. 02 월","2019. 03 월","2019. 04 월","2019. 05 월","2019. 06 월","2019. 07 월","2019. 08 월","2019. 09 월","2019. 10 월","2019. 11 월","2019. 12 월","2020. 01 월","2020. 02 월","2020. 03 월","2020. 04 월","2020. 05 월","2020. 06 월","2020. 07 월","2020. 08 월","2020. 09 월","2020. 10 월","2020. 11 월","2020. 12 월","2021. 01 월","2021. 02 월","2021. 03 월","2021. 04 월","2021. 05 월","2021. 06 월",
"알제리","SDR 비율(자국화폐/SDR, 기말)","Dinars/SDR","148.45567","148.16208","149.63492","153.16238","154.67124","155.19037","154.39293","153.8745","152.88364","153.17254","151.08012","149.94395","148.58549","149.05072","149.16973","149.27232","149.91801","150.30552","150.05545","152.64995","156.72399","159.99596","161.84859","162.82914","163.67959","165.27822","165.46658","165.85352","165.21513","164.97018","165.51829","165.35625","165.19904","164.86103","164.45877","163.86974","164.51757","165.27839","165.55989","165.64302","165.63053","164.9192","164.90967","164.46692","164.31317","164.19726","164.76058","164.89672","164.77694","165.1875","164.92805","170.01033","175.25186","176.28932","177.68319","181.05584","181.63218","181.77642","182.52263","184.67197","190.30541","191.50964","191.0532","189.98573","191.92315","192.90134","",
"알제리","USD 비율(자국화폐/US$, 기말)","Dinars/US$","107.1317","107.3252","108.3279","108.7168","109.1286","110.6228","110.3718","110.4325","109.6457","109.7371","109.9685","110.7609","110.5274","109.6906","110.1784","110.014","109.3475","108.5771","107.8459","108.4355","110.8852","113.2077","115.2205","115.0396","114.9327","113.4278","114.4395","114.0777","114.8873","116.4508","117.6749","117.7024","117.8824","118.1587","118.9897","118.4693","118.2906","117.9972","118.4283","119.3178","119.5233","119.7132","118.622","119.576","120.0822","120.4405","119.4445","120.1083","119.1596","119.9661","120.0978","124.5681","128.2579","128.489","129.1588","128.1296","128.008","129.1416","129.2983","129.1328","132.1319","132.9188","132.743","134.0564","133.6524","133.5265","",
"알제리","USD 비율(자국화폐/US$, 평균)","Dinars/US$","107.2739","107.4411","106.5487","109.5423","108.7676","109.787","110.1451","110.6086","109.4703","109.3162","110.1722","110.6175","110.9002","110.0475","109.9259","109.8772","109.9478","108.937","108.4008","108.7211","109.6243","111.7448","114.1349","115.073","115.2419","114.2968","113.8607","114.0351","114.2165","115.974","116.9667","117.6772","118.3993","117.9911","118.67","118.5182","118.5199","118.3305","118.6176","118.9239","119.3079","119.5117","119.0572","119.2523","119.6585","120.1191","119.9325","119.8986","119.6329","119.6404","120.5274","121.3511","127.5983","128.6924","128.7417","128.4361","128.3389","128.7995","128.9041","128.6956","131.5961","132.6737","132.9357","133.7369","132.9544","133.5319","",
"알제리","명목 환율 지수","","82.71444","83.36562","82.94021","80.22749","79.51112","79.22438","79.40055","79.86382","79.92961","80.11607","80.65276","82.32724","83.85715","84.32236","83.84051","83.76887","83.42907","82.81876","82.32659","80.98885","78.9572","76.76146","76.1103","75.77159","75.13158","73.88975","73.44959","73.51547","73.79977","74.91073","75.25207","75.56418","76.65652","76.99768","77.06567","77.27901","77.06868","76.80142","76.67843","76.72892","76.93484","77.62317","77.31025","77.2218","77.90066","78.17266","78.01249","77.82134","77.75709","77.58712","78.16308","77.83241","75.37532","74.64553","73.03674","72.33957","71.16878","70.94823","70.88856","70.47532","67.53417","66.68495","66.62714","67.30229","67.70773","66.61865","",
"알제리","CPI 기반 실질 환율 지수","","94.71","95.84232","95.56541","93.30535","93.51447","93.45107","94.42673","95.29549","95.30587","95.48552","94.84508","98.70058","100.67761","102.19782","101.7105","101.87294","101.76066","100.23475","99.72027","97.59978","96.23071","94.05311","93.09185","92.95956","92.55298","90.88243","90.3293","90.25623","91.01061","93.21882","94.36989","93.74932","94.79786","94.72839","95.16578","95.73828","95.0401","94.8716","94.75827","94.62811","94.5523","95.50499","94.85651","94.93447","96.20621","97.19656","95.97052","95.56061","95.76379","95.04613","95.80708","95.98865","93.41453","92.77026","90.76328","89.78402","87.88948","88.22829","88.93894","88.56849","85.12566","84.00476","84.19689","85.11345","85.73412","84.50308","",
"앙골라","SDR 비율(자국화폐/SDR, 기말)","Kwanzas/SDR","187.51013","214.82736","219.55338","226.35296","235.10913","232.71472","232.04821","231.14607","231.307","231.55525","227.91695","224.5887","223.02815","225.43862","224.62106","225.11685","227.46997","229.68025","230.85416","233.57157","234.51031","234.49615","233.06897","234.85113","236.29734","302.28051","308.17271","311.30617","324.93319","339.15811","350.60722","361.01533","387.18613","410.85726","425.55976","429.43268","429.20801","437.36781","439.20483","441.631","447.73262","455.23909","473.05005","480.80949","495.34217","515.36991","685.05417","674.43454","666.83583","682.68979","676.5195","732.45995","760.95984","798.39899","797.96411","816.41646","845.25748","881.48575","941.26251","931.50911","945.14068","947.2892","920.46802","895.27503","937.57261","939.23326","",
"앙골라","USD 비율(자국화폐/US$, 기말)","Kwanzas/US$","135.315","155.616","158.94523","160.6685","165.88172","165.88371","165.8857","165.88868","165.88968","165.89266","165.89664","165.89963","165.90261","165.90659","165.90759","165.91157","165.9125","165.9155","165.9165","165.9185","165.9205","165.9215","165.9225","165.9235","165.9235","207.45027","213.13749","214.12323","225.95204","239.40831","249.2635","256.97468","276.2875","294.46838","307.90227","310.4575","308.607","312.25","314.172","318.1205","323.0955","330.4535","340.272","349.5735","362.0025","378.0295","496.6355","491.248","482.227","495.798","492.63","536.68","556.9077","581.9155","580.0441","577.7616","595.70789","626.2445","666.7866","651.3624","656.22535","657.47365","639.5375","631.7177","652.9115","650.1382","",
"앙골라","USD 비율(자국화폐/US$, 평균)","Kwanzas/US$","135.31409","155.61355","157.55005","159.38297","164.203","165.88269","165.88484","165.88698","165.88873","165.89113","165.89456","165.89824","165.90049","165.90465","165.90701","165.90999","165.91188","165.91377","165.91618","165.91802","165.91991","165.92145","165.92205","165.923","165.9235","188.97635","210.23329","214.14504","218.2609","232.62973","242.24787","253.17375","266.59234","286.02773","303.08242","310.00886","308.89069","310.29786","313.65516","316.16992","319.41547","327.43766","338.64563","346.25474","359.80945","367.77203","429.55076","473.49853","475.40245","489.43395","494.48503","508.75745","557.93472","564.29397","587.12635","571.17073","582.59069","620.50013","645.22365","661.92282","655.66587","657.83639","652.63588","626.69181","644.55929","652.17122","",
"베냉","SDR 비율(자국화폐/SDR, 기말)","Cfa Francs/SDR","834.92208","829.25496","832.18501","811.70417","815.31835","825.02072","826.50109","822.45817","821.6211","820.351","823.30158","834.98824","836.56563","828.76162","838.063","832.50792","822.81115","809.24589","799.76378","787.43301","784.0362","785.24583","791.72835","783.57114","778.93006","767.28734","776.51848","774.02208","780.94814","794.30921","791.43178","785.21859","788.98858","790.62246","801.03841","798.78189","796.76809","799.78879","803.26907","810.53204","810.30359","810.38378","801.33478","809.0886","813.31244","821.26013","811.20736","820.03604","807.43646","817.24662","820.63715","817.13125","824.10906","808.17647","805.85564","782.33616","779.51902","788.61318","791.56695","783.03824","769.90806","778.76072","778.89625","792.85897","779.62747","776.69001","787.33808",
"베냉","USD 비율(자국화폐/US$, 기말)","Cfa Francs/US$","602.51401","600.69322","602.45867","576.15898","575.2495","588.09127","590.84579","590.26096","589.2535","587.72243","599.2664","616.79079","622.29105","609.90888","619.00255","613.56","600.14364","584.57981","574.79583","559.35619","554.72051","555.61325","563.63379","553.59693","546.94989","526.57702","537.05338","532.38942","543.05572","560.69493","562.66684","558.92723","563.00489","566.65256","579.56971","577.47777","572.88821","570.99321","574.59443","583.85136","584.73614","588.24948","576.41213","588.24948","594.3793","602.40334","588.09127","597.30195","583.90333","593.51882","597.57402","598.71942","603.12339","589.04185","585.7805","553.64365","549.37772","560.26392","560.74286","547.54341","534.55872","540.50511","541.174","559.4516","542.92087","537.6256","551.96651",
