"국가",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"국가",동물,유제품,과일 야채 식물,커피 및 차,시리얼,종유 지방 및 유류,설탕과 제과,음료 및 담배,면,기타 농업제품,생선,광물 및 금속,석유,화학,나무 종이 등,섬유,의류,가죽 신발 등,비전기기계,전기기계,운송장비,제조품,동물,유제품,과일 야채 식물,커피 및 차,시리얼,종유 지방 및 유류,설탕과 제과,음료 및 담배,면,기타 농업제품,생선,광물 및 금속,석유,화학,나무 종이 등,섬유,의류,가죽 신발 등,비전기기계,전기기계,운송장비,제조품,동물,유제품,과일 야채 식물,커피 및 차,시리얼,종유 지방 및 유류,설탕과 제과,음료 및 담배,면,기타 농업제품,생선,광물 및 금속,석유,화학,나무 종이 등,섬유,의류,가죽 신발 등,비전기기계,전기기계,운송장비,제조품,동물,유제품,과일 야채 식물,커피 및 차,시리얼,종유 지방 및 유류,설탕과 제과,음료 및 담배,면,기타 농업제품,생선,광물 및 금속,석유,화학,나무 종이 등,섬유,의류,가죽 신발 등,비전기기계,전기기계,운송장비,제조품,동물,유제품,과일 야채 식물,커피 및 차,시리얼,종유 지방 및 유류,설탕과 제과,음료 및 담배,면,기타 농업제품,생선,광물 및 금속,석유,화학,나무 종이 등,섬유,의류,가죽 신발 등,비전기기계,전기기계,운송장비,제조품
"아시아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"한국",21.5,66,58.5,56.4,187.3,40.7,15.7,32.2,0,20.4,16.3,4.5,4.4,5.7,2.2,9,12.5,7.5,6,6.2,5.5,6.6,21.5,66,58.6,56.4,187.1,40.7,15.7,32.2,0,20.3,16.4,4.5,4.5,5.7,2.2,9,12.5,7.5,6,6.2,5.5,6.6,21.5,66,59.3,56.4,187.1,40.7,15.7,31.4,0,20.4,16.7,4.6,4.5,5.6,2.4,9,12.5,7.6,5.9,6,5.7,6.1,21.5,66,59.5,56.4,187.1,40.7,15.7,31.4,0,20.4,16.7,4.6,4.5,5.7,2.4,9,12.5,7.6,5.9,5.7,5.7,5.7,21.5,66,58.7,56.4,187,40.7,15.7,31.4,0,20.4,16.7,4.6,4.5,5.6,2.4,9,12.5,7.6,5.8,5.4,5.7,5.3
"중국",14.1,12.3,14.8,14.9,23,10.9,28.7,23.5,22,11.9,10.6,7.8,5.3,6.7,4.5,9.6,16,13.5,8.2,9,11.4,12.1,14.2,12.3,14.8,14.9,23,10.9,28.7,23.5,18,11.8,10.7,7.8,5.3,6.7,4.5,9.6,16,13.5,8.2,8.9,11.4,12.1,14.1,12.3,14.7,14.9,23,10.9,28.7,23.7,22,11.9,10.8,7.8,5.3,6.6,4.1,9.6,16,13.3,8.1,8.6,12.3,11.7,14.2,12.3,14.8,14.9,23,10.9,28.7,23.7,18,11.8,10.9,7.8,5.3,6.7,4.1,9.6,16,13.2,8.1,8.4,12.3,11.6,13.3,12.3,12.2,12.3,19.5,10.9,28.7,18.2,22,11.8,7.2,6.3,5.3,6,3.2,7,6.8,10.6,6.8,6,9.6,7.1
"인도",31.1,33.5,29.4,56.3,31.3,35.1,35.9,68.6,6,22.3,29.9,7.9,4.9,7.9,9,11.8,12.3,10.1,7.1,7.2,19.4,8.8,31.1,33.5,29.4,56.3,31.3,35.1,35.9,68.6,6,22.3,29.9,8.2,4.2,7.9,9,11.7,12.3,10.1,7.1,7.3,19.3,8.8,31.1,33.5,29.4,56.3,31.3,34,35.9,69.5,6,22.3,29.9,8.5,4.2,8.1,8.9,11.9,15.1,10.1,7.2,7.3,24.9,8.9,32.5,34.8,32.4,56.3,37.1,54.1,51.5,74.7,26,29,30,11,9.2,10.1,10,20.7,20.5,12.1,7.8,8.8,31.1,11.1,32.5,35.7,33.2,56.3,37.1,52,51.5,74.7,26,29,30,11.2,9.2,10.2,10,22.3,23.9,13.1,8.1,9.1,31.2,11.1
"인도네시아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.1,5.5,5.6,13.2,7.4,4.5,7,44.2,4,4.1,6.2,7,0.2,5.4,5.2,10.4,23.8,10,5,6.1,11.1,7.5,7.1,5.5,5.7,13.2,7.5,4.5,7.2,45.9,4,4.1,6.3,7.1,0.2,5.3,5,11.5,23.9,9.9,5.4,6,13.5,7.5,7.1,5.5,5.7,13.2,7.4,4.4,7.2,45.8,4,4.1,6.3,7.1,0.2,5.3,5,11.5,23.9,9.9,5.4,6,13.5,7.5,7.1,5.5,5.7,13.2,7.4,4.4,7.5,46,4,4.1,6.3,7.1,0.2,5.3,5,11.5,23.9,9.9,5.4,6,13.5,7.5
"일본",10.7,69.1,9.3,13.8,31.1,5.4,19,14.1,0,2.9,5.7,1,0.7,2.2,0.8,5.4,9,8.9,0,0.1,0,1.2,10.8,65.7,9.4,14.3,32.3,5.9,20.6,14.6,0,3.1,5.7,1,0.8,2.2,0.9,5.4,9,8.7,0,0.1,0,1.2,10.6,63.4,9.4,14.4,33.5,6,23,15.1,0,3.1,5.6,1,0.7,2.3,0.9,5.4,9,7.7,0,0.1,0,1.2,13.2,95.1,10.5,14.7,37.5,7.8,26,15,0,3.9,5.6,1,0.7,2.1,0.9,5.4,9,10.3,0,0.1,0,1.2,11.7,102.3,10.7,15,35.5,7.8,23.7,14.7,0,3.7,5.7,1,0.7,2.1,0.9,5.3,9,10,0,0.1,0,1.2
"사우디아라비아",3.5,5,3.5,4.4,3.6,4.8,4,44.8,5,4.4,3.6,5.3,5.3,4.6,6.3,5.7,5.1,6,4.7,4.1,4.6,4.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,5,5.6,5.8,3.2,8.5,3.6,93.7,5,6.2,3.6,4.9,5,4.4,4.7,5,5,6.9,4.5,3.6,4.1,4.6,3.8,5,3.6,4.4,5.5,4.9,4.2,47.4,5,4.4,3.3,5.3,5.4,4.9,6.3,5.7,5.1,6,4.7,4.1,4.6,4.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"터키",103.7,136.1,33.9,32.5,40.6,13.9,86.4,37.1,0,11,34.2,3.1,2.2,4.7,0.9,6.5,11.5,4.1,1.8,2.7,4.3,2.6,103.7,135.9,34.1,37.6,40.5,14.2,93.4,37.1,0,10.9,34.2,3.1,2.4,4.6,1,6.5,11.5,4.1,1.8,2.6,4.3,2.6,104,135.6,33.9,37.6,40.2,14.8,93.3,37.6,0,10.8,34.5,3.2,2.4,4.7,0.9,6.5,11.5,4.1,1.8,2.7,4.7,2.6,100.5,136.3,33.2,37.9,35.1,14.3,94.2,37.9,0,10.8,34.5,3.2,2.4,4.7,0.9,6.5,11.5,4.1,1.8,2.7,4.7,2.6,101.1,131.6,33.8,32.8,36.8,13.5,94.6,37.6,0,11.1,40,3.1,3.2,4.7,0.9,6.5,11.5,4.1,1.9,2.8,4.7,2.8
