"날짜","종가","오픈","고가","저가","변동 %"
"2021년 06월 28일","0.001359","0.001364","0.001365","0.001360","-0.29%"
"2021년 06월 25일","0.001363","0.001362","0.001373","0.001362","0.15%"
"2021년 06월 24일","0.001361","0.001358","0.001375","0.001358","0.29%"
"2021년 06월 23일","0.001357","0.001349","0.001366","0.001348","0.67%"
"2021년 06월 22일","0.001348","0.001338","0.001353","0.001320","0.82%"
"2021년 06월 21일","0.001337","0.001336","0.001338","0.001335","0.15%"
"2021년 06월 18일","0.001335","0.001354","0.001358","0.001334","-1.33%"
"2021년 06월 17일","0.001353","0.001369","0.001369","0.001353","-1.10%"
"2021년 06월 16일","0.001368","0.001375","0.001381","0.001368","-0.44%"
"2021년 06월 15일","0.001374","0.001390","0.001390","0.001374","-1.08%"
"2021년 06월 14일","0.001389","0.001385","0.001397","0.001383","0.36%"
"2021년 06월 11일","0.001384","0.001389","0.001394","0.001382","-0.29%"
"2021년 06월 10일","0.001388","0.001389","0.001395","0.001383","0.00%"
"2021년 06월 09일","0.001388","0.001393","0.001399","0.001385","-0.22%"
"2021년 06월 08일","0.001391","0.001396","0.001401","0.001389","-0.29%"
"2021년 06월 07일","0.001395","0.001392","0.001400","0.001390","0.29%"
"2021년 06월 04일","0.001391","0.001391","0.001401","0.001389","0.07%"
"2021년 06월 03일","0.001390","0.001392","0.001395","0.001382","0.00%"
"2021년 06월 02일","0.001390","0.001373","0.001397","0.001369","1.31%"
"2021년 06월 01일","0.001372","0.001383","0.001393","0.001371","-0.72%"
"2021년 05월 31일","0.001382","0.001380","0.001388","0.001378","0.22%"
"2021년 05월 28일","0.001379","0.001380","0.001384","0.001373","0.00%"
"2021년 05월 27일","0.001379","0.001370","0.001380","0.001364","0.73%"
"2021년 05월 26일","0.001369","0.001363","0.001373","0.001357","0.51%"
"2021년 05월 25일","0.001362","0.001370","0.001370","0.001354","-0.51%"
"2021년 05월 24일","0.001369","0.001387","0.001390","0.001367","-1.23%"
"2021년 05월 21일","0.001386","0.001387","0.001393","0.001387","0.00%"
"2021년 05월 20일","0.001386","0.001398","0.001407","0.001385","-0.79%"
"2021년 05월 19일","0.001397","0.001404","0.001405","0.001389","-0.29%"
"2021년 05월 18일","0.001401","0.001398","0.001408","0.001396","0.36%"
"2021년 05월 17일","0.001396","0.001429","0.001435","0.001379","-2.24%"
