"날짜","종가","오픈","고가","저가","변동 %"
"2021년 06월 28일","0.1172","0.1176","0.1179","0.1170","-0.57%"
"2021년 06월 25일","0.1179","0.1176","0.1183","0.1172","0.19%"
"2021년 06월 24일","0.1176","0.1172","0.1178","0.1170","0.41%"
"2021년 06월 23일","0.1172","0.1170","0.1179","0.1167","0.04%"
"2021년 06월 22일","0.1171","0.1165","0.1176","0.1160","0.45%"
"2021년 06월 21일","0.1166","0.1153","0.1168","0.1147","1.07%"
"2021년 06월 18일","0.1154","0.1171","0.1177","0.1149","-1.35%"
"2021년 06월 17일","0.1169","0.1179","0.1183","0.1155","-0.82%"
"2021년 06월 16일","0.1179","0.1201","0.1204","0.1175","-1.79%"
"2021년 06월 15일","0.1201","0.1203","0.1206","0.1194","-0.17%"
"2021년 06월 14일","0.1203","0.1199","0.1204","0.1195","0.30%"
"2021년 06월 11일","0.1199","0.1208","0.1212","0.1196","-0.70%"
"2021년 06월 10일","0.1208","0.1208","0.1211","0.1198","0.00%"
"2021년 06월 09일","0.1208","0.1209","0.1214","0.1207","-0.10%"
"2021년 06월 08일","0.1209","0.1212","0.1214","0.1197","-0.09%"
"2021년 06월 07일","0.1210","0.1202","0.1212","0.1200","0.63%"
"2021년 06월 04일","0.1203","0.1195","0.1205","0.1190","0.78%"
"2021년 06월 03일","0.1193","0.1204","0.1206","0.1191","-0.96%"
"2021년 06월 02일","0.1205","0.1202","0.1206","0.1198","0.22%"
"2021년 06월 01일","0.1202","0.1201","0.1213","0.1199","0.12%"
"2021년 05월 31일","0.1201","0.1196","0.1205","0.1188","0.55%"
"2021년 05월 28일","0.1194","0.1197","0.1200","0.1191","-0.40%"
"2021년 05월 27일","0.1199","0.1194","0.1199","0.1191","0.37%"
"2021년 05월 26일","0.1195","0.1203","0.1208","0.1193","-0.71%"
"2021년 05월 25일","0.1203","0.1200","0.1207","0.1197","0.27%"
"2021년 05월 24일","0.1200","0.1193","0.1201","0.1190","0.65%"
"2021년 05월 21일","0.1192","0.1203","0.1206","0.1187","-0.96%"
"2021년 05월 20일","0.1204","0.1202","0.1208","0.1195","0.17%"
"2021년 05월 19일","0.1202","0.1218","0.1219","0.1196","-1.11%"
"2021년 05월 18일","0.1215","0.1216","0.1223","0.1208","0.47%"
"2021년 05월 17일","0.1209","0.1216","0.1217","0.1204","-0.45%"
"2021년 05월 14일","0.1215","0.1197","0.1217","0.1188","1.55%"
"2021년 05월 13일","0.1196","0.1199","0.1201","0.1187","-0.16%"
"2021년 05월 12일","0.1198","0.1211","0.1213","0.1198","-0.97%"
"2021년 05월 11일","0.1210","0.1210","0.1215","0.1206","0.12%"
"2021년 05월 10일","0.1209","0.1215","0.1221","0.1207","-0.61%"
"2021년 05월 07일","0.1216","0.1203","0.1219","0.1201","0.96%"
"2021년 05월 06일","0.1204","0.1198","0.1205","0.1195","0.63%"
"2021년 05월 05일","0.1197","0.1199","0.1205","0.1195","-0.22%"
"2021년 05월 04일","0.1199","0.1206","0.1208","0.1196","-0.65%"
"2021년 05월 03일","0.1207","0.1203","0.1209","0.1198","0.42%"
"2021년 04월 30일","0.1202","0.1220","0.1223","0.1199","-1.40%"
"2021년 04월 29일","0.1219","0.1221","0.1227","0.1211","-0.18%"
"2021년 04월 28일","0.1222","0.1209","0.1225","0.1204","1.09%"
"2021년 04월 27일","0.1208","0.1206","0.1209","0.1200","0.24%"
"2021년 04월 26일","0.1205","0.1204","0.1209","0.1200","0.14%"
"2021년 04월 23일","0.1204","0.1195","0.1207","0.1192","0.72%"
"2021년 04월 22일","0.1195","0.1199","0.1203","0.1191","-0.32%"
"2021년 04월 21일","0.1199","0.1198","0.1200","0.1191","0.23%"
"2021년 04월 20일","0.1196","0.1205","0.1213","0.1195","-0.78%"
"2021년 04월 19일","0.1206","0.1195","0.1208","0.1188","0.94%"
"2021년 04월 16일","0.1194","0.1191","0.1197","0.1181","0.10%"
"2021년 04월 15일","0.1193","0.1192","0.1197","0.1182","0.11%"
"2021년 04월 14일","0.1192","0.1180","0.1194","0.1173","0.99%"
"2021년 04월 13일","0.1180","0.1178","0.1181","0.1167","0.18%"
"2021년 04월 12일","0.1178","0.1178","0.1180","0.1171","0.00%"
"2021년 04월 09일","0.1178","0.1181","0.1184","0.1171","-0.36%"
"2021년 04월 08일","0.1182","0.1181","0.1184","0.1172","0.08%"
"2021년 04월 07일","0.1181","0.1178","0.1185","0.1172","0.24%"
"2021년 04월 06일","0.1178","0.1176","0.1180","0.1169","0.23%"
"2021년 04월 05일","0.1176","0.1172","0.1178","0.1169","0.32%"
"2021년 04월 02일","0.1172","0.1173","0.1175","0.1164","-0.08%"
"2021년 04월 01일","0.1173","0.1171","0.1174","0.1164","0.28%"
"2021년 03월 31일","0.1169","0.1169","0.1176","0.1158","0.05%"
"2021년 03월 30일","0.1169","0.1171","0.1172","0.1161","-0.14%"
"2021년 03월 29일","0.1170","0.1166","0.1174","0.1160","0.42%"
"2021년 03월 26일","0.1165","0.1155","0.1168","0.1152","0.82%"
"2021년 03월 25일","0.1156","0.1165","0.1166","0.1154","-0.57%"
"2021년 03월 24일","0.1163","0.1157","0.1169","0.1152","0.47%"
"2021년 03월 23일","0.1157","0.1176","0.1178","0.1156","-1.54%"
"2021년 03월 22일","0.1175","0.1170","0.1180","0.1163","0.37%"
"2021년 03월 19일","0.1171","0.1174","0.1180","0.1161","-0.31%"
"2021년 03월 18일","0.1174","0.1188","0.1192","0.1172","-1.14%"
"2021년 03월 17일","0.1188","0.1178","0.1190","0.1172","0.80%"
"2021년 03월 16일","0.1179","0.1183","0.1185","0.1175","-0.39%"
