"날짜","종가","오픈","고가","저가","변동 %"
"2021년 06월 28일","0.0313","0.0314","0.0315","0.0313","-0.28%"
"2021년 06월 25일","0.0314","0.0313","0.0315","0.0313","0.22%"
"2021년 06월 24일","0.0313","0.0314","0.0314","0.0313","-0.22%"
"2021년 06월 23일","0.0314","0.0315","0.0316","0.0313","-0.35%"
"2021년 06월 22일","0.0315","0.0316","0.0316","0.0315","-0.41%"
"2021년 06월 21일","0.0316","0.0318","0.0318","0.0316","-0.41%"
"2021년 06월 18일","0.0318","0.0318","0.0319","0.0317","-0.16%"
"2021년 06월 17일","0.0318","0.0320","0.0320","0.0318","-0.38%"
"2021년 06월 16일","0.0319","0.0321","0.0321","0.0319","-0.45%"
"2021년 06월 15일","0.0321","0.0321","0.0322","0.0321","0.00%"
"2021년 06월 14일","0.0321","0.0322","0.0322","0.0321","0.00%"
"2021년 06월 11일","0.0322","0.0321","0.0322","0.0321","0.22%"
"2021년 06월 10일","0.0321","0.0321","0.0321","0.0321","0.00%"
"2021년 06월 09일","0.0321","0.0320","0.0321","0.0320","0.16%"
"2021년 06월 08일","0.0320","0.0321","0.0321","0.0320","0.00%"
"2021년 06월 07일","0.0321","0.0321","0.0321","0.0320","-0.16%"
"2021년 06월 04일","0.0321","0.0320","0.0321","0.0319","0.22%"
"2021년 06월 03일","0.0320","0.0321","0.0321","0.0320","-0.32%"
"2021년 06월 02일","0.0321","0.0321","0.0321","0.0321","0.19%"
"2021년 06월 01일","0.0321","0.0320","0.0321","0.0320","0.00%"
"2021년 05월 31일","0.0320","0.0320","0.0321","0.0319","0.23%"
"2021년 05월 28일","0.0320","0.0319","0.0320","0.0319","0.00%"
"2021년 05월 27일","0.0319","0.0320","0.0320","0.0319","-0.16%"
"2021년 05월 26일","0.0320","0.0319","0.0320","0.0319","0.32%"
"2021년 05월 25일","0.0319","0.0319","0.0319","0.0318","0.00%"
"2021년 05월 24일","0.0319","0.0319","0.0319","0.0318","0.00%"
"2021년 05월 21일","0.0319","0.0319","0.0319","0.0318","0.00%"
"2021년 05월 20일","0.0319","0.0318","0.0319","0.0318","0.16%"
"2021년 05월 19일","0.0318","0.0318","0.0319","0.0318","0.00%"
"2021년 05월 18일","0.0318","0.0317","0.0318","0.0317","0.26%"
"2021년 05월 17일","0.0317","0.0319","0.0319","0.0317","-0.38%"
"2021년 05월 14일","0.0319","0.0319","0.0319","0.0318","0.00%"
"2021년 05월 13일","0.0319","0.0319","0.0320","0.0318","-0.16%"
"2021년 05월 12일","0.0319","0.0321","0.0321","0.0319","-0.41%"
"2021년 05월 11일","0.0321","0.0321","0.0322","0.0320","-0.19%"
"2021년 05월 10일","0.0321","0.0322","0.0322","0.0321","-0.19%"
"2021년 05월 07일","0.0322","0.0320","0.0322","0.0320","0.61%"
"2021년 05월 06일","0.0320","0.0321","0.0321","0.0319","-0.32%"
"2021년 05월 05일","0.0321","0.0321","0.0322","0.0320","0.16%"
"2021년 05월 04일","0.0321","0.0321","0.0321","0.0320","-0.19%"
"2021년 05월 03일","0.0321","0.0321","0.0321","0.0320","0.00%"
"2021년 04월 30일","0.0321","0.0321","0.0321","0.0320","0.00%"
"2021년 04월 29일","0.0321","0.0319","0.0321","0.0319","0.61%"
"2021년 04월 28일","0.0319","0.0319","0.0319","0.0318","0.00%"
"2021년 04월 27일","0.0319","0.0318","0.0319","0.0317","0.19%"
"2021년 04월 26일","0.0318","0.0318","0.0319","0.0317","0.00%"
"2021년 04월 23일","0.0318","0.0318","0.0319","0.0318","0.00%"
"2021년 04월 22일","0.0318","0.0319","0.0320","0.0318","-0.19%"
"2021년 04월 21일","0.0319","0.0320","0.0320","0.0319","-0.19%"
"2021년 04월 20일","0.0320","0.0320","0.0321","0.0319","-0.16%"
"2021년 04월 19일","0.0320","0.0320","0.0321","0.0319","0.00%"
"2021년 04월 16일","0.0320","0.0321","0.0321","0.0319","-0.16%"
"2021년 04월 15일","0.0321","0.0319","0.0321","0.0319","0.45%"
"2021년 04월 14일","0.0319","0.0317","0.0319","0.0317","0.67%"
"2021년 04월 13일","0.0317","0.0317","0.0318","0.0316","0.00%"
"2021년 04월 12일","0.0317","0.0318","0.0318","0.0317","0.00%"
"2021년 04월 09일","0.0318","0.0318","0.0319","0.0317","-0.16%"
"2021년 04월 08일","0.0318","0.0319","0.0319","0.0318","0.00%"
"2021년 04월 07일","0.0319","0.0319","0.0320","0.0318","-0.23%"
"2021년 04월 06일","0.0319","0.0319","0.0319","0.0318","0.16%"
"2021년 04월 05일","0.0319","0.0319","0.0319","0.0318","0.00%"
"2021년 04월 02일","0.0319","0.0320","0.0321","0.0319","-0.26%"
"2021년 04월 01일","0.0320","0.0320","0.0321","0.0319","0.00%"
"2021년 03월 31일","0.0320","0.0319","0.0320","0.0318","0.19%"
"2021년 03월 30일","0.0319","0.0320","0.0321","0.0319","-0.35%"
"2021년 03월 29일","0.0320","0.0321","0.0321","0.0320","-0.32%"
"2021년 03월 26일","0.0321","0.0321","0.0322","0.0320","0.19%"
"2021년 03월 25일","0.0321","0.0322","0.0322","0.0321","-0.51%"
"2021년 03월 24일","0.0322","0.0322","0.0323","0.0322","0.00%"
"2021년 03월 23일","0.0322","0.0324","0.0324","0.0322","-0.42%"
"2021년 03월 22일","0.0324","0.0324","0.0324","0.0323","-0.16%"
"2021년 03월 19일","0.0324","0.0324","0.0325","0.0323","0.23%"
"2021년 03월 18일","0.0324","0.0326","0.0326","0.0323","-0.62%"
"2021년 03월 17일","0.0326","0.0325","0.0326","0.0324","0.20%"
"2021년 03월 16일","0.0325","0.0325","0.0326","0.0325","0.00%"
"2021년 03월 15일","0.0325","0.0325","0.0326","0.0325","-0.20%"
"2021년 03월 12일","0.0326","0.0327","0.0328","0.0325","-0.42%"
"2021년 03월 11일","0.0327","0.0326","0.0327","0.0325","0.46%"
"2021년 03월 10일","0.0326","0.0325","0.0326","0.0325","0.00%"
