,날짜,종가
1045,2015-12-28,0.1541
1040,2016-01-04,0.153
1035,2016-01-11,0.1522
1030,2016-01-18,0.152
1025,2016-01-25,0.152
1020,2016-02-01,0.152
1015,2016-02-08,0.1521
1010,2016-02-15,0.1539
1005,2016-02-22,0.1533
1000,2016-02-29,0.1525
995,2016-03-07,0.1535
990,2016-03-14,0.1538
985,2016-03-21,0.1542
980,2016-03-28,0.1537
975,2016-04-04,0.1543
970,2016-04-11,0.1548
965,2016-04-18,0.1545
960,2016-04-25,0.154
955,2016-05-02,0.1545
950,2016-05-09,0.1535
945,2016-05-16,0.1533
940,2016-05-23,0.1525
935,2016-05-30,0.1519
930,2016-06-06,0.1524
925,2016-06-13,0.1519
920,2016-06-20,0.152
915,2016-06-27,0.1504
910,2016-07-04,0.15
905,2016-07-11,0.1494
900,2016-07-18,0.1492
895,2016-07-25,0.1497
890,2016-08-01,0.1505
885,2016-08-08,0.1502
880,2016-08-15,0.1507
875,2016-08-22,0.1504
870,2016-08-29,0.1497
865,2016-09-05,0.1497
860,2016-09-12,0.1497
855,2016-09-19,0.1499
850,2016-09-26,0.1499
845,2016-10-03,0.1499
840,2016-10-10,0.149
835,2016-10-17,0.1484
830,2016-10-24,0.1475
825,2016-10-31,0.1475
820,2016-11-07,0.1475
815,2016-11-14,0.1461
810,2016-11-21,0.1451
805,2016-11-28,0.1447
800,2016-12-05,0.1454
795,2016-12-12,0.1447
790,2016-12-19,0.1438
785,2016-12-26,0.1439
780,2017-01-02,0.1439
775,2017-01-09,0.1442
770,2017-01-16,0.1449
765,2017-01-23,0.1459
760,2017-01-30,0.1453
755,2017-02-06,0.1457
750,2017-02-13,0.1453
745,2017-02-20,0.1454
740,2017-02-27,0.1456
735,2017-03-06,0.1449
730,2017-03-13,0.1447
725,2017-03-20,0.1447
720,2017-03-27,0.1455
715,2017-04-03,0.1452
710,2017-04-10,0.1449
705,2017-04-17,0.1453
700,2017-04-24,0.1452
695,2017-05-01,0.1451
690,2017-05-08,0.1448
685,2017-05-15,0.1451
680,2017-05-22,0.1452
675,2017-05-29,0.1459
670,2017-06-05,0.147
665,2017-06-12,0.1471
660,2017-06-19,0.1467
655,2017-06-26,0.1462
650,2017-07-03,0.147
645,2017-07-10,0.147
640,2017-07-17,0.1477
635,2017-07-24,0.1482
630,2017-07-31,0.1487
625,2017-08-07,0.1488
620,2017-08-14,0.1499
615,2017-08-21,0.15
610,2017-08-28,0.1513
605,2017-09-04,0.1531
600,2017-09-11,0.1531
595,2017-09-18,0.1521
590,2017-09-25,0.151
585,2017-10-02,0.1503
580,2017-10-09,0.151
575,2017-10-16,0.1517
570,2017-10-23,0.1506
565,2017-10-30,0.1505
560,2017-11-06,0.1507
555,2017-11-13,0.1505
550,2017-11-20,0.1507
545,2017-11-27,0.1516
540,2017-12-04,0.151
535,2017-12-11,0.1511
530,2017-12-18,0.1512
525,2017-12-25,0.153
520,2018-01-01,0.1537
515,2018-01-08,0.1538
510,2018-01-15,0.1553
505,2018-01-22,0.1562
500,2018-01-29,0.1578
495,2018-02-05,0.159
490,2018-02-12,0.158
485,2018-02-19,0.1575
480,2018-02-26,0.1583
475,2018-03-05,0.1575
470,2018-03-12,0.158
465,2018-03-19,0.1579
460,2018-03-26,0.1594
455,2018-04-02,0.1593
450,2018-04-09,0.1585
445,2018-04-16,0.1593
440,2018-04-23,0.1583
435,2018-04-30,0.1579
430,2018-05-07,0.157
425,2018-05-14,0.1578
420,2018-05-21,0.1567
415,2018-05-28,0.1562
410,2018-06-04,0.156
405,2018-06-11,0.1562
400,2018-06-18,0.1553
395,2018-06-25,0.1529
390,2018-07-02,0.15
385,2018-07-09,0.1512
380,2018-07-16,0.1495
375,2018-07-23,0.1472
370,2018-07-30,0.1467
365,2018-08-06,0.1459
360,2018-08-13,0.1451
355,2018-08-20,0.1459
350,2018-08-27,0.1467
345,2018-09-03,0.1466
340,2018-09-10,0.1459
335,2018-09-17,0.1459
330,2018-09-24,0.1459
325,2018-10-01,0.1456
320,2018-10-08,0.1442
315,2018-10-15,0.1446
310,2018-10-22,0.1439
305,2018-10-29,0.1436
300,2018-11-05,0.1444
295,2018-11-12,0.1436
290,2018-11-19,0.1441
285,2018-11-26,0.1441
280,2018-12-03,0.1453
275,2018-12-10,0.1447
270,2018-12-17,0.145
265,2018-12-24,0.1449
260,2018-12-31,0.1454
255,2019-01-07,0.1459
250,2019-01-14,0.1477
245,2019-01-21,0.1471
240,2019-01-28,0.1482
235,2019-02-04,0.1482
230,2019-02-11,0.1472
225,2019-02-18,0.1478
220,2019-02-25,0.1494
215,2019-03-04,0.149
210,2019-03-11,0.1486
205,2019-03-18,0.1489
200,2019-03-25,0.149
195,2019-04-01,0.149
190,2019-04-08,0.1489
185,2019-04-15,0.149
180,2019-04-22,0.149
175,2019-04-29,0.1485
170,2019-05-06,0.1477
165,2019-05-13,0.1453
160,2019-05-20,0.1446
155,2019-05-27,0.145
150,2019-06-03,0.1448
145,2019-06-10,0.1443
140,2019-06-17,0.1444
135,2019-06-24,0.1453
130,2019-07-01,0.1459
125,2019-07-08,0.1453
120,2019-07-15,0.1454
115,2019-07-22,0.1453
110,2019-07-29,0.1451
105,2019-08-05,0.1417
100,2019-08-12,0.1417
95,2019-08-19,0.1418
90,2019-08-26,0.1398
85,2019-09-02,0.1394
80,2019-09-09,0.1404
75,2019-09-16,0.1415
70,2019-09-23,0.1404
65,2019-09-30,0.1399
60,2019-10-07,0.1399
55,2019-10-14,0.1414
50,2019-10-21,0.1413
45,2019-10-28,0.1415
40,2019-11-04,0.1422
35,2019-11-11,0.1426
30,2019-11-18,0.1423
25,2019-11-25,0.1421
20,2019-12-02,0.142
15,2019-12-09,0.1421
10,2019-12-16,0.143
5,2019-12-23,0.1426
0,2019-12-30,0.1431
