,날짜,종가
1045,2015-12-28,0.1149
1040,2016-01-04,0.1126
1035,2016-01-11,0.1119
1030,2016-01-18,0.1124
1025,2016-01-25,0.1142
1020,2016-02-01,0.1151
1015,2016-02-08,0.1164
1010,2016-02-15,0.116
1005,2016-02-22,0.1163
1000,2016-02-29,0.115
995,2016-03-07,0.1176
990,2016-03-14,0.1181
985,2016-03-21,0.1188
980,2016-03-28,0.1186
975,2016-04-04,0.12
970,2016-04-11,0.1219
965,2016-04-18,0.1217
960,2016-04-25,0.1218
955,2016-05-02,0.1248
950,2016-05-09,0.1216
945,2016-05-16,0.1224
940,2016-05-23,0.1198
935,2016-05-30,0.1198
930,2016-06-06,0.1224
925,2016-06-13,0.121
920,2016-06-20,0.1208
915,2016-06-27,0.1166
910,2016-07-04,0.1206
905,2016-07-11,0.1176
900,2016-07-18,0.1184
895,2016-07-25,0.1167
890,2016-08-01,0.1177
885,2016-08-08,0.1181
880,2016-08-15,0.1217
875,2016-08-22,0.1219
870,2016-08-29,0.1208
865,2016-09-05,0.1204
860,2016-09-12,0.1214
855,2016-09-19,0.1206
850,2016-09-26,0.1233
845,2016-10-03,0.1253
840,2016-10-10,0.1237
835,2016-10-17,0.1222
830,2016-10-24,0.1211
825,2016-10-31,0.1211
820,2016-11-07,0.1215
815,2016-11-14,0.118
810,2016-11-21,0.1171
805,2016-11-28,0.1171
800,2016-12-05,0.1195
795,2016-12-12,0.1185
790,2016-12-19,0.1152
785,2016-12-26,0.115
780,2017-01-02,0.1155
775,2017-01-09,0.1171
770,2017-01-16,0.1172
765,2017-01-23,0.1198
760,2017-01-30,0.1203
755,2017-02-06,0.1212
750,2017-02-13,0.1192
745,2017-02-20,0.12
740,2017-02-27,0.1195
735,2017-03-06,0.1178
730,2017-03-13,0.1168
725,2017-03-20,0.118
720,2017-03-27,0.1178
715,2017-04-03,0.1166
710,2017-04-10,0.1159
705,2017-04-17,0.1168
700,2017-04-24,0.117
695,2017-05-01,0.1163
690,2017-05-08,0.1157
685,2017-05-15,0.1169
680,2017-05-22,0.12
675,2017-05-29,0.1189
670,2017-06-05,0.1183
665,2017-06-12,0.118
660,2017-06-19,0.1176
655,2017-06-26,0.1179
650,2017-07-03,0.1195
645,2017-07-10,0.1201
640,2017-07-17,0.1226
635,2017-07-24,0.1249
630,2017-07-31,0.1272
625,2017-08-07,0.1262
620,2017-08-14,0.1258
615,2017-08-21,0.1267
610,2017-08-28,0.129
605,2017-09-04,0.128
600,2017-09-11,0.1275
595,2017-09-18,0.1277
590,2017-09-25,0.1279
585,2017-10-02,0.125
580,2017-10-09,0.1253
575,2017-10-16,0.1266
570,2017-10-23,0.125
565,2017-10-30,0.1227
560,2017-11-06,0.123
555,2017-11-13,0.1225
550,2017-11-20,0.1206
545,2017-11-27,0.1227
540,2017-12-04,0.1202
535,2017-12-11,0.1193
530,2017-12-18,0.1196
525,2017-12-25,0.1203
520,2018-01-01,0.122
515,2018-01-08,0.1238
510,2018-01-15,0.1269
505,2018-01-22,0.1273
500,2018-01-29,0.1296
495,2018-02-05,0.1276
490,2018-02-12,0.1263
485,2018-02-19,0.1285
480,2018-02-26,0.1278
475,2018-03-05,0.1279
470,2018-03-12,0.1291
465,2018-03-19,0.1295
460,2018-03-26,0.1302
455,2018-04-02,0.1268
450,2018-04-09,0.1285
445,2018-04-16,0.1286
440,2018-04-23,0.1268
435,2018-04-30,0.1247
430,2018-05-07,0.1239
425,2018-05-14,0.1245
420,2018-05-21,0.1242
415,2018-05-28,0.1221
410,2018-06-04,0.1231
405,2018-06-11,0.1244
400,2018-06-18,0.1231
395,2018-06-25,0.1234
390,2018-07-02,0.1224
385,2018-07-09,0.1246
380,2018-07-16,0.1235
375,2018-07-23,0.122
370,2018-07-30,0.123
365,2018-08-06,0.1212
360,2018-08-13,0.1196
355,2018-08-20,0.1184
350,2018-08-27,0.1202
345,2018-09-03,0.1197
340,2018-09-10,0.1192
335,2018-09-17,0.1224
330,2018-09-24,0.1229
325,2018-10-01,0.1227
320,2018-10-08,0.1208
315,2018-10-15,0.1226
310,2018-10-22,0.1211
305,2018-10-29,0.1192
300,2018-11-05,0.1196
295,2018-11-12,0.1173
290,2018-11-19,0.1179
285,2018-11-26,0.1165
280,2018-12-03,0.1172
275,2018-12-10,0.1168
270,2018-12-17,0.1157
265,2018-12-24,0.1143
260,2018-12-31,0.1158
255,2019-01-07,0.1172
250,2019-01-14,0.117
245,2019-01-21,0.1168
240,2019-01-28,0.1175
235,2019-02-04,0.1182
230,2019-02-11,0.1147
225,2019-02-18,0.1162
220,2019-02-25,0.1163
215,2019-03-04,0.1156
210,2019-03-11,0.1154
205,2019-03-18,0.117
200,2019-03-25,0.1171
195,2019-04-01,0.1165
190,2019-04-08,0.117
185,2019-04-15,0.1177
180,2019-04-22,0.1176
175,2019-04-29,0.1155
170,2019-05-06,0.1147
165,2019-05-13,0.1141
160,2019-05-20,0.1137
155,2019-05-27,0.1148
150,2019-06-03,0.1148
145,2019-06-10,0.1155
140,2019-06-17,0.1145
135,2019-06-24,0.1179
130,2019-07-01,0.1165
125,2019-07-08,0.1157
120,2019-07-15,0.1171
115,2019-07-22,0.1162
110,2019-07-29,0.115
105,2019-08-05,0.112
100,2019-08-12,0.1121
95,2019-08-19,0.1114
90,2019-08-26,0.1111
85,2019-09-02,0.1099
80,2019-09-09,0.112
75,2019-09-16,0.1116
70,2019-09-23,0.1105
65,2019-09-30,0.1099
60,2019-10-07,0.1093
55,2019-10-14,0.1098
50,2019-10-21,0.1094
45,2019-10-28,0.1084
40,2019-11-04,0.1094
35,2019-11-11,0.1095
30,2019-11-18,0.1097
25,2019-11-25,0.1089
20,2019-12-02,0.1091
15,2019-12-09,0.1093
10,2019-12-16,0.111
5,2019-12-23,0.1116
0,2019-12-30,0.1134
