,날짜,종가
1435,2015-12-28,0.0277
1430,2016-01-04,0.0277
1425,2016-01-11,0.0276
1420,2016-01-18,0.0275
1415,2016-01-25,0.0278
1410,2016-02-01,0.0281
1405,2016-02-08,0.0282
1400,2016-02-15,0.0281
1395,2016-02-22,0.028
1390,2016-02-29,0.0281
1385,2016-03-07,0.0282
1380,2016-03-14,0.0285
1375,2016-03-21,0.0286
1370,2016-03-28,0.0283
1365,2016-04-04,0.0284
1360,2016-04-11,0.0286
1355,2016-04-18,0.0286
1350,2016-04-25,0.0285
1345,2016-05-02,0.0287
1340,2016-05-09,0.0284
1335,2016-05-16,0.0282
1330,2016-05-23,0.028
1325,2016-05-30,0.0279
1320,2016-06-06,0.0284
1315,2016-06-13,0.0284
1310,2016-06-20,0.0284
1305,2016-06-27,0.0283
1300,2016-07-04,0.0285
1295,2016-07-11,0.0284
1290,2016-07-18,0.0286
1285,2016-07-25,0.0285
1280,2016-08-01,0.0288
1275,2016-08-08,0.0286
1270,2016-08-15,0.0289
1265,2016-08-22,0.0289
1260,2016-08-29,0.0289
1255,2016-09-05,0.0288
1250,2016-09-12,0.0287
1245,2016-09-19,0.0287
1240,2016-09-26,0.0289
1235,2016-10-03,0.0289
1230,2016-10-10,0.0285
1225,2016-10-17,0.0284
1220,2016-10-24,0.0285
1215,2016-10-31,0.0285
1210,2016-11-07,0.0286
1205,2016-11-14,0.0282
1200,2016-11-21,0.0282
1195,2016-11-28,0.0281
1190,2016-12-05,0.0281
1185,2016-12-12,0.0281
1180,2016-12-19,0.0279
1175,2016-12-26,0.0279
1170,2017-01-02,0.0279
1165,2017-01-09,0.028
1160,2017-01-16,0.0282
1155,2017-01-23,0.0284
1150,2017-01-30,0.0284
1145,2017-02-06,0.0286
1140,2017-02-13,0.0285
1135,2017-02-20,0.0285
1130,2017-02-27,0.0287
1125,2017-03-06,0.0285
1120,2017-03-13,0.0283
1115,2017-03-20,0.0289
1110,2017-03-27,0.0291
1105,2017-04-03,0.0291
1100,2017-04-10,0.0289
1095,2017-04-17,0.0292
1090,2017-04-24,0.0291
1085,2017-05-01,0.0289
1080,2017-05-08,0.0289
1075,2017-05-15,0.029
1070,2017-05-22,0.0291
1065,2017-05-29,0.0293
1060,2017-06-05,0.0294
1055,2017-06-12,0.0294
1050,2017-06-19,0.0294
1045,2017-06-26,0.0295
1040,2017-07-03,0.0294
1035,2017-07-10,0.0293
1030,2017-07-17,0.0297
1025,2017-07-24,0.0299
1020,2017-07-31,0.03
1015,2017-08-07,0.0301
1010,2017-08-14,0.0301
1005,2017-08-21,0.0301
1000,2017-08-28,0.0301
995,2017-09-04,0.0301
990,2017-09-11,0.0302
985,2017-09-18,0.0302
980,2017-09-25,0.0302
975,2017-10-02,0.0299
970,2017-10-09,0.03
965,2017-10-16,0.0302
960,2017-10-23,0.0301
955,2017-10-30,0.0301
950,2017-11-06,0.0302
945,2017-11-13,0.0302
940,2017-11-20,0.0305
935,2017-11-27,0.0307
930,2017-12-04,0.0307
925,2017-12-11,0.0307
920,2017-12-18,0.0306
915,2017-12-25,0.0305
910,2018-01-01,0.0307
905,2018-01-08,0.031
900,2018-01-15,0.0313
895,2018-01-22,0.0314
890,2018-01-29,0.0318
885,2018-02-05,0.0316
880,2018-02-12,0.0316
875,2018-02-19,0.0319
870,2018-02-26,0.032
