,날짜,종가
1050,2018-02-19,4.371e-05
1044,2018-02-26,4.396e-05
1038,2018-03-05,4.394e-05
1032,2018-03-12,4.394e-05
1026,2018-03-19,4.396e-05
1020,2018-03-26,4.388e-05
1014,2018-04-02,4.381e-05
1008,2018-04-09,4.406e-05
1002,2018-04-16,4.39e-05
996,2018-04-23,4.392e-05
990,2018-04-30,4.393e-05
984,2018-05-07,4.392e-05
978,2018-05-14,4.392e-05
972,2018-05-21,4.391e-05
966,2018-05-28,4.383e-05
960,2018-06-04,4.373e-05
954,2018-06-11,4.383e-05
948,2018-06-18,4.379e-05
942,2018-06-25,4.367e-05
936,2018-07-02,4.356e-05
930,2018-07-09,4.34e-05
924,2018-07-16,4.339e-05
918,2018-07-23,4.338e-05
912,2018-07-30,4.3e-05
906,2018-08-06,4.29e-05
900,2018-08-13,4.289e-05
894,2018-08-20,4.297e-05
888,2018-08-27,4.293e-05
882,2018-09-03,4.291e-05
876,2018-09-10,4.291e-05
870,2018-09-17,4.293e-05
864,2018-09-24,4.281e-05
858,2018-10-01,4.286e-05
852,2018-10-08,4.282e-05
846,2018-10-15,4.286e-05
840,2018-10-22,4.283e-05
834,2018-10-29,4.283e-05
828,2018-11-05,4.285e-05
822,2018-11-12,4.291e-05
816,2018-11-19,4.29e-05
810,2018-11-26,4.284e-05
804,2018-12-03,4.291e-05
798,2018-12-10,4.291e-05
792,2018-12-17,4.288e-05
786,2018-12-24,4.294e-05
780,2018-12-31,4.311e-05
774,2019-01-07,4.311e-05
768,2019-01-14,4.31e-05
762,2019-01-21,4.311e-05
756,2019-01-28,4.311e-05
750,2019-02-04,4.309e-05
744,2019-02-11,4.308e-05
738,2019-02-18,4.31e-05
732,2019-02-25,4.307e-05
726,2019-03-04,4.31e-05
720,2019-03-11,4.311e-05
714,2019-03-18,4.31e-05
708,2019-03-25,4.31e-05
702,2019-04-01,4.31e-05
696,2019-04-08,4.31e-05
690,2019-04-15,4.31e-05
684,2019-04-22,4.307e-05
678,2019-04-29,4.294e-05
672,2019-05-06,4.295e-05
666,2019-05-13,4.287e-05
660,2019-05-20,4.272e-05
654,2019-05-27,4.276e-05
648,2019-06-03,4.275e-05
642,2019-06-10,4.28e-05
636,2019-06-17,4.283e-05
630,2019-06-24,4.294e-05
624,2019-07-01,4.299e-05
618,2019-07-08,4.302e-05
612,2019-07-15,4.31e-05
606,2019-07-22,4.303e-05
600,2019-07-29,4.308e-05
594,2019-08-05,4.298e-05
588,2019-08-12,4.311e-05
582,2019-08-19,4.309e-05
576,2019-08-26,4.311e-05
570,2019-09-02,4.313e-05
564,2019-09-09,4.31e-05
558,2019-09-16,4.307e-05
552,2019-09-23,4.31e-05
546,2019-09-30,4.31e-05
540,2019-10-07,4.31e-05
534,2019-10-14,4.309e-05
528,2019-10-21,4.309e-05
522,2019-10-28,4.31e-05
516,2019-11-04,4.31e-05
510,2019-11-11,4.31e-05
504,2019-11-18,4.309e-05
