,날짜,종가
0,2021-06-28,4.3440486533449174e-05
1,2021-06-25,4.343105320304018e-05
2,2021-06-24,4.347259053166978e-05
3,2021-06-23,4.3440486533449174e-05
4,2021-06-22,4.343105320304018e-05
5,2021-06-21,4.345181194055792e-05
6,2021-06-18,4.348771472059143e-05
7,2021-06-17,4.3554006968641115e-05
8,2021-06-16,4.3580580493332174e-05
9,2021-06-15,4.3578681309103584e-05
10,2021-06-14,4.3584379358437934e-05
11,2021-06-11,4.3582479843103074e-05
12,2021-06-10,4.3578681309103584e-05
13,2021-06-09,4.356349379220214e-05
14,2021-06-08,4.35691878703381e-05
15,2021-06-07,4.347826086956522e-05
16,2021-06-04,4.3395243881270614e-05
17,2021-06-03,4.34008940584176e-05
18,2021-06-02,4.340277777777778e-05
19,2021-06-01,4.3395243881270614e-05
20,2021-05-31,4.340277777777778e-05
21,2021-05-28,4.3393360815795186e-05
22,2021-05-27,4.3393360815795186e-05
23,2021-05-26,4.337453914552158e-05
24,2021-05-25,4.336231381306507e-05
25,2021-05-24,4.337265787647467e-05
26,2021-05-21,4.337642057777392e-05
27,2021-05-20,4.3393360815795186e-05
28,2021-05-19,4.3393360815795186e-05
29,2021-05-18,4.340277777777778e-05
30,2021-05-17,4.3391477913737744e-05
31,2021-05-14,4.338771259979174e-05
32,2021-05-13,4.340277777777778e-05
33,2021-05-12,4.337830217325294e-05
34,2021-05-11,4.337453914552158e-05
35,2021-05-10,4.336513443191674e-05
36,2021-05-07,4.336513443191674e-05
37,2021-05-06,4.3351974682446785e-05
38,2021-05-05,4.336513443191674e-05
39,2021-05-04,4.3383947939262474e-05
40,2021-04-29,4.337642057777392e-05
41,2021-04-28,4.3389595175077016e-05
42,2021-04-27,4.339901050256054e-05
43,2021-04-26,4.340277777777778e-05
44,2021-04-23,4.3346337234503684e-05
45,2021-04-22,4.3346337234503684e-05
46,2021-04-20,4.333882291756956e-05
47,2021-04-19,4.334070125254627e-05
48,2021-04-16,4.3351974682446785e-05
49,2021-04-15,4.334070125254627e-05
50,2021-04-14,4.333131120547708e-05
51,2021-04-13,4.334821622090251e-05
52,2021-04-12,4.3351974682446785e-05
53,2021-04-09,4.3355733795794494e-05
54,2021-04-08,4.331817197314273e-05
55,2021-04-07,4.3308791684711995e-05
56,2021-04-06,4.3308791684711995e-05
57,2021-04-05,4.3329433684301746e-05
58,2021-04-02,4.334070125254627e-05
59,2021-04-01,4.3355733795794494e-05
60,2021-03-31,4.333882291756956e-05
61,2021-03-30,4.3346337234503684e-05
62,2021-03-29,4.3346337234503684e-05
63,2021-03-26,4.332004851845434e-05
64,2021-03-25,4.332004851845434e-05
65,2021-03-24,4.3327556325823225e-05
66,2021-03-23,4.3346337234503684e-05
67,2021-03-22,4.3335066736002776e-05
68,2021-03-19,4.334070125254627e-05
69,2021-03-18,4.3355733795794494e-05
70,2021-03-17,4.3393360815795186e-05
71,2021-03-16,4.332380209687202e-05
72,2021-03-15,4.3325679130020364e-05
73,2021-03-12,4.337453914552158e-05
74,2021-03-11,4.3382065853975965e-05
75,2021-03-10,4.338018393197987e-05
76,2021-03-09,4.336513443191674e-05
77,2021-03-08,4.343105320304018e-05
78,2021-03-05,4.341596839317501e-05
79,2021-03-04,4.3442373691298495e-05
80,2021-03-03,4.3440486533449174e-05
81,2021-03-02,4.3436712709582136e-05
82,2021-03-01,4.3440486533449174e-05
83,2021-02-26,4.3449923962633065e-05
84,2021-02-25,4.343105320304018e-05
85,2021-02-24,4.3440486533449174e-05
86,2021-02-23,4.343105320304018e-05
87,2021-02-22,4.3440486533449174e-05
88,2021-02-19,4.344426101312017e-05
89,2021-02-18,4.3449923962633065e-05
90,2021-02-17,4.34593654932638e-05
91,2021-02-09,4.34593654932638e-05
92,2021-02-08,4.3535045711798e-05
93,2021-02-05,4.347826086956522e-05
94,2021-02-04,4.3449923962633065e-05
95,2021-02-03,4.3440486533449174e-05
96,2021-02-02,4.342728101793547e-05
97,2021-02-01,4.3393360815795186e-05
98,2021-01-29,4.338771259979174e-05
99,2021-01-28,4.336701504835422e-05
100,2021-01-27,4.334821622090251e-05
101,2021-01-26,4.334821622090251e-05
102,2021-01-25,4.336513443191674e-05
103,2021-01-22,4.3346337234503684e-05
104,2021-01-21,4.336513443191674e-05
105,2021-01-20,4.334257975034674e-05
106,2021-01-19,4.334821622090251e-05
107,2021-01-18,4.334821622090251e-05
108,2021-01-15,4.3355733795794494e-05
109,2021-01-14,4.3357613596947624e-05
110,2021-01-13,4.3357613596947624e-05
111,2021-01-12,4.3355733795794494e-05
112,2021-01-11,4.3383947939262474e-05
113,2021-01-08,4.335385415763461e-05
114,2021-01-07,4.333131120547708e-05
115,2021-01-06,4.3308791684711995e-05
116,2021-01-05,4.3327556325823225e-05
117,2021-01-04,4.3346337234503684e-05
118,2021-01-01,4.3327556325823225e-05
119,2020-12-31,4.3327556325823225e-05
120,2020-12-30,4.331254331254331e-05
121,2020-12-29,4.325259515570934e-05
122,2020-12-28,4.324324324324324e-05
123,2020-12-25,4.32338953739732e-05
124,2020-12-24,4.324324324324324e-05
125,2020-12-23,4.32338953739732e-05
126,2020-12-22,4.323950361049855e-05
127,2020-12-21,4.325259515570934e-05
128,2020-12-18,4.324511330219685e-05
129,2020-12-17,4.325259515570934e-05
130,2020-12-16,4.324137334601747e-05
131,2020-12-15,4.324137334601747e-05
132,2020-12-14,4.324137334601747e-05
133,2020-12-11,4.3237634036665516e-05
134,2020-12-10,4.3237634036665516e-05
135,2020-12-09,4.3237634036665516e-05
136,2020-12-08,4.3237634036665516e-05
137,2020-12-07,4.323950361049855e-05
138,2020-12-04,4.32338953739732e-05
