일자,풍속,강수량,기온
2021.1.4,10,0,18
2021.1.11,12,0,18.23
2021.1.18,7,0,19.54
2021.1.25,13,0,17.28
2021.2.1,3,0,8.07
2021.2.8,14,0,18.72
2021.2.15,6,0,12.43
2021.2.22,5,0,34.91
2021.3.1,13,0,36.87
2021.3.8,14,0,28.46
2021.3.15,16,0,34.89
2021.3.22,8,0,42.23
2021.3.29,20,0,42.96
2021.4.5,18,0,34.27
2021.4.12,15,0,32.67
2021.4.19,8,0,47.35
2021.4.26,13,0,39.02
2021.5.3,9,0,40.08
2021.5.10,20,0,45.67
2021.5.17,10,0,45.79
2021.5.24,14,0,48.21
2021.5.31,10,0,66.61
2021.6.7,17,0,63.79
2021.6.14,25,0,58.1
2021.6.21,18,0,54
2021.6.28,13,0,55
