시도별,지출목적별,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05,2021. 06
전국,0 총지수,100.22,100.39,100.82,100.56,100.75,100.81,100.79,100.6,100.86,101.46,101.6,101.45,101.56,102.64,102.92,102.85,102.72,102.83,102.61,102.78,103.37,103.49,103.39,102.62,102.99,103.42,104.21,104.1,104.29,104.34,104.13,103.93,104.85,105.65,105.46,104.71,104.35,104.24,104.69,104.49,104.87,105.05,104.88,104.56,104.81,105.2,105.46,104.87,105.12,105.79,105.8,105.54,104.95,104.71,104.87,104.86,105.5,106.2,105.61,105.5,105.67,106.47,107,107.16,107.39,107.46,107.39
전국,01 식료품 · 비주류음료,99.95,100.76,103.43,102.25,102.3,101.24,99.66,99.65,101.02,105.94,104.48,102.93,104.02,107.16,107.26,106.32,105.19,104.85,104.09,104.39,107.5,108.84,106.16,103.2,104.44,106,109.07,107.32,107.86,106.85,105.48,105.8,111.34,115.2,112.16,108.67,108.86,108.8,109.54,108.48,109.4,108.83,107.64,106.68,107.7,110.52,110.74,107.89,109.01,110.81,110.27,111.26,111.29,111.48,111.18,111.28,114.78,119.68,119.82,115.35,115.79,118.04,120.97,120.61,120.34,119.7,118.43
전국,02 주류 및 담배,100.31,100.49,100.65,100.67,100.73,100.74,100.58,100.54,100.8,100.62,100.71,100.87,100.85,101.29,102.04,102.11,102.3,102.12,102.31,102.38,102.45,102.49,102.36,102.32,102.29,102.48,102.58,102.39,102.52,102.37,102.34,102.54,102.52,102.45,102.44,102.65,102.39,102.57,102.6,102.26,102.66,103.12,103.31,103.33,103.38,103.6,103.67,103.4,103.45,103.51,103.56,103.37,103.35,103.44,103.44,103.45,103.44,103.39,103.52,103.45,103.38,103.58,103.54,103.43,103.87,103.9,103.97
전국,03 의류 및 신발,101.38,100.74,101.51,101.51,101.55,102.02,102.03,101.3,102.03,102.05,102.14,102.11,102.56,102.03,102.66,102.69,101.73,103.06,103.19,102.49,103.22,103.28,103.28,103.23,103.94,103.34,103.96,104.05,104.06,104.08,104.1,103.98,103.98,104.05,104.05,104.4,104.44,103.76,104.41,104.1,103.82,103.92,103.97,103.98,103.98,104.02,104.2,104.8,104.8,104.43,104.78,104.73,103.92,104.79,104.79,105.2,105.1,105.17,105.23,105.38,105.43,105.12,105.34,105.05,104.72,104.98,104.98
전국,04 주택 ·수도 · 전기 및 연료,100.75,99.97,100.29,99.55,99.6,99.34,99.49,97.35,97.48,97.53,99.83,100.4,99.41,99.71,100.28,100.62,100.71,101.06,101.15,101.15,101.28,101.32,101.56,100.69,100.88,101.06,101.63,101.8,101.78,101.76,101.68,100.08,100.33,102.04,102.32,102.24,102.22,101.96,103.15,103.01,102.76,102.84,102.9,101.47,101.55,103.18,103.34,103.33,103.5,103.43,104.09,104.11,103.95,103.57,103.67,101.18,101.53,103.23,103.54,103.46,103.58,103.6,104.18,104.48,104.44,104.71,104.88
전국,05 가정용품 및 가사 서비스,100.74,100.91,101.27,101.73,101.29,101.06,101.8,101.93,101.89,102.13,101.62,101.46,101.54,100.74,101.89,102.52,102.24,102.85,103.58,102.43,102.7,102.99,103.56,103.17,103.33,103.5,104.33,105.08,104.6,105.36,104.93,105.39,105.33,105.07,105.5,105.39,105.37,106.17,107.66,107.58,108.06,106.95,106.67,107.65,107.28,106.53,107.8,106.96,107.47,107.26,107.85,107.23,107.14,107.58,106.98,107.13,107.41,106.47,107.56,107.14,107.45,108.53,107.94,107.19,107.43,108.43,108.5
전국,06 보건,100,100.99,100.94,100.93,100.99,101.01,101.03,101.01,100.93,100.97,100.91,101.03,101.09,102.13,102.13,102.03,101.71,101.74,102.22,102.27,102.28,101.73,101.57,101.31,101.45,102.51,102.55,102.65,102.21,102.19,102.36,101.32,101.37,101.32,101.22,101.14,101.1,102.04,102.14,102.11,102.19,102.2,102.51,102.31,102.32,102.41,102.46,102.43,102.53,103.83,103.68,103.74,103.83,103.81,103.97,103.88,103.86,103.8,103.97,103.95,103.82,104.83,104.81,104.91,104.69,104.66,104.65
전국,07 교통,98.38,97.68,96.16,95.71,96.12,96.9,98.53,99.19,98.68,98.27,98.31,98.48,99.4,101.4,101.98,101.79,101.32,101.25,100.55,99.95,100.28,100.87,101.8,101.96,102.3,102.8,103.07,103,102.72,103.63,104.34,104.26,104.53,104.68,106.11,104.38,101.34,98.91,98.71,99.3,100.78,103.06,103.31,102.58,102.59,102.99,103.6,103.12,103.58,105.03,104.82,101.99,98.47,96,97.54,99.6,99.84,99.38,99.04,98.71,99.71,102.01,102.7,104.04,104.77,104.82,105.64
전국,08 통신,99.61,99.27,99.27,99.27,100.42,100.42,100.42,100.42,100.42,100.49,100.53,100.05,100.05,100.01,100.01,99.27,100.06,100.06,100.32,100.9,100.9,100.91,100.8,100.69,100.58,99.89,99.76,99.67,100.15,100.04,99.94,99.39,99.29,99.21,99.16,98.99,98.7,98.35,97.5,97.25,97.52,97.32,97.17,96.76,97.13,97.4,97.33,96.57,96.52,96.14,96.09,96.05,96.68,96.62,96.87,96.78,96.71,96.63,83.33,94.99,95.8,94.88,94.89,94.95,94.96,94.62,94.62
전국,09 오락 및 문화,99.82,100.08,100.77,100.35,100.72,102.4,101.55,103.75,104.43,103.16,102.3,101.4,101.22,102.8,101.91,101.57,103.15,102.07,100.08,103.21,103.33,101.83,102.82,99.96,100.02,100.45,101.87,101.56,103.14,103.33,101.41,103.05,103.81,103.93,103.48,101.81,100.87,101.58,102.44,101.7,102.74,102.32,101.29,102.81,103.65,102.54,102.9,101.2,100.52,101.82,100.56,100.34,100.22,100.65,100.37,101.77,102.78,101.76,102.34,100.67,100,101.04,99.88,99.8,101.38,101.67,101.19
전국,10 교육,100.44,100.86,101.09,101.42,101.54,101.67,101.69,101.74,101.78,101.91,101.95,101.97,102.01,102.3,102.46,102.71,102.8,102.83,102.86,102.87,102.91,102.94,102.95,102.98,103.01,103.4,103.69,103.99,104.2,104.24,104.26,104.28,104.38,104.46,104.52,104.52,104.57,105.04,105.15,105.19,105.25,105.34,105.39,105.39,105.42,103.58,103.72,103.77,103.83,104.08,104.26,104.26,102.69,102.44,102.36,102.44,102.48,101.35,101.44,101.56,100.91,101.1,101.26,101.45,101.6,101.66,101.69
전국,11 음식 및 숙박,101.06,101.4,101.67,101.98,102.26,102.4,102.5,102.74,102.91,102.92,103.02,103.07,103.27,103.75,104.02,104.31,104.49,104.8,104.87,105.2,105.5,105.36,105.57,105.67,106.07,106.55,106.94,107.29,107.7,108.07,108.17,108.52,108.76,108.58,108.74,108.96,109.35,109.7,109.89,109.63,109.8,110.01,110.11,110.35,110.64,110.09,110.27,110.29,110.45,110.97,110.93,110.82,110.9,110.86,110.95,111.13,111.35,111.25,111.51,111.41,111.67,111.96,112.26,112.42,112.93,113.11,113.37
전국,12 기타 상품 및 서비스,100.25,102.89,103.25,103.54,103.55,103.81,103.77,103.44,103.42,103.54,103.4,103.59,103.1,106.43,106.54,106.58,106.12,106.57,106.01,106.27,106.18,106.2,106.5,106.1,106.21,106.11,106.52,106.77,107.03,106.98,107.13,106.85,107.12,107.24,107.04,107.32,107.13,107.85,108.19,108.38,108.62,109,108.73,108.81,108.77,108.77,108.85,108.92,108.94,110.02,110.49,110.43,110.11,110.51,110.81,111.09,110.98,111.53,110.99,111.24,111.13,112.26,112.14,112.37,112.97,113.18,112.75
