,날짜,종가
1423,2015-12-28,4.438132433871826e-05
1418,2016-01-04,4.4474093840338e-05
1413,2016-01-11,4.4537478287979335e-05
1408,2016-01-18,4.464285714285714e-05
1403,2016-01-25,4.473272198613286e-05
1398,2016-02-01,4.490144133626689e-05
1393,2016-02-08,4.48913629017777e-05
1388,2016-02-15,4.470272686633885e-05
1383,2016-02-22,4.468874290566207e-05
1378,2016-02-29,4.473972664027023e-05
1373,2016-03-07,4.474673348845535e-05
1368,2016-03-14,4.4852100199591846e-05
1363,2016-03-21,4.48692062637412e-05
1358,2016-03-28,4.475975203097375e-05
1353,2016-04-04,4.478180067620519e-05
1348,2016-04-11,4.485310607759587e-05
1343,2016-04-18,4.476676515355e-05
1338,2016-04-25,4.48581361444432e-05
1333,2016-05-02,4.488531801247812e-05
1328,2016-05-09,4.488229617827248e-05
1323,2016-05-16,4.490144133626689e-05
1318,2016-05-23,4.4841038518452086e-05
1313,2016-05-30,4.460999710035019e-05
1308,2016-06-06,4.461099214846538e-05
1303,2016-06-13,4.46149727848666e-05
1298,2016-06-20,4.463488662738796e-05
1293,2016-06-27,4.475374253171921e-05
1288,2016-07-04,4.482797265493668e-05
1283,2016-07-11,4.485411200071767e-05
1278,2016-07-18,4.485914229319936e-05
1273,2016-07-25,4.4849082836256e-05
1268,2016-08-01,4.486216101029587e-05
1263,2016-08-08,4.486115472612265e-05
1258,2016-08-15,4.480086017651539e-05
1253,2016-08-22,4.4852100199591846e-05
1248,2016-08-29,4.48340021071981e-05
1243,2016-09-05,4.484003318162455e-05
1238,2016-09-12,4.488330341113106e-05
1233,2016-09-19,4.483199210956939e-05
1228,2016-09-26,4.479383636811575e-05
1223,2016-10-03,4.48340021071981e-05
1218,2016-10-10,4.484304932735426e-05
1213,2016-10-17,4.482495853691335e-05
1208,2016-10-24,4.4818931516672646e-05
1203,2016-10-31,4.4812906116961686e-05
1198,2016-11-07,4.478079799382025e-05
1193,2016-11-14,4.474873584821229e-05
1188,2016-11-21,4.4316419233325945e-05
1183,2016-11-28,4.4043162299053074e-05
1178,2016-12-05,4.402377283733216e-05
1173,2016-12-12,4.420377942314068e-05
1168,2016-12-19,4.393673110720563e-05
1163,2016-12-26,4.393094056143742e-05
1158,2017-01-02,4.391550656536824e-05
1153,2017-01-09,4.42820768294033e-05
1148,2017-01-16,4.430463869567144e-05
1143,2017-01-23,4.4340982152754686e-05
1138,2017-01-30,4.4262476485559366e-05
1133,2017-02-06,4.426737494466578e-05
1128,2017-02-13,4.410143329658214e-05
1123,2017-02-20,4.38298525125463e-05
1118,2017-02-27,4.389430251953297e-05
1113,2017-03-06,4.385003288752467e-05
1108,2017-03-13,4.385003288752467e-05
1103,2017-03-20,4.387408138642097e-05
1098,2017-03-27,4.390972161236498e-05
1093,2017-04-03,4.398504508467121e-05
1088,2017-04-10,4.408199250606127e-05
1083,2017-04-17,4.4004400440044006e-05
1078,2017-04-24,4.4014084507042256e-05
1073,2017-05-01,4.395604395604396e-05
1068,2017-05-08,4.399472063352398e-05
1063,2017-05-15,4.408976676513381e-05
1058,2017-05-22,4.402861860209136e-05
1053,2017-05-29,4.39734400422145e-05
1048,2017-06-05,4.402377283733216e-05
1043,2017-06-12,4.406742315743087e-05
1038,2017-06-19,4.402377283733216e-05
1033,2017-06-26,4.4004400440044006e-05
1028,2017-07-03,4.398407776384949e-05
1023,2017-07-10,4.4004400440044006e-05
1018,2017-07-17,4.399472063352398e-05
1013,2017-07-24,4.399472063352398e-05
1008,2017-07-31,4.400149605086573e-05
1003,2017-08-07,4.398504508467121e-05
998,2017-08-14,4.399956000439996e-05
993,2017-08-21,4.399956000439996e-05
988,2017-08-28,4.398504508467121e-05
983,2017-09-04,4.399472063352398e-05
978,2017-09-11,4.4014084507042256e-05
973,2017-09-18,4.4004400440044006e-05
968,2017-09-25,4.398504508467121e-05
963,2017-10-02,4.399956000439996e-05
958,2017-10-09,4.400343226771688e-05
953,2017-10-16,4.4018928139099815e-05
948,2017-10-23,4.40073052126653e-05
943,2017-10-30,4.403346543372963e-05
938,2017-11-06,4.402377283733216e-05
933,2017-11-13,4.403831333259936e-05
928,2017-11-20,4.403346543372963e-05
923,2017-11-27,4.4014084507042256e-05
918,2017-12-04,4.402474190495058e-05
913,2017-12-11,4.403346543372963e-05
908,2017-12-18,4.402474190495058e-05
903,2017-12-25,4.403152657302629e-05
898,2018-01-01,4.403346543372963e-05
893,2018-01-08,4.402861860209136e-05
888,2018-01-15,4.4034434928113786e-05
883,2018-01-22,4.403152657302629e-05
878,2018-01-29,4.403152657302629e-05
873,2018-02-05,4.403831333259936e-05
868,2018-02-12,4.404413222048493e-05
863,2018-02-19,4.403831333259936e-05
858,2018-02-26,4.397150646381145e-05
853,2018-03-05,4.392418685349087e-05
848,2018-03-12,4.393962695256717e-05
843,2018-03-19,4.392322220758115e-05
838,2018-03-26,4.383849896979528e-05
833,2018-04-02,4.387408138642097e-05
828,2018-04-09,4.387408138642097e-05
823,2018-04-16,4.39029744265174e-05
818,2018-04-23,4.391454230068287e-05
813,2018-04-30,4.3929975618863535e-05
808,2018-05-07,4.392032852405736e-05
803,2018-05-14,4.3922257604040845e-05
798,2018-05-21,4.391454230068287e-05
793,2018-05-28,4.383177365272086e-05
788,2018-06-04,4.3807771498663866e-05
783,2018-06-11,4.38298525125463e-05
778,2018-06-18,4.3790506218251886e-05
773,2018-06-25,4.367289005349929e-05
768,2018-07-02,4.3564442701866734e-05
763,2018-07-09,4.340466166066236e-05
758,2018-07-16,4.338300687620659e-05
753,2018-07-23,4.3057050592034446e-05
748,2018-07-30,4.299688272600237e-05
743,2018-08-06,4.2904644427759305e-05
738,2018-08-13,4.289084280506112e-05
733,2018-08-20,4.296824646586173e-05
728,2018-08-27,4.292950974499871e-05
723,2018-09-03,4.2911088225197394e-05
718,2018-09-10,4.291292966570828e-05
713,2018-09-17,4.29341175965481e-05
708,2018-09-24,4.284857314251435e-05
703,2018-10-01,4.286142900004286e-05
698,2018-10-08,4.282196766941441e-05
693,2018-10-15,4.285867352405443e-05
688,2018-10-22,4.282930380966657e-05
683,2018-10-29,4.283480756462702e-05
678,2018-11-05,4.289544235924933e-05
673,2018-11-12,4.29138504452312e-05
668,2018-11-19,4.289728245715634e-05
663,2018-11-26,4.284306584979221e-05
658,2018-12-03,4.291661302090039e-05
653,2018-12-10,4.290740581824423e-05
648,2018-12-17,4.288348556970711e-05
643,2018-12-24,4.295717169981528e-05
638,2018-12-31,4.311273981461522e-05
633,2019-01-07,4.3105306263201e-05
628,2019-01-14,4.3104377249509686e-05
623,2019-01-21,4.3106235316938593e-05
618,2019-01-28,4.311273981461522e-05
613,2019-02-04,4.308951847463105e-05
608,2019-02-11,4.308023694130317e-05
603,2019-02-18,4.310344827586207e-05
598,2019-02-25,4.307188697936857e-05
593,2019-03-04,4.310251934225556e-05
588,2019-03-11,4.3106235316938593e-05
583,2019-03-18,4.309601792794346e-05
578,2019-03-25,4.3104377249509686e-05
573,2019-04-01,4.310066159515549e-05
568,2019-04-08,4.3104377249509686e-05
563,2019-04-15,4.3104377249509686e-05
558,2019-04-22,4.306817692407081e-05
553,2019-04-29,4.293688278231e-05
548,2019-05-06,4.295255889869639e-05
543,2019-05-13,4.2865103519225e-05
538,2019-05-20,4.272134999465984e-05
533,2019-05-27,4.275696938600992e-05
528,2019-06-03,4.274508965782556e-05
523,2019-06-10,4.2799058420714746e-05
518,2019-06-17,4.282655246252677e-05
513,2019-06-24,4.2935039285560944e-05
508,2019-07-01,4.299226139294927e-05
503,2019-07-08,4.301722839997419e-05
498,2019-07-15,4.310066159515549e-05
493,2019-07-22,4.308116491469929e-05
488,2019-07-29,4.308487720809996e-05
483,2019-08-05,4.297563281619322e-05
478,2019-08-12,4.3106235316938593e-05
473,2019-08-19,4.309230371455658e-05
468,2019-08-26,4.3105306263201e-05
463,2019-09-02,4.312947468299836e-05
458,2019-09-09,4.310159044868756e-05
453,2019-09-16,4.306817692407081e-05
448,2019-09-23,4.309787527474896e-05
443,2019-09-30,4.310159044868756e-05
438,2019-10-07,4.310159044868756e-05
433,2019-10-14,4.309416074121957e-05
428,2019-10-21,4.308951847463105e-05
423,2019-10-28,4.309973278165675e-05
418,2019-11-04,4.310344827586207e-05
413,2019-11-11,4.309973278165675e-05
408,2019-11-18,4.309230371455658e-05
403,2019-11-25,4.3104377249509686e-05
398,2019-12-02,4.314715336655664e-05
393,2019-12-09,4.315646375935956e-05
388,2019-12-16,4.31452917700356e-05
383,2019-12-23,4.315087704157587e-05
378,2019-12-30,4.315460135936994e-05
373,2020-01-06,4.31462225482159e-05
368,2020-01-13,4.315180806075775e-05
363,2020-01-20,4.315925766076824e-05
358,2020-01-27,4.3158326320105305e-05
353,2020-02-03,4.299226139294927e-05
348,2020-02-10,4.29894890699224e-05
343,2020-02-17,4.3048709614929295e-05
338,2020-02-24,4.301352775447879e-05
333,2020-03-02,4.30274084591885e-05
