,지점,국가명,해안가여부
1,1373,노르웨이,1
2,1007,노르웨이,1
3,1233,노르웨이,0
4,1114,노르웨이,1
5,1098,노르웨이,1
6,1002,노르웨이,1
7,1317,노르웨이,1
8,1152,노르웨이,1
9,1028,노르웨이,1
10,1008,노르웨이,1
11,1415,노르웨이,1
12,1001,노르웨이,1
13,1212,노르웨이,1
14,1492,노르웨이,1
15,1384,노르웨이,1
16,1241,노르웨이,1
17,1403,노르웨이,
18,1065,노르웨이,1
19,1196,노르웨이,
20,1271,노르웨이,1
21,1026,노르웨이,1
22,1025,노르웨이,1
23,1465,노르웨이,1
24,1238,노르웨이,0
25,48914,베트남,0
26,48808,베트남,0
27,48870,베트남,1
28,48877,베트남,1
29,48845,베트남,1
30,48840,베트남,0
31,48887,베트남,1
32,48917,베트남,1
33,48820,베트남,0
34,57993,중국,0
35,59287,중국,1
36,57816,중국,0
37,59431,중국,0
38,58238,중국,0
39,58606,중국,0
40,54662,중국,1
41,56046,중국,
42,58666,중국,1
43,52836,중국,0
44,52418,중국,0
45,55591,중국,0
46,56079,중국,0
47,51777,중국,0
48,52323,중국,0
49,56985,중국,
50,52681,중국,0
51,52495,중국,
52,59211,중국,0
53,54511,중국,0
54,59316,중국,1
55,58362,중국,1
56,54342,중국,0
57,55472,중국,0
58,58027,중국,0
59,55228,중국,
60,52866,중국,0
61,54102,중국,0
62,59981,중국,
63,56571,중국,0
64,56106,중국,
65,56964,중국,0
66,51076,중국,0
67,59948,중국,0
68,53845,중국,0
69,53068,중국,0
70,52267,중국,
71,54292,중국,0
72,21463,중국,
73,57494,중국,
74,56187,중국,
75,52983,중국,0
76,56029,중국,0
77,51431,중국,0
78,57461,중국,0
79,53614,중국,0
80,57083,중국,0
81,52533,중국,0
82,57745,중국,0
83,54823,중국,0
84,57131,중국,0
85,54026,중국,0
86,57687,중국,0
87,54161,중국,0
88,58633,중국,
89,50745,중국,0
90,54857,중국,1
91,51709,중국,0
92,56137,중국,
93,51243,중국,0
94,51656,중국,0
95,51644,중국,0
96,56778,중국,0
97,57516,중국,
98,54218,중국,
99,58968,중국,1
100,53772,중국,0
101,51747,중국,0
102,56739,중국,0
103,54527,중국,1
104,50963,중국,0
105,56004,중국,
106,58847,중국,1
107,53336,중국,
108,52203,중국,0
109,59758,중국,1
110,50527,중국,0
111,57127,중국,0
112,51828,중국,0
113,53463,중국,0
114,85488,칠레,1
115,85782,칠레,0
116,85766,칠레,1
117,85874,칠레,0
118,85406,칠레,1
119,85442,칠레,1
120,85469,칠레,1
121,85418,칠레,1
122,85672,칠레,0
123,85864,칠레,
124,85682,칠레,1
125,85629,칠레,0
126,85577,칠레,0
127,85743,칠레,0
128,85574,칠레,0
129,85799,칠레,1
130,85934,칠레,1
131,85585,칠레,1
132,48431,태국,0
133,48400,태국,0
134,48453,태국,1
135,48455,태국,0
136,48568,태국,1
137,48462,태국,0
138,48354,태국,0
139,48407,태국,0
140,48480,태국,0
141,48517,태국,1
142,48303,태국,0
143,48327,태국,0
144,48565,태국,1
145,48500,태국,1
146,48378,태국,0
147,84628,페루,1
148,84515,페루,0
149,84752,페루,0
150,84377,페루,0
151,84452,페루,1
152,84686,페루,0
153,84691,페루,0
154,84401,페루,0
