ÁöÁ¡,ÀÏ½Ã,Æò±Õ Ç³¼Ó(m/s),Æò±Õ ±â¿Â(¡ÆC),Æò±Õ ¼ö¿Â(¡ÆC)
21229,2015-12-28,6.3,3.8,13.6
21229,2015-12-29,3.9,5.2,13.2
21229,2015-12-30,2.9,7.2,13.4
21229,2015-12-31,6,6.9,13.2
21229,2016-01-01,4.5,8.9,13.1
21229,2016-01-02,5.7,10.9,13
21229,2016-01-03,3.6,11.1,
21229,2016-01-04,6.9,9.5,13
21229,2016-01-05,6.6,6,12.9
21229,2016-01-06,5,6.7,12.8
21229,2016-01-07,7.3,5.4,
21229,2016-01-08,6.7,4.8,12.7
21229,2016-01-09,5.9,5.7,12.6
21229,2016-01-10,6.5,5.7,12.5
21229,2016-01-11,6.1,4,12.5
21229,2016-01-12,3.9,3.7,12.6
21229,2016-01-13,6.7,4.4,12.6
21229,2016-01-14,8.5,2.4,12.5
21229,2016-01-15,6.9,3.8,12.4
21229,2016-01-16,4,4.3,
21229,2016-01-17,4.8,7.3,13.6
21229,2016-01-18,9.9,5.6,13.5
21229,2016-01-19,13.3,-1.7,13.1
21229,2016-01-20,9.5,2.5,
21229,2016-01-21,7.4,2.2,
21229,2016-01-22,7.2,1,12.8
21229,2016-01-23,8.4,-.6,13.2
21229,2016-01-24,10.3,-2.6,11.8
21229,2016-01-25,5.4,.6,11.8
21229,2016-01-26,4.8,4.6,12.6
21229,2016-01-27,6,6.7,12.9
21229,2016-01-28,4.1,6.4,12.5
21229,2016-01-29,7.4,6,12.4
21229,2016-01-30,7.4,3.2,11.9
21229,2016-01-31,6.7,4.7,11.8
21229,2016-02-01,8.1,2.9,11.9
21229,2016-02-02,6.4,2.2,11.8
21229,2016-02-03,5,4.1,11.7
21229,2016-02-04,5.5,6,11.8
21229,2016-02-05,6.3,5.2,11.9
21229,2016-02-06,8,2.7,12
21229,2016-02-07,4.7,2.8,11.9
21229,2016-02-08,7.4,6.3,11.9
21229,2016-02-09,11.5,5.3,11.7
21229,2016-02-10,4.2,5.8,11.6
21229,2016-02-11,6.5,9.1,11.5
21229,2016-02-12,8.4,,11.5
21229,2016-02-13,4.8,,11.5
21229,2016-02-14,7.9,4.7,11.6
21229,2016-02-15,7.8,.5,11.4
21229,2016-02-16,7.6,2.2,11.2
21229,2016-02-17,8.5,3.7,
21229,2016-02-18,7.1,7.7,11.1
21229,2016-02-19,6.2,9.2,11.1
21229,2016-02-20,8,6.4,
21229,2016-02-21,7.7,3.7,10.9
21229,2016-02-22,3.6,6.2,11
21229,2016-02-23,7.8,5.9,10.9
21229,2016-02-24,6.5,.6,10.6
21229,2016-02-25,6.5,2.3,10.7
21229,2016-02-26,7.8,4.8,10.6
21229,2016-02-27,5,5.5,10.7
21229,2016-02-28,6.7,7,10.6
21229,2016-02-29,10.4,1.3,10.6
21229,2016-03-01,6.5,2.1,10.6
21229,2016-03-02,8,7.1,10.7
21229,2016-03-03,5.9,9.5,10.8
21229,2016-03-04,2.5,10.4,11
21229,2016-03-05,4.3,11.2,10.9
21229,2016-03-06,7.4,10.3,10.8
21229,2016-03-07,3.8,8.6,10.8
21229,2016-03-08,6.8,7.7,10.7
21229,2016-03-09,8.6,4.3,10.6
21229,2016-03-10,4.1,2.8,10.7
21229,2016-03-11,4.6,2.5,10.8
21229,2016-03-12,2.6,4.4,10.1
21229,2016-03-13,3.1,8,9.8
21229,2016-03-14,6,5.7,9.6
21229,2016-03-15,4.8,7.1,9.7
21229,2016-03-16,5.4,10.1,9.2
21229,2016-03-17,2.6,10.4,9.5
21229,2016-03-18,4.4,10.4,8.7
21229,2016-03-19,7.3,7.8,8.1
21229,2016-03-20,5.9,6.3,7.9
21229,2016-03-21,4.1,,
21229,2016-03-22,6,9.2,10.4
21229,2016-03-23,7.1,6.8,10.5
21229,2016-03-24,6.9,5.8,11.2
21229,2016-03-25,2.9,6,12
21229,2016-03-26,4.2,8.3,11.2
21229,2016-03-27,4.9,,
21229,2016-03-28,3.9,11.4,11.4
21229,2016-03-29,8.8,12.7,11.8
21229,2016-03-30,5.6,13,12.7
21229,2016-03-31,2.8,13,12.9
21229,2016-04-01,,11.2,12.9
21229,2016-04-02,4.5,13.2,13.5
21229,2016-04-03,6.3,10.7,13.6
21229,2016-04-04,4.8,9.9,13.1
21229,2016-04-05,6.9,13.3,14
21229,2016-04-06,5.3,14.6,14.3
21229,2016-04-07,6.2,12,13
21229,2016-04-08,6.4,13.7,12.1
21229,2016-04-09,6.6,15.1,13.8
21229,2016-04-10,9.2,9.9,13
21229,2016-04-11,4.4,7.8,13
21229,2016-04-12,7.4,10.8,13.2
21229,2016-04-13,7.4,13.5,13.6
21229,2016-04-14,4.5,13.4,13.9
21229,2016-04-15,6.3,12.2,14
21229,2016-04-16,7.4,14.3,14.2
21229,2016-04-17,12.3,14.7,13.8
21229,2016-04-18,7.8,13.7,13.7
21229,2016-04-19,6.2,11.4,14.1
21229,2016-04-20,8.3,13.3,13.7
21229,2016-04-21,3.9,13.8,13.5
21229,2016-04-22,5.9,14.6,14.1
21229,2016-04-23,6,14.8,14.2
21229,2016-04-24,1.8,14.5,14.7
21229,2016-04-25,4.3,14.2,14.4
21229,2016-04-26,3.6,14.3,14.8
21229,2016-04-27,7.2,12.7,14.7
21229,2016-04-28,9.4,11.9,14.3
21229,2016-04-29,6.1,12.9,14.4
21229,2016-04-30,5.3,15,14.5
21229,2016-05-01,4.6,15.7,14.7
21229,2016-05-02,5.8,15.6,14.8
21229,2016-05-03,12.7,16.1,14.2
21229,2016-05-04,10.7,15.6,13.6
21229,2016-05-05,6.1,15.9,14.1
21229,2016-05-06,9.9,15.8,14.5
21229,2016-05-07,5.6,16.6,14.8
21229,2016-05-08,3.1,15.6,15.2
21229,2016-05-09,2.7,15.7,15.4
21229,2016-05-10,6.1,14.4,15.6
21229,2016-05-11,8,12.7,15.4
21229,2016-05-12,8.5,15.9,15.6
21229,2016-05-13,6.7,15,15.6
21229,2016-05-14,4.8,14.1,15.7
21229,2016-05-15,8,16.3,15.6
21229,2016-05-16,8.8,14.9,15.7
21229,2016-05-17,3.9,17,16.3
21229,2016-05-18,3.5,16.9,16.4
21229,2016-05-19,2.2,17.4,17.2
21229,2016-05-20,2.8,17.4,17.5
21229,2016-05-21,3,17.7,17.6
21229,2016-05-22,3,18.1,17.9
21229,2016-05-23,3.9,18,18
21229,2016-05-24,7.7,18.2,17
21229,2016-05-25,3.1,18,17.3
21229,2016-05-26,2,18.9,17.9
21229,2016-05-27,3.5,18.5,17.6
21229,2016-05-28,3.4,18.4,17.8
21229,2016-05-29,2.8,18.4,17.9
21229,2016-05-30,3.3,18.5,18.7
21229,2016-05-31,5,18.9,18.4
21229,2016-06-01,4.5,17.8,18.3
21229,2016-06-02,2.5,18.7,18.7
21229,2016-06-03,5.6,19.2,18.4
21229,2016-06-04,4,19.6,18.4
21229,2016-06-05,2.5,19,18.9
21229,2016-06-06,4.3,18.7,19.1
21229,2016-06-07,2,19.2,19.4
21229,2016-06-08,1.3,19.9,19.9
21229,2016-06-09,2.8,19.5,19.7
21229,2016-06-10,3.5,19.9,19.9
21229,2016-06-11,3.8,20.9,20.4
21229,2016-06-12,3.6,21.5,20.8
21229,2016-06-13,3.8,20.2,21.1
21229,2016-06-14,3.5,19.6,20.7
21229,2016-06-15,5.3,20.9,20.2
21229,2016-06-16,4.1,21.3,20.5
21229,2016-06-17,4.5,21.8,21.3
21229,2016-06-18,5.1,21.7,21.5
21229,2016-06-19,5,21.4,21.5
21229,2016-06-20,3.2,21.1,21.8
21229,2016-06-21,3.9,20.9,22
21229,2016-06-22,3.6,22.3,22
21229,2016-06-23,3.4,22.6,22.2
21229,2016-06-24,6.8,22.3,21.9
21229,2016-06-25,5,22.8,21.9
21229,2016-06-26,2.5,22.9,22.4
21229,2016-06-27,5.1,23.1,22.1
21229,2016-06-28,2.9,23.3,22.4
21229,2016-06-29,4,23.4,22.8
21229,2016-06-30,5,23.9,22.6
21229,2016-07-01,8,24.2,22.1
21229,2016-07-02,6.7,23.2,21.6
21229,2016-07-03,3.1,23.6,21.2
21229,2016-07-04,4.4,21.2,20.8
21229,2016-07-05,6.4,23,21.2
21229,2016-07-06,5.2,21.7,21.2
21229,2016-07-07,2.8,21.5,21.5
21229,2016-07-08,2.8,23.1,22.2
21229,2016-07-09,2.8,23.7,22.9
21229,2016-07-10,4.2,24.5,23.5
21229,2016-07-11,3.4,25,24.1
21229,2016-07-12,4.9,25,23.8
21229,2016-07-13,4,24.1,23.2
21229,2016-07-14,6.4,23.4,22.8
21229,2016-07-15,7.6,22.4,22.5
21229,2016-07-16,4.6,21.5,22.7
21229,2016-07-17,2.6,23.3,23.3
21229,2016-07-18,3.5,24.1,23.4
21229,2016-07-19,3,23,23.6
21229,2016-07-20,3.9,23.3,23.9
21229,2016-07-21,3.4,23.4,23.8
21229,2016-07-22,3.6,23.8,23.8
21229,2016-07-23,3.9,24.1,23.9
21229,2016-07-24,3.5,25.1,23.9
21229,2016-07-25,3,25.5,24.3
21229,2016-07-26,2.6,25.9,25
21229,2016-07-27,4.5,27,25.5
21229,2016-07-28,6.1,27,25.3
21229,2016-07-29,4.5,26.9,25.4
21229,2016-07-30,3.6,27.3,26
21229,2016-07-31,2.2,27.3,26.7
21229,2016-08-01,2.6,27.2,26.9
21229,2016-08-02,2.1,26.9,27
21229,2016-08-03,2.1,26.7,26.8
21229,2016-08-04,1.8,26.8,27.3
21229,2016-08-05,1.9,26.9,28.2
21229,2016-08-06,3.5,27.2,27.7
21229,2016-08-07,4.5,27.9,27.5
21229,2016-08-08,3.7,28,28.1
21229,2016-08-09,5,26.1,27.1
21229,2016-08-10,4.1,26.7,28.1
21229,2016-08-11,5.5,27.5,28
21229,2016-08-12,5.5,27.5,28.1
21229,2016-08-13,4.6,28.2,28.2
21229,2016-08-14,2.3,29,29
21229,2016-08-15,4.4,27.9,28.9
21229,2016-08-16,3.7,27.4,28.6
21229,2016-08-17,3.9,27.5,28.8
21229,2016-08-18,2.4,27.9,29.7
21229,2016-08-19,4.3,28,29.4
21229,2016-08-20,5.2,28,29.3
21229,2016-08-21,5.2,27.8,29.2
21229,2016-08-22,5.4,27.2,28.9
21229,2016-08-23,4.5,26.7,28.5
21229,2016-08-24,4.2,26.9,28.2
21229,2016-08-25,4.5,27.4,28.5
21229,2016-08-26,11,22.7,27
21229,2016-08-27,6.7,23.7,26.1
21229,2016-08-28,9.1,22.6,25.7
21229,2016-08-29,15.5,21,25.1
21229,2016-08-30,13.9,20.4,23.8
21229,2016-08-31,14.4,23.2,23
21229,2016-09-01,10,24.1,23.1
21229,2016-09-02,6.2,23.1,23.1
21229,2016-09-03,5.9,22.9,23.2
21229,2016-09-04,3,23.9,23.6
21229,2016-09-05,2.5,23.3,23.5
21229,2016-09-06,3.3,23.5,24
21229,2016-09-07,2.5,24.2,24
21229,2016-09-08,4,22.5,23.7
21229,2016-09-09,3.4,22.3,23.7
21229,2016-09-10,4.2,22.4,23.6
21229,2016-09-11,5.3,23.3,23.7
21229,2016-09-12,5.8,22.5,23.8
21229,2016-09-13,4.7,22.6,23.7
21229,2016-09-14,1.8,22.5,23.8
21229,2016-09-15,2.1,22.8,24.3
21229,2016-09-16,4.6,23.6,24.4
21229,2016-09-17,6,22,24.2
21229,2016-09-18,9.2,22.2,23.9
21229,2016-09-19,9.9,21.2,23.6
21229,2016-09-20,9.9,20.9,23.3
21229,2016-09-21,5.8,21.6,23.2
21229,2016-09-22,4.2,21.5,23
21229,2016-09-23,2.5,21.4,23
21229,2016-09-24,3.1,21.7,23
21229,2016-09-25,3.4,22.2,22.8
21229,2016-09-26,3,22.8,23
21229,2016-09-27,1.7,22.8,23.1
21229,2016-09-28,6,21.2,22.9
21229,2016-09-29,6.6,18.9,22.6
21229,2016-09-30,2.6,19.7,22.7
21229,2016-10-01,2.5,20.9,22.6
21229,2016-10-02,3.4,22,22.7
21229,2016-10-03,5.4,22.2,22.6
21229,2016-10-04,7.1,20.6,22.5
21229,2016-10-05,9.5,20,22.4
21229,2016-10-06,5.1,19.5,22.4
21229,2016-10-07,7.3,19.7,22.1
21229,2016-10-08,6.4,20.7,22
21229,2016-10-09,8.4,16.5,22
21229,2016-10-10,2.8,16.6,21.8
21229,2016-10-11,4.3,18.9,21.9
21229,2016-10-12,7.1,17.3,21.9
21229,2016-10-13,5.5,17.9,21.9
21229,2016-10-14,4.3,20,22.1
21229,2016-10-15,3,20.1,22.6
21229,2016-10-16,6.7,20,22.2
21229,2016-10-17,3.8,20.8,21.6
21229,2016-10-18,4,19.4,21.5
21229,2016-10-19,2.8,19.8,21.6
21229,2016-10-20,8.6,17.8,21.5
21229,2016-10-21,6.4,15.5,21.3
21229,2016-10-22,4.2,17.3,21.3
21229,2016-10-23,9.8,14,21.1
21229,2016-10-24,4.5,15.4,20.9
21229,2016-10-25,10.5,18.6,20.8
21229,2016-10-26,4,18.2,20.8
21229,2016-10-27,5.5,15.9,20.7
21229,2016-10-28,7.5,16.7,20.5
21229,2016-10-29,7,13.1,20.5
21229,2016-10-30,5.1,14.4,20.4
21229,2016-10-31,6.1,15.2,20.2
21229,2016-11-01,8.9,10.6,20
21229,2016-11-02,6.7,11.2,19.8
21229,2016-11-03,7.9,13.3,19.7
21229,2016-11-04,7.6,16.3,19.5
21229,2016-11-05,9.5,16.4,19.4
21229,2016-11-06,9.7,10.6,19.2
21229,2016-11-07,6.9,14,19
21229,2016-11-08,10.4,11,18.5
21229,2016-11-09,6.9,7.9,18.5
21229,2016-11-10,6.8,11.6,18.7
21229,2016-11-11,7.2,14.6,18.5
21229,2016-11-12,6.4,16.4,18.3
21229,2016-11-13,5.3,17.5,18.1
