cpi_total,year,cpi_fish,week
100.22,2015,101.26,49
100.22,2015,101.26,50
100.22,2015,101.26,51
100.22,2015,101.26,52
100.22,2015,101.26,53
100.39,2015,100.76,53
100.39,2016,100.76,1
100.39,2016,100.76,2
100.39,2016,100.76,3
100.39,2016,100.76,4
100.82,2016,102.3,5
100.82,2016,102.3,6
100.82,2016,102.3,7
100.82,2016,102.3,8
100.82,2016,102.3,9
100.56,2016,102.23,9
100.56,2016,102.23,10
100.56,2016,102.23,11
100.56,2016,102.23,12
100.56,2016,102.23,13
100.75,2016,102.73,13
100.75,2016,102.73,14
100.75,2016,102.73,15
100.75,2016,102.73,16
100.75,2016,102.73,17
100.81,2016,102.59,17
100.81,2016,102.59,18
100.81,2016,102.59,19
100.81,2016,102.59,20
100.81,2016,102.59,21
100.81,2016,102.59,22
100.79,2016,102.08,22
100.79,2016,102.08,23
100.79,2016,102.08,24
100.79,2016,102.08,25
100.79,2016,102.08,26
100.6,2016,102.62,26
100.6,2016,102.62,27
100.6,2016,102.62,28
100.6,2016,102.62,29
100.6,2016,102.62,30
100.86,2016,101.69,31
100.86,2016,101.69,32
100.86,2016,101.69,33
100.86,2016,101.69,34
100.86,2016,101.69,35
101.46,2016,102.01,35
101.46,2016,102.01,36
101.46,2016,102.01,37
101.46,2016,102.01,38
101.46,2016,102.01,39
101.6,2016,102.24,39
101.6,2016,102.24,40
101.6,2016,102.24,41
101.6,2016,102.24,42
101.6,2016,102.24,43
101.6,2016,102.24,44
101.45,2016,104.23,44
101.45,2016,104.23,45
101.45,2016,104.23,46
101.45,2016,104.23,47
101.45,2016,104.23,48
101.56,2016,105.89,48
101.56,2016,105.89,49
101.56,2016,105.89,50
101.56,2016,105.89,51
101.56,2016,105.89,52
102.64,2016,107.37,52
102.64,2017,107.37,1
102.64,2017,107.37,2
102.64,2017,107.37,3
102.64,2017,107.37,4
102.64,2017,107.37,5
102.92,2017,108.3,5
102.92,2017,108.3,6
102.92,2017,108.3,7
102.92,2017,108.3,8
102.92,2017,108.3,9
102.85,2017,108.57,9
102.85,2017,108.57,10
102.85,2017,108.57,11
102.85,2017,108.57,12
102.85,2017,108.57,13
102.72,2017,109.06,13
102.72,2017,109.06,14
102.72,2017,109.06,15
102.72,2017,109.06,16
102.72,2017,109.06,17
102.83,2017,109.72,18
102.83,2017,109.72,19
102.83,2017,109.72,20
102.83,2017,109.72,21
102.83,2017,109.72,22
102.61,2017,108.78,22
102.61,2017,108.78,23
102.61,2017,108.78,24
102.61,2017,108.78,25
102.61,2017,108.78,26
102.78,2017,106.7,26
102.78,2017,106.7,27
102.78,2017,106.7,28
102.78,2017,106.7,29
102.78,2017,106.7,30
102.78,2017,106.7,31
103.37,2017,105.77,31
103.37,2017,105.77,32
103.37,2017,105.77,33
103.37,2017,105.77,34
103.37,2017,105.77,35
103.49,2017,106.19,35
103.49,2017,106.19,36
103.49,2017,106.19,37
103.49,2017,106.19,38
103.49,2017,106.19,39
103.39,2017,108.02,39
103.39,2017,108.02,40
103.39,2017,108.02,41
103.39,2017,108.02,42
103.39,2017,108.02,43
103.39,2017,108.02,44
102.62,2017,109.54,44
102.62,2017,109.54,45
102.62,2017,109.54,46
102.62,2017,109.54,47
102.62,2017,109.54,48
102.99,2017,110.04,48
102.99,2017,110.04,49
102.99,2017,110.04,50
102.99,2017,110.04,51
102.99,2017,110.04,52
103.42,2018,110.32,1
103.42,2018,110.32,2
103.42,2018,110.32,3
103.42,2018,110.32,4
103.42,2018,110.32,5
104.21,2018,110.72,5
104.21,2018,110.72,6
104.21,2018,110.72,7
104.21,2018,110.72,8
104.21,2018,110.72,9
104.1,2018,111.66,9
104.1,2018,111.66,10
104.1,2018,111.66,11
104.1,2018,111.66,12
104.1,2018,111.66,13
104.29,2018,112.36,13
104.29,2018,112.36,14
104.29,2018,112.36,15
104.29,2018,112.36,16
104.29,2018,112.36,17
104.29,2018,112.36,18
104.34,2018,113.01,18
104.34,2018,113.01,19
104.34,2018,113.01,20
104.34,2018,113.01,21
104.34,2018,113.01,22
104.13,2018,113.07,22
104.13,2018,113.07,23
104.13,2018,113.07,24
104.13,2018,113.07,25
104.13,2018,113.07,26
103.93,2018,112.65,26
103.93,2018,112.65,27
103.93,2018,112.65,28
103.93,2018,112.65,29
103.93,2018,112.65,30
103.93,2018,112.65,31
104.85,2018,111.37,31
104.85,2018,111.37,32
104.85,2018,111.37,33
104.85,2018,111.37,34
104.85,2018,111.37,35
105.65,2018,110.73,35
105.65,2018,110.73,36
105.65,2018,110.73,37
105.65,2018,110.73,38
105.65,2018,110.73,39
105.46,2018,111.96,40
105.46,2018,111.96,41
105.46,2018,111.96,42
105.46,2018,111.96,43
105.46,2018,111.96,44
104.71,2018,112.51,44
104.71,2018,112.51,45
104.71,2018,112.51,46
104.71,2018,112.51,47
104.71,2018,112.51,48
104.35,2018,112.67,48
104.35,2018,112.67,49
104.35,2018,112.67,50
104.35,2018,112.67,51
104.35,2018,112.67,52
104.35,2019,112.67,1
104.24,2019,111.64,1
104.24,2019,111.64,2
104.24,2019,111.64,3
104.24,2019,111.64,4
104.24,2019,111.64,5
104.69,2019,111.65,5
104.69,2019,111.65,6
104.69,2019,111.65,7
104.69,2019,111.65,8
104.69,2019,111.65,9
104.49,2019,111.52,9
104.49,2019,111.52,10
104.49,2019,111.52,11
104.49,2019,111.52,12
104.49,2019,111.52,13
104.87,2019,112.5,14
104.87,2019,112.5,15
104.87,2019,112.5,16
104.87,2019,112.5,17
104.87,2019,112.5,18
105.05,2019,113.13,18
105.05,2019,113.13,19
105.05,2019,113.13,20
105.05,2019,113.13,21
105.05,2019,113.13,22
104.88,2019,113.48,22
104.88,2019,113.48,23
104.88,2019,113.48,24
104.88,2019,113.48,25
104.88,2019,113.48,26
104.56,2019,113.72,27
104.56,2019,113.72,28
104.56,2019,113.72,29
104.56,2019,113.72,30
104.56,2019,113.72,31
104.81,2019,111.85,31
104.81,2019,111.85,32
104.81,2019,111.85,33
104.81,2019,111.85,34
104.81,2019,111.85,35
105.2,2019,113.02,35
105.2,2019,113.02,36
105.2,2019,113.02,37
105.2,2019,113.02,38
105.2,2019,113.02,39
105.2,2019,113.02,40
105.46,2019,114.19,40
105.46,2019,114.19,41
105.46,2019,114.19,42
105.46,2019,114.19,43
105.46,2019,114.19,44
104.87,2019,114.92,44
104.87,2019,114.92,45
104.87,2019,114.92,46
104.87,2019,114.92,47
104.87,2019,114.92,48
105.12,2019,116.99,48
105.12,2019,116.99,49
105.12,2019,116.99,50
105.12,2019,116.99,51
105.12,2019,116.99,52
105.12,2020,116.99,1
105.79,2020,118.44,1
105.79,2020,118.44,2
105.79,2020,118.44,3
105.79,2020,118.44,4
105.79,2020,118.44,5
105.8,2020,119.49,5
105.8,2020,119.49,6
105.8,2020,119.49,7
105.8,2020,119.49,8
105.8,2020,119.49,9
105.54,2020,119.2,9
105.54,2020,119.2,10
105.54,2020,119.2,11
105.54,2020,119.2,12
105.54,2020,119.2,13
105.54,2020,119.2,14
104.95,2020,120.46,14
104.95,2020,120.46,15
104.95,2020,120.46,16
104.95,2020,120.46,17
104.95,2020,120.46,18
104.71,2020,120.82,18
104.71,2020,120.82,19
104.71,2020,120.82,20
104.71,2020,120.82,21
104.71,2020,120.82,22
104.87,2020,120.4,23
104.87,2020,120.4,24
104.87,2020,120.4,25
104.87,2020,120.4,26
104.87,2020,120.4,27
104.86,2020,119.22,27
104.86,2020,119.22,28
104.86,2020,119.22,29
104.86,2020,119.22,30
104.86,2020,119.22,31
105.5,2020,118.3,31
105.5,2020,118.3,32
105.5,2020,118.3,33
105.5,2020,118.3,34
105.5,2020,118.3,35
105.5,2020,118.3,36
106.2,2020,119.06,36
106.2,2020,119.06,37
106.2,2020,119.06,38
106.2,2020,119.06,39
106.2,2020,119.06,40
105.61,2020,120.0,40
105.61,2020,120.0,41
105.61,2020,120.0,42
105.61,2020,120.0,43
105.61,2020,120.0,44
105.5,2020,121.11,44
105.5,2020,121.11,45
105.5,2020,121.11,46
105.5,2020,121.11,47
105.5,2020,121.11,48
105.5,2020,121.11,49
105.67,2020,121.8,49
105.67,2020,121.8,50
105.67,2020,121.8,51
105.67,2020,121.8,52
105.67,2020,121.8,53
106.47,2020,121.92,53
106.47,2021,121.92,1
106.47,2021,121.92,2
106.47,2021,121.92,3
106.47,2021,121.92,4
107.0,2021,121.72,5
107.0,2021,121.72,6
107.0,2021,121.72,7
107.0,2021,121.72,8
107.16,2021,121.67,9
107.16,2021,121.67,10
107.16,2021,121.67,11
107.16,2021,121.67,12
107.16,2021,121.67,13
107.39,2021,121.79,13
107.39,2021,121.79,14
107.39,2021,121.79,15
107.39,2021,121.79,16
107.39,2021,121.79,17
107.46,2021,122.01,17
107.46,2021,122.01,18
107.46,2021,122.01,19
107.46,2021,122.01,20
107.46,2021,122.01,21
107.46,2021,122.01,22
107.39,2021,121.5,22
107.39,2021,121.5,23
107.39,2021,121.5,24
107.39,2021,121.5,25
107.39,2021,121.5,26
,2021,120.08,26
,2021,120.08,27
,2021,120.08,28
,2021,120.08,29
,2021,120.08,30
