,cpi,year,month
0,100.22,2015,12
1,100.39,2016,1
2,100.82,2016,2
3,100.56,2016,3
4,100.75,2016,4
5,100.81,2016,5
6,100.79,2016,6
7,100.6,2016,7
8,100.86,2016,8
9,101.46,2016,9
10,101.6,2016,10
11,101.45,2016,11
12,101.56,2016,12
13,102.64,2017,1
14,102.92,2017,2
15,102.85,2017,3
16,102.72,2017,4
17,102.83,2017,5
18,102.61,2017,6
19,102.78,2017,7
20,103.37,2017,8
21,103.49,2017,9
22,103.39,2017,10
23,102.62,2017,11
24,102.99,2017,12
25,103.42,2018,1
26,104.21,2018,2
27,104.1,2018,3
28,104.29,2018,4
29,104.34,2018,5
30,104.13,2018,6
31,103.93,2018,7
32,104.85,2018,8
33,105.65,2018,9
34,105.46,2018,10
35,104.71,2018,11
36,104.35,2018,12
37,104.24,2019,1
38,104.69,2019,2
39,104.49,2019,3
40,104.87,2019,4
41,105.05,2019,5
42,104.88,2019,6
43,104.56,2019,7
44,104.81,2019,8
45,105.2,2019,9
46,105.46,2019,10
47,104.87,2019,11
48,105.12,2019,12
49,105.79,2020,1
50,105.8,2020,2
51,105.54,2020,3
52,104.95,2020,4
53,104.71,2020,5
54,104.87,2020,6
55,104.86,2020,7
56,105.5,2020,8
57,106.2,2020,9
58,105.61,2020,10
59,105.5,2020,11
60,105.67,2020,12
61,106.47,2021,1
62,107.0,2021,2
63,107.16,2021,3
64,107.39,2021,4
65,107.46,2021,5
66,107.39,2021,6
