exchange,year,week,CTRY_2
0.0014,2015,53,칠레
0.0014,2016,1,칠레
0.0014,2016,2,칠레
0.0014,2016,3,칠레
0.0014,2016,4,칠레
0.0014,2016,5,칠레
0.0014,2016,6,칠레
0.0014,2016,7,칠레
0.0014,2016,8,칠레
0.0014,2016,9,칠레
0.0015,2016,10,칠레
0.0015,2016,11,칠레
0.0015,2016,12,칠레
0.0015,2016,13,칠레
0.0015,2016,14,칠레
0.0015,2016,15,칠레
0.0015,2016,16,칠레
0.0015,2016,17,칠레
0.0015,2016,18,칠레
0.0015,2016,19,칠레
0.0014,2016,20,칠레
0.0014,2016,21,칠레
0.0014,2016,22,칠레
0.0015,2016,23,칠레
0.0015,2016,24,칠레
0.0015,2016,25,칠레
0.0015,2016,26,칠레
0.0015,2016,27,칠레
0.0015,2016,28,칠레
0.0015,2016,29,칠레
0.0015,2016,30,칠레
0.0015,2016,31,칠레
0.0015,2016,32,칠레
0.0015,2016,33,칠레
0.0015,2016,34,칠레
0.0015,2016,35,칠레
0.0015,2016,36,칠레
0.0015,2016,37,칠레
0.0015,2016,38,칠레
0.0015,2016,39,칠레
0.0015,2016,40,칠레
0.0015,2016,41,칠레
0.0015,2016,42,칠레
0.0015,2016,43,칠레
0.0015,2016,44,칠레
0.0015,2016,45,칠레
0.0015,2016,46,칠레
0.0015,2016,47,칠레
0.0015,2016,48,칠레
0.0015,2016,49,칠레
0.0015,2016,50,칠레
0.0015,2016,51,칠레
0.0015,2016,52,칠레
0.0015,2017,1,칠레
0.0015,2017,2,칠레
0.0015,2017,3,칠레
0.0015,2017,4,칠레
0.0015,2017,5,칠레
0.0016,2017,6,칠레
0.0016,2017,7,칠레
0.0016,2017,8,칠레
0.0015,2017,9,칠레
0.0015,2017,10,칠레
0.0015,2017,11,칠레
0.0015,2017,12,칠레
0.0015,2017,13,칠레
0.0015,2017,14,칠레
0.0015,2017,15,칠레
0.0015,2017,16,칠레
0.0015,2017,17,칠레
0.0015,2017,18,칠레
0.0015,2017,19,칠레
0.0015,2017,20,칠레
0.0015,2017,21,칠레
0.0015,2017,22,칠레
0.0015,2017,23,칠레
0.0015,2017,24,칠레
0.0015,2017,25,칠레
0.0015,2017,26,칠레
0.0015,2017,27,칠레
0.0015,2017,28,칠레
0.0015,2017,29,칠레
0.0015,2017,30,칠레
0.0015,2017,31,칠레
0.0015,2017,32,칠레
0.0015,2017,33,칠레
0.0016,2017,34,칠레
0.0016,2017,35,칠레
0.0016,2017,36,칠레
0.0016,2017,37,칠레
0.0016,2017,38,칠레
0.0016,2017,39,칠레
0.0016,2017,40,칠레
0.0016,2017,41,칠레
0.0016,2017,42,칠레
0.0016,2017,43,칠레
0.0016,2017,44,칠레
0.0016,2017,45,칠레
0.0016,2017,46,칠레
0.0016,2017,47,칠레
0.0016,2017,48,칠레
0.0015,2017,49,칠레
0.0015,2017,50,칠레
0.0016,2017,51,칠레
0.0016,2017,52,칠레
0.0016,2018,1,칠레
0.0017,2018,2,칠레
0.0017,2018,3,칠레
0.0017,2018,4,칠레
0.0017,2018,5,칠레
0.0017,2018,6,칠레
0.0017,2018,7,칠레
0.0017,2018,8,칠레
0.0017,2018,9,칠레
0.0017,2018,10,칠레
0.0017,2018,11,칠레
0.0016,2018,12,칠레
0.0017,2018,13,칠레
0.0017,2018,14,칠레
0.0017,2018,15,칠레
0.0017,2018,16,칠레
0.0017,2018,17,칠레
0.0016,2018,18,칠레
0.0016,2018,19,칠레
0.0016,2018,20,칠레
0.0016,2018,21,칠레
0.0016,2018,22,칠레
0.0016,2018,23,칠레
0.0016,2018,24,칠레
0.0016,2018,25,칠레
0.0016,2018,26,칠레
0.0015,2018,27,칠레
0.0015,2018,28,칠레
0.0015,2018,29,칠레
0.0015,2018,30,칠레
0.0016,2018,31,칠레
0.0015,2018,32,칠레
0.0015,2018,33,칠레
0.0015,2018,34,칠레
0.0015,2018,35,칠레
0.0015,2018,36,칠레
0.0014,2018,37,칠레
0.0015,2018,38,칠레
0.0015,2018,39,칠레
0.0015,2018,40,칠레
0.0015,2018,41,칠레
0.0015,2018,42,칠레
0.0015,2018,43,칠레
0.0014,2018,44,칠레
0.0015,2018,45,칠레
0.0015,2018,46,칠레
0.0015,2018,47,칠레
0.0015,2018,48,칠레
0.0015,2018,49,칠레
0.0015,2018,50,칠레
0.0015,2018,51,칠레
0.0014,2018,52,칠레
0.0014,2019,1,칠레
0.0015,2019,2,칠레
0.0015,2019,3,칠레
0.0015,2019,4,칠레
0.0015,2019,5,칠레
0.0015,2019,6,칠레
0.00151,2019,7,칠레
0.001513,2019,8,칠레
0.001536,2019,9,칠레
0.0015140000000000002,2019,10,칠레
0.00149,2019,11,칠레
0.001501,2019,12,칠레
0.001471,2019,13,칠레
0.0014939999999999999,2019,14,칠레
0.001505,2019,15,칠레
0.0015119999999999999,2019,16,칠레
0.001504,2019,17,칠레
0.001474,2019,18,칠레
0.0014730000000000001,2019,19,칠레
0.001442,2019,20,칠레
0.001436,2019,21,칠레
0.001431,2019,22,칠레
0.0014210000000000002,2019,23,칠레
0.001428,2019,24,칠레
0.001428,2019,25,칠레
0.001468,2019,26,칠레
0.001469,2019,27,칠레
0.0014529999999999999,2019,28,칠레
0.001471,2019,29,칠레
0.00145,2019,30,칠레
0.0014349999999999999,2019,31,칠레
0.0013859999999999999,2019,32,칠레
0.0014,2019,33,칠레
0.001401,2019,34,칠레
0.001389,2019,35,칠레
0.0013779999999999999,2019,36,칠레
0.001398,2019,37,칠레
0.001408,2019,38,칠레
0.001385,2019,39,칠레
0.001371,2019,40,칠레
0.00139,2019,41,칠레
0.0014,2019,42,칠레
0.001374,2019,43,칠레
0.001381,2019,44,칠레
0.001347,2019,45,칠레
